"","control","id","type"
"1",28.7812,"ts 1","white noise"
"2",34.4632,"ts 1","white noise"
"3",31.3381,"ts 1","white noise"
"4",31.2834,"ts 1","white noise"
"5",28.9207,"ts 1","white noise"
"6",33.7596,"ts 1","white noise"
"7",25.3969,"ts 1","white noise"
"8",27.7849,"ts 1","white noise"
"9",35.2479,"ts 1","white noise"
"10",27.1159,"ts 1","white noise"
"11",32.8717,"ts 1","white noise"
"12",29.2171,"ts 1","white noise"
"13",36.0253,"ts 1","white noise"
"14",32.337,"ts 1","white noise"
"15",34.5249,"ts 1","white noise"
"16",32.8717,"ts 1","white noise"
"17",34.1173,"ts 1","white noise"
"18",26.5235,"ts 1","white noise"
"19",27.6623,"ts 1","white noise"
"20",26.3693,"ts 1","white noise"
"21",25.7744,"ts 1","white noise"
"22",29.27,"ts 1","white noise"
"23",30.7326,"ts 1","white noise"
"24",29.5054,"ts 1","white noise"
"25",33.0292,"ts 1","white noise"
"26",25.04,"ts 1","white noise"
"27",28.9167,"ts 1","white noise"
"28",24.3437,"ts 1","white noise"
"29",26.1203,"ts 1","white noise"
"30",34.9424,"ts 1","white noise"
"31",25.0293,"ts 1","white noise"
"32",26.6311,"ts 1","white noise"
"33",35.6541,"ts 1","white noise"
"34",28.4353,"ts 1","white noise"
"35",29.1495,"ts 1","white noise"
"36",28.1584,"ts 1","white noise"
"37",26.1927,"ts 1","white noise"
"38",33.3182,"ts 1","white noise"
"39",30.9772,"ts 1","white noise"
"40",27.0443,"ts 1","white noise"
"41",35.5344,"ts 1","white noise"
"42",26.2353,"ts 1","white noise"
"43",28.9964,"ts 1","white noise"
"44",32.0036,"ts 1","white noise"
"45",31.0558,"ts 1","white noise"
"46",34.2553,"ts 1","white noise"
"47",28.0721,"ts 1","white noise"
"48",28.9402,"ts 1","white noise"
"49",35.4973,"ts 1","white noise"
"50",29.747,"ts 1","white noise"
"51",31.4333,"ts 1","white noise"
"52",24.5556,"ts 1","white noise"
"53",33.7431,"ts 1","white noise"
"54",25.0466,"ts 1","white noise"
"55",34.9318,"ts 1","white noise"
"56",34.9879,"ts 1","white noise"
"57",32.4721,"ts 1","white noise"
"58",33.3759,"ts 1","white noise"
"59",25.4652,"ts 1","white noise"
"60",25.8717,"ts 1","white noise"
"61",24.8923,"ts 2","white noise"
"62",25.741,"ts 2","white noise"
"63",27.5532,"ts 2","white noise"
"64",32.8217,"ts 2","white noise"
"65",27.8789,"ts 2","white noise"
"66",31.5926,"ts 2","white noise"
"67",31.4861,"ts 2","white noise"
"68",35.5469,"ts 2","white noise"
"69",27.9516,"ts 2","white noise"
"70",31.6595,"ts 2","white noise"
"71",27.5415,"ts 2","white noise"
"72",31.1887,"ts 2","white noise"
"73",27.4867,"ts 2","white noise"
"74",31.391,"ts 2","white noise"
"75",27.811,"ts 2","white noise"
"76",24.488,"ts 2","white noise"
"77",27.5918,"ts 2","white noise"
"78",35.6273,"ts 2","white noise"
"79",35.4102,"ts 2","white noise"
"80",31.4167,"ts 2","white noise"
"81",30.7447,"ts 2","white noise"
"82",24.1311,"ts 2","white noise"
"83",35.1422,"ts 2","white noise"
"84",30.4719,"ts 2","white noise"
"85",31.9874,"ts 2","white noise"
"86",33.6615,"ts 2","white noise"
"87",25.5511,"ts 2","white noise"
"88",30.4686,"ts 2","white noise"
"89",33.6472,"ts 2","white noise"
"90",25.0701,"ts 2","white noise"
"91",34.0765,"ts 2","white noise"
"92",32.5981,"ts 2","white noise"
"93",28.3038,"ts 2","white noise"
"94",26.1471,"ts 2","white noise"
"95",26.9414,"ts 2","white noise"
"96",31.5203,"ts 2","white noise"
"97",33.1089,"ts 2","white noise"
"98",24.1491,"ts 2","white noise"
"99",28.5157,"ts 2","white noise"
"100",25.7906,"ts 2","white noise"
"101",35.9519,"ts 2","white noise"
"102",26.5301,"ts 2","white noise"
"103",24.8578,"ts 2","white noise"
"104",25.9562,"ts 2","white noise"
"105",32.8357,"ts 2","white noise"
"106",28.5322,"ts 2","white noise"
"107",26.3458,"ts 2","white noise"
"108",30.6213,"ts 2","white noise"
"109",28.9861,"ts 2","white noise"
"110",29.4047,"ts 2","white noise"
"111",32.5577,"ts 2","white noise"
"112",31.0205,"ts 2","white noise"
"113",26.6418,"ts 2","white noise"
"114",28.4331,"ts 2","white noise"
"115",33.6564,"ts 2","white noise"
"116",26.4244,"ts 2","white noise"
"117",28.4661,"ts 2","white noise"
"118",34.2484,"ts 2","white noise"
"119",32.1005,"ts 2","white noise"
"120",26.691,"ts 2","white noise"
"121",31.3987,"ts 3","white noise"
"122",30.6316,"ts 3","white noise"
"123",26.3983,"ts 3","white noise"
"124",24.2905,"ts 3","white noise"
"125",27.8613,"ts 3","white noise"
"126",28.5491,"ts 3","white noise"
"127",24.9717,"ts 3","white noise"
"128",32.4358,"ts 3","white noise"
"129",25.2239,"ts 3","white noise"
"130",27.3068,"ts 3","white noise"
"131",31.8387,"ts 3","white noise"
"132",27.2587,"ts 3","white noise"
"133",28.2572,"ts 3","white noise"
"134",26.5819,"ts 3","white noise"
"135",24.0455,"ts 3","white noise"
"136",35.0625,"ts 3","white noise"
"137",31.5717,"ts 3","white noise"
"138",32.5614,"ts 3","white noise"
"139",31.0308,"ts 3","white noise"
"140",34.1202,"ts 3","white noise"
"141",26.9337,"ts 3","white noise"
"142",31.4781,"ts 3","white noise"
"143",35.0173,"ts 3","white noise"
"144",32.3851,"ts 3","white noise"
"145",24.3323,"ts 3","white noise"
"146",30.2001,"ts 3","white noise"
"147",31.2452,"ts 3","white noise"
"148",26.6814,"ts 3","white noise"
"149",31.5137,"ts 3","white noise"
"150",28.8778,"ts 3","white noise"
"151",27.3086,"ts 3","white noise"
"152",24.246,"ts 3","white noise"
"153",26.9631,"ts 3","white noise"
"154",25.2919,"ts 3","white noise"
"155",31.6114,"ts 3","white noise"
"156",24.7131,"ts 3","white noise"
"157",27.4809,"ts 3","white noise"
"158",24.2075,"ts 3","white noise"
"159",26.8059,"ts 3","white noise"
"160",35.1253,"ts 3","white noise"
"161",32.6293,"ts 3","white noise"
"162",31.0561,"ts 3","white noise"
"163",26.3583,"ts 3","white noise"
"164",28.0861,"ts 3","white noise"
"165",31.4391,"ts 3","white noise"
"166",27.3057,"ts 3","white noise"
"167",29.6082,"ts 3","white noise"
"168",35.9725,"ts 3","white noise"
"169",34.1444,"ts 3","white noise"
"170",27.1717,"ts 3","white noise"
"171",33.6318,"ts 3","white noise"
"172",26.5966,"ts 3","white noise"
"173",25.5387,"ts 3","white noise"
"174",32.5434,"ts 3","white noise"
"175",25.5772,"ts 3","white noise"
"176",29.9897,"ts 3","white noise"
"177",31.351,"ts 3","white noise"
"178",33.9002,"ts 3","white noise"
"179",29.5446,"ts 3","white noise"
"180",29.343,"ts 3","white noise"
"181",25.774,"ts 4","white noise"
"182",30.5262,"ts 4","white noise"
