date,consumption,consumption_pchange
2003 1,105510,-0.1
2003 2,105304.7,-0.2
2003 3,105828.7,0.5
2003 4,107049.9,1.2
2004 1,107727.2,0.6
2004 2,108611.6,0.8
2004 3,110112.2,1.4
2004 4,111319,1.1
2005 1,113046.9,1.6
2005 2,115919,2.5
2005 3,117872.2,1.7
2005 4,119864.7,1.7
2006 1,121262.1,1.2
2006 2,122889.1,1.3
2006 3,124496.5,1.3
2006 4,126532.4,1.6
2007 1,128535.6,1.6
2007 2,131397,2.2
2007 3,133581,1.7
2007 4,136245.4,2
2008 1,139249.9,2.2
2008 2,141029.6,1.3
2008 3,142361.8,0.9
2008 4,138046.2,-3
2009 1,137510.8,-0.4
2009 2,143298,4.2
2009 3,145841,1.8
2009 4,148143.9,1.6
2010 1,150167.1,1.4
2010 2,152289.1,1.4
2010 3,155029.5,1.8
2010 4,157742.2,1.7
2011 1,160610.1,1.8
2011 2,163631.4,1.9
2011 3,164738.7,0.7
2011 4,166129.1,0.8
2012 1,167421,0.8
2012 2,168449.1,0.6
2012 3,170273.8,1.1
2012 4,171952.6,1
2013 1,171058.8,-0.5
2013 2,172588.6,0.9
2013 3,174283.5,1
2013 4,175930.1,0.9
2014 1,177278.6,0.8
2014 2,177900.4,0.4
2014 3,178418.5,0.3
2014 4,179084.9,0.4
2015 1,180516.2,0.8
2015 2,182304,1
2015 3,184731,1.3
2015 4,187093.4,1.3
2016 1,186424.2,-0.4
2016 2,189786.3,1.8
2016 3,191491.6,0.9
