date,exchange_rate_krw_usd
1980 1,586.1
1980 2,603.0
1980 3,625.0
1980 4,659.9
1981 1,672.8
1981 2,685.1
1981 3,685.5
1981 4,700.5
1982 1,718.3
1982 2,740.8
1982 3,742.9
1982 4,748.8
1983 1,763.4
1983 2,776.7
1983 3,789.3
1983 4,795.5
1984 1,791.8
1984 2,803.4
1984 3,815.2
1984 4,827.4
1985 1,850.3
1985 2,873.8
1985 3,891.7
1985 4,890.2
1986 1,885.2
1986 2,886.6
1986 3,877.0
1986 4,861.4
1987 1,846.9
1987 2,808.9
1987 3,805.8
1987 4,792.3
1988 1,746.2
1988 2,728.3
1988 3,719.0
1988 4,684.1
1989 1,671.9
1989 2,667.2
1989 3,670.0
1989 4,679.6
1990 1,702.1
1990 2,716.0
1990 3,712.9
1990 4,716.4
1991 1,724.7
1991 2,723.1
1991 3,741.5
1991 4,760.8
1992 1,775.1
1992 2,790.2
1992 3,786.6
1992 4,788.4
1993 1,794.0
1993 2,803.7
1993 3,808.8
1993 4,808.1
1994 1,806.5
1994 2,805.5
1994 3,798.9
1994 4,788.7
1995 1,771.5
1995 2,758.1
1995 3,768.4
1995 4,774.7
1996 1,782.7
1996 2,810.6
1996 3,821.2
1996 4,844.2
1997 1,897.1
1997 2,888.1
1997 3,914.8
1997 4,1415.2
1998 1,1378.8
1998 2,1385.2
1998 3,1373.6
1998 4,1207.8
1999 1,1224.7
1999 2,1155.9
1999 3,1218.7
1999 4,1145.4
2000 1,1108.3
2000 2,1114.8
2000 3,1115.0
2000 4,1259.7
2001 1,1328.0
2001 2,1300.7
2001 3,1309.1
2001 4,1326.1
2002 1,1326.4
2002 2,1201.8
2002 3,1225.5
2002 4,1200.4
2003 1,1252.9
2003 2,1193.1
2003 3,1150.2
2003 4,1197.8
2004 1,1153.6
2004 2,1152.5
2004 3,1147.9
2004 4,1043.8
2005 1,1024.3
2005 2,1024.4
2005 3,1038.0
2005 4,1013.0
2006 1,975.9
2006 2,960.3
2006 3,945.2
2006 4,929.6
2007 1,940.3
2007 2,926.8
2007 3,920.7
2007 4,938.2
2008 1,991.7
2008 2,1043.4
2008 3,1187.7
2008 4,1257.5
2009 1,1377.1
2009 2,1284.7
2009 3,1188.7
2009 4,1167.6
2010 1,1130.8
2010 2,1210.3
2010 3,1142.0
2010 4,1138.9
2011 1,1107.2
2011 2,1078.1
2011 3,1179.5
2011 4,1153.3
2012 1,1137.8
2012 2,1153.8
2012 3,1118.6
2012 4,1071.1
2013 1,1112.1
2013 2,1149.7
2013 3,1075.6
2013 4,1055.3
2014 1,1068.8
2014 2,1014.4
2014 3,1050.6
2014 4,1099.2
2015 1,1105.0
2015 2,1124.1
2015 3,1194.5
2015 4,1172.0
2016 1,1153.5
2016 2,1164.7
