date,employment_rate,bonds_3_year
2010/01,56.6,4.3
2010/02,56.6,4.2
2010/03,57.8,3.9
2010/04,59.1,3.8
2010/05,60,3.7
2010/06,59.8,3.8
2010/07,59.8,3.9
2010/08,59.1,3.7
2010/09,59.1,3.5
2010/10,59.4,3.2
2010/11,59.2,3.4
2010/12,58,3.3
2011/01,56.8,3.7
2011/02,57.1,3.9
2011/03,58.3,3.7
2011/04,59.3,3.7
2011/05,60.1,3.7
2011/06,60.3,3.7
2011/07,60,3.8
2011/08,59.6,3.6
2011/09,59.1,3.5
2011/10,59.9,3.5
2011/11,59.7,3.4
2011/12,58.5,3.4
2012/01,57.4,3.4
2012/02,57.5,3.4
2012/03,58.6,3.6
2012/04,59.7,3.5
2012/05,60.5,3.4
2012/06,60.4,3.3
2012/07,60.3,3
2012/08,59.7,2.8
2012/09,60,2.8
2012/10,60.1,2.8
2012/11,59.7,2.8
2012/12,58.3,2.9
2013/01,57.4,2.8
2013/02,57.2,2.7
2013/03,58.4,2.6
2013/04,59.8,2.6
2013/05,60.4,2.6
2013/06,60.5,2.9
2013/07,60.4,2.9
2013/08,60,2.9
2013/09,60.4,2.9
2013/10,60.5,2.8
2013/11,60.4,2.9
2013/12,59.1,2.9
2014/01,58.5,2.9
2014/02,58.6,2.9
2014/03,59.4,2.9
2014/04,60.6,2.9
2014/05,60.8,2.8
2014/06,60.9,2.8
2014/07,61.1,2.6
2014/08,60.8,2.5
2014/09,60.8,2.4
2014/10,60.9,2.2
2014/11,60.8,2.1
2014/12,59.4,2.1
2015/01,58.7,2
2015/02,58.8,2
2015/03,59.5,1.9
2015/04,60.3,1.7
2015/05,60.9,1.9
2015/06,60.9,1.8
2015/07,61.1,1.8
2015/08,60.7,1.7
2015/09,60.9,1.7
2015/10,60.9,1.6
2015/11,60.8,1.8
2015/12,59.9,1.7
2016/01,58.8,1.6
2016/02,58.7,1.5
2016/03,59.6,1.5
2016/04,60.3,1.5
2016/05,61,1.5
2016/06,61.2,1.3
2016/07,61.2,1.2
