"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","성분 및 원료4","성분 및 원료5","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","번호8","성분 및 원료7","성분 및 원료8","비고7","비고8","번호9","번호10","번호11","번호12","번호13","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고9","비고10","비고11","비고12","비고13"
"1","번호361","품목보고번호2022052000311","업소명유에스바이오텍","품목유형혼합음료","유통/소비기한2년","제품명한국홍삼골드","분류식품","업체명","유에스바이오텍","소재지","경기도 포천시 가산면 궁말길 60-2(가,나동)","1","2","3","식물혼합추출물","홍삼농축액","프락토올리고당","","7:3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호360","품목보고번호2012009416210","업소명이지푸드","품목유형혼합음료","유통/소비기한45일","제품명한끼 뚝닭(고소한맛)","분류식품","업체명","이지푸드","소재지","서울특별시 관악구 봉천로6길 55(신림동, 지하)","1","2","3","닭가슴살","바나나","정제수",NA,NA,NA,"4","5","견과류","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호359","품목보고번호2012009416211","업소명이지푸드","품목유형혼합음료","유통/소비기한45일","제품명한끼 뚝닭(달콤한맛)","분류식품","업체명","이지푸드","소재지","서울특별시 관악구 봉천로6길 55(신림동, 지하)","1","2","3","닭가슴살","바나나","딸기",NA,NA,NA,"4","5","정제수","굴",NA,NA,"6","딸기원액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호358","품목보고번호201200941629","업소명이지푸드","품목유형혼합음료","유통/소비기한45일","제품명한끼 뚝닭(담백한맛)","분류식품","업체명","이지푸드","소재지","서울특별시 관악구 봉천로6길 55(신림동, 지하)","1","2","3","닭가슴살","바나나","두유액",NA,NA,NA,"4","5","정제수","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호357","품목보고번호2012009416212","업소명이지푸드","품목유형혼합음료","유통/소비기한45일","제품명한끼 뚝닭(새콤한맛)","분류식품","업체명","이지푸드","소재지","서울특별시 관악구 봉천로6길 55(신림동, 지하)","1","2","3","닭가슴살","바나나","블루베리",NA,NA,NA,"4","5","정제수","벌꿀",NA,NA,"6","블루베리",NA,"7","8","원액","홍초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호356","품목보고번호20110441029114","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명한남 비타플러스골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","액상과당","구연산","구연산삼나트륨",NA,NA,NA,"4","5","니코틴산아미드","비타민B2",NA,NA,"6","타우린",NA,"7","8","파인향","사카린나트륨",NA,NA,"9","10","11","12","13","수크랄로스","안식향산나트륨","비타민B1염산염","비타민B6염산염","정제수",NA,NA,NA,NA,NA
"7","번호355","품목보고번호20110441029113","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명한남 진쌍화원","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","쌍화농축액","액상과당","천궁엑기스",NA,NA,NA,"4","5","구연산","구연산삼나트륨",NA,NA,"6","쌍화향",NA,"7","8","안식향산나트륨","사카린나트륨",NA,NA,"9","10","11","12",NA,"수크랄로스","식염","정제수","카라멜색소 I",NA,NA,NA,NA,NA,NA
"8","번호354","품목보고번호20110441029134","업소명명성제약식품","품목유형혼합음료","유통/소비기한2년","제품명한남대추골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","대추엑기스","액상과당","구연산","65brix국산","","","4","5","식염","안식향산나트륨","","합성보존료","6","카라멜색소","","7","8","사카린나트륨","수크랄로스","합성감미료","합성감미료","9","10",NA,NA,NA,"대추향","정제수",NA,NA,NA,"합성착향료","",NA,NA,NA
"9","번호353","품목보고번호20110441029138","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명한남만리장성동충하초","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","눈꽃동충하초농축액","참당귀농축액","천궁엑기스","40bix국산","55bix국산","55bix국산","4","5","액상과당","글리신","","","6","사카린나트륨","합성감미료","7","8","구연산","비타민B2","","","9","10","11","12",NA,"니코틴산아미드(고시형)","안식향산나트륨","허브향","정제수",NA,"","합성보존료","합성착향료","",NA
"10","번호352","품목보고번호20110441029112","업소명명성제약식품","품목유형혼합음료","유통/소비기한24개월","제품명한남복분자에프","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","복분자엑기스","액상과당","구연산","","","","4","5","구연산삼나트륨","복분자향","","합성착향료","6","안식향산나트륨","합성보존료","7","8","수크랄로스","적양배추색소","합성감미료","","9","10",NA,NA,NA,"사카린나트륨","정제수",NA,NA,NA,"","",NA,NA,NA
