"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14"
"1","번호641","품목보고번호199606170533","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명포카리스웨트","분류식품","업체명","동아오츠카(주)","소재지","경상남도 함안군 칠서면 공단서길 18","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","액상과당","구연산","구연산삼나트륨","그레이프후르츠향","정제소금","염화칼륨","젖산칼슘","비타민C","염화마그네슘","그레이프후르츠혼합액OT-G","정제수","","","","","DAO CAN LS","","","","","","","",NA,NA,NA,NA,NA,NA
"2","번호640","품목보고번호1980041500111","업소명동아오츠카주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명포카리스웨트","분류식품","업체명","동아오츠카주식회사","소재지","충청북도 청주시 흥덕구 직지대로516번길 39(송정동)","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","액상과당","구연산","구연산삼나트륨","DL-사과산","글루코노-δ-락톤","정제소금","염화칼륨","염화마그네슘","젖산칼슘","비타민C","그레이프후르츠혼합액OT-G","","","","","","","","","","","","","13","14","그레이프후르츠향","정제수","Grapefruit Fl.(DAO PET)LS",""
"3","번호639","품목보고번호1980041500155","업소명동아오츠카주식회사","품목유형혼합음료","유통/소비기한12개월","제품명포카리스웨트 이온워터","분류식품","업체명","동아오츠카주식회사","소재지","충청북도 청주시 흥덕구 직지대로516번길 39(송정동)","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","DL-사과산","젖산칼슘","글루코노-δ-락톤","L-글루타민산나트륨","염화마그네슘","자몽농축과즙","혼합제제","","","","","","","","","","","그레이프후르츠 과즙","Grapefruit Flavor PIW(Food GRADE)2","13","14","정제수","비타민 C(고시형)","",""
"4","번호638","품목보고번호20150375129111","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명포커스마인드 겔","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"누에고치단백가수분해물분말","프락토올리고당","레드비트농축액","잔탄검","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,"실크펩타이드(세라큐)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호637","품목보고번호19780614001429","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명포켓몬오렌지망고","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11","12","오렌지농축액","망고농축퓌레","설탕","효소처리스테비아","구연산","구연산삼나트륨","비타민C","폴리덱스트로스","펙틴","합성향료","합성향료","정제수","Bx:65.0 오렌지혼탁농축액","BX:28.0","","","","","","","","오렌지향","망고향","",NA,NA,NA,NA,NA,NA
"6","번호636","품목보고번호20090473152527","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명1879 폴리페놀","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","기타가공품","배농축액","용설란시럽","시클로덱스트린시럽","비타민C","천연과일향","치커리식이섬유","효소처리스테비아","글리신","L-알라닌",NA,"","적포도 발효 농축액","","유기농 아가베 시럽","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"7","번호635","품목보고번호20090473152384","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명1879폴리페놀 Green","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","12","정제수","아로니아농축액","당류가공품","기타가공품","시클로덱스트린","비타민C","석류농축액","노니농축액","천연향료(Lime)","천연향료(Orange leaf)","효소처리스테비아","글리신","","","유기농아가베시럽","적포도발효농축액","","","","","천연 라임향","천연 오렌지향","","","13",NA,"L-알라닌",NA,"",NA
"8","번호634","품목보고번호2006039411259","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일로부터 실온24개월","제품명표(表)","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","고형차",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","표(식물혼합추출물분말)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호633","품목보고번호2006039411260","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일부터 실온24개월","제품명표강","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","고형차","생선콜라겐",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","표(식물혼합추출물분말)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호632","품목보고번호19950433026120","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한캔 ;24개월, PET,병 ;12개월","제품명푸랜드 프리미엄 알로에","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10",NA,NA,"알로에베라겔주스","백설탕","구연산","구연산삼나트륨","젖산칼슘","비타민C혼합제제","젤란검","그린색소","알로에향","정제수",NA,NA,"알로에베라겔","","구연산함수","","","","","산그린LT","","",NA,NA,NA,NA,NA,NA,NA,NA
