"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17","번호18","번호19","번호20","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고18","비고19","비고20"
"1","번호411","품목보고번호19890445014891","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명하루 양배추","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","양배추추출액","사과농축액","홍삼추출액","홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호410","품목보고번호19890445014824","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36개월","제품명하루 헛개","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","이소말토올리고당","헛개나무혼합추출액","벌꿀","정제수","","헛개혼합추출액","","","5","6","7","8","9","10","11","12","기타가공품","카라멜색소","잔탄검","합성향료","타우린","구연산","L-아스파라진","효소처리스테비아","식물혼합농축액","","","헛개향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호409","품목보고번호2014061226663","업소명영농조합법인 물댄동산","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명하루비타","분류식품","업체명","영농조합법인 물댄동산","소재지","경상남도 거제시 거제면 옥산금성길 23(다동 1~2층)","1","2","3","4","정제수","설탕","사과즙","파인애플과즙","","","사과100%","파인애플100%","5","6","7","8","9","10",NA,NA,"사과농축액","오미자열매발효액","비타민C","구연산","비타민B2","천연사과향",NA,NA,"사과100%","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호408","품목보고번호2009015604926","업소명(주)에이치비티","품목유형혼합음료","유통/소비기한12개월","제품명하루시작 노니","분류식품","업체명","(주)에이치비티","소재지","부산광역시 기장군 일광읍 횡계길 7(B동 102호 재부산테크노파크 해양생물산업육성센터)","1","2","3","4","노니원액","기타발효음료","망고농축액","가시여지잎분말","","산야초[어성초,오가피,배추,케일,치커리,파래,칡)","","그라비올라, 뜨거운 물로 추출하여 필터후 추출액을 사용","5","6","7","8",NA,NA,NA,NA,"포도농축액","구연산","헛개나무열매추출분말","정제수",NA,NA,NA,NA,"","","헛개나무열매추출고형분20%, 덱스트린80%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호407","품목보고번호20110084489395","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명하루업 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","L-아르지닌","정제수","구연산","과.채가공품","","","함수구연산","청귤착즙농축액","5","6","7","8","9","10","11","12","오렌지농축액","레몬농축액","효소처리스테비아","타우린","비타민C","혼합제제","글루콘산아연","기타가공품","","","","","","","","복합황금추출물","13","14","15","비타민B6염산염","비타민B1염산염","비타민B2","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호406","품목보고번호20140415135110","업소명(주)에이원바이오","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명하루에 한번은","분류식품","업체명","(주)에이원바이오","소재지","충청남도 아산시 음봉면 월암로 336-42(1동)","1","2","3","4","혼합제제","D-소르비톨결정성 분말","규격외일반가공식품","폴리덱스트로스","해산물식이섬유100%(고형분5%, 멍게, 국내산)","","락추로스 솔류선","","5","6","7","8","9",NA,NA,NA,"자몽농축액","구연산(무수)","프락토올리고당","혼합제제","정제수",NA,NA,NA,"","","","자몽향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호405","품목보고번호19990555093385","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명하루에 활력","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","오미자추출액","오미자발효추출액","유청단백분말","사양벌꿀","","","분리유청단백분말, WPI","","5","6","7","8","9","10","11",NA,"혼합제제","효소처리스테비아","식염","혼합허브추출물","수크랄로스","규소수지혼합제제","정제수",NA,"오미자향","","","복합허브추출물","","소포제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호404","품목보고번호2017014715518","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명하루의시작 비움","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","푸룬농축과즙","프락토올리고당","식초","수산화마그네슘",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","석류농축액","체리향1","비타민 B1라우릴황산염(고시형)","구연산","D-소르비톨","다시마","알로에(고시형)","가시오가피숙지황 복합추출물",NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","양파","감초추출액","민들레",NA,NA,NA,"16","17","결명자추출액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호403","품목보고번호19880607021371","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명하루잇 콜라겐 단백질","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2","3","4","기타가공품","초유단백분말","분리대두단백","생선콜라겐분말","WPH","","","저분자피쉬콜라겐","5","6","7","8","9","10","11","12","아미노산혼합제제","구연산","DL-사과산","비타민C","사과맛분말","라즈베리분말","청사과향분말","라즈베리향분말","","무수구연산","","","풋사과맛분말","라즈베리맛분말","","","13","14","15","포도당","효소처리스테비아","아스파탐","무수결정포도당","","","16","17","에리스리톨","L-아르지닌","","","18","19","20","기타가공품","과.채가공품","정제수","복합황금추출물","모로블러드오렌지농축분말",""
"10","번호402","품목보고번호2017062863045","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하루탄탄 영양든든 마시는 푸로틴","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","3","4","정제수","기타설탕","완두분말","고올레산해바라기유","","비정제사탕수수당","","","5","6","7","8","9","10","11","12","현미배아분말","혼합분말믹스","쌀단백분말","청양고추엑기스","젤란검","나한과추출물분말","천연향료","천연향료","","밤, 고구마, 다시마, 김, 생강, 청양고추, 인삼","","","","","천연쌀향","천연보리향","13","14","15","천연향료","아마란스분말","브로콜리분말","쳔연현미향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
