"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14"
"1","번호3987","품목보고번호20100543066207","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명베라 알로에 오리지널","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라겔절편","액상과당","구연산","구연산삼나트륨","수크랄로스","효소처리스테비아","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3986","품목보고번호20100543066203","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명베라 알로에 파인애플","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라겔절편","액상과당","구연산","구연산삼나트륨","수크랄로스","젤란검","젖산칼슘","베타카로틴(고시형)","식용색소황색4호","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3985","품목보고번호20100543066335","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라킹 슈가프리 딸기맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라겔절편","알로에분말","구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","적양배추색소","카라멜색소","딸기색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","착향료(딸기향)",NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA
"4","번호3984","품목보고번호20100543066334","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라킹 슈가프리 망고맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라겔절편","알로에분말","구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","비타민C","적양배추색소","카로틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","색소",NA,"12","착향료(망고향)",NA,"13","정제수",NA,NA,NA,NA
"5","번호3983","품목보고번호20100543066332","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라킹 슈가프리 석류맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라겔절편","알로에분말","구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","적양배추 색소","딸기색소","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","착향료(석류향)",NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA
"6","번호3982","품목보고번호20100543066333","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 제조일로부터 36개월, PET,BOTTLE : 제조일로부터 24개월","제품명베라킹 슈가프리 파인애플맛 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","알로에베라겔절편","알로에분말","구연산","구연산삼나트륨","젤란검","젖산칼슘","합성감미료","비타민C","카로틴","색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","카라멜색소",NA,"12","착향료(파인애플향)",NA,"13","정제수",NA,NA,NA,NA
"7","번호3981","품목보고번호20040275056485","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명베러워터 천포도","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9",NA,"정제수","프락토올리고당","포도농축액","블루베리농축액","구연산(무수)","천연포도향","저단선열매","저단선줄기","효소처리스테비아",NA,"","","적포도농축액","","","","천년초열매분말","천년초줄기분말","스테비텐후레쉬",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3980","품목보고번호20000614238477","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명베리 해피 블루베리 블루베리에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","블루베리농축액","청포도농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","합성향료",NA,"12","식용색소적색제40호",NA,"13","식용색소청색제1호",NA,"14","정제수",NA
"9","번호3979","품목보고번호20140395066325","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명베리가 똑똑","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","정제수","아사이베리혼합농축액","포도농축액","설탕","기타과당","블루베리향","구연산","구연산삼나트륨","비타민C","식물혼합추출액","","","","","액상과당","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3978","품목보고번호2013062007139","업소명재단법인 남해마늘연구소","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명베리굿블랙베리","분류식품","업체명","재단법인 남해마늘연구소","소재지","경상남도 남해군 이동면 남해대로 2465-8","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"블랙베리","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
