"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호271","품목보고번호198506140552005","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명향긋하고깔끔한맛 복숭아녹차","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","녹차농축액","복숭아농축액","백설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","덱스트린","락색소-엘에이","복숭아향 #1","녹차향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호270","품목보고번호20110493072273","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명향긋한 수분충전  복숭아녹차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11","12","정제수","백설탕","덱스트린","구연산","구연산삼나트륨","복숭아농축액","녹차농축액","비타민 C(고시형)","수크랄로스","락색소","녹차향","복숭아향","","","","산도조절제","산도조절제","이스라엘산, 68Brix","국내산","영양강화제","감미료","엘에이, 착색제","#3, 합성향료","#1, 합성향료",NA,NA,NA
"3","번호269","품목보고번호19930571069325","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명향긋한 수분충전 복숭아 녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12","녹차농축액","복숭아농축액","백설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","락색소","복숭아향","녹차향","정제수","말토덱스트린혼합제제","","","","","","","","","","","","말토덱스트린",NA,NA,NA
"4","번호268","품목보고번호198506140552376","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명향긋한수분충전 복숭아녹차","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","덱스트린","구연산","복숭아농축액","녹차농축액","구연산삼나트륨","비타민C","락색소-엘에이","수크랄로스","녹차향","복숭아향 #1","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호267","품목보고번호2019041307992","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명향긋한수분충전복숭아녹차","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","8","9","10","11","12","설탕","복숭아농축액","녹차농축액","덱스트린","구연산","구연산삼나트륨","비타민C","수크랄로스","락색소","합성향료","합성향료","정제수","","이스라엘산","국산","","","","","","","복숭아향","녹차향","",NA,NA,NA
"6","번호266","품목보고번호20060467265165","업소명향토농산홍삼사업부","품목유형혼합음료","유통/소비기한제조일로부터 36개월 이내","제품명향토로얄동충하초골드","분류식품","업체명","향토농산홍삼사업부","소재지","충청남도 금산군 제원면 송림길 166","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,"눈꽃동충하초추출액","상황버섯추출물(고시형)","식물혼합농축액","홍삼당침액","올리고당","영지버섯추출농축액","자몽종차추출물",NA,NA,NA,NA,NA,"동충하초추출액(고형분1.0%, 국산)","상황버섯추출액(고형분 0.5%, 국산)","고형분 65%","고형분 65%","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호265","품목보고번호19890445014690","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명허니 레몬라임","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","레몬농축액","라임농축액","설탕","사양벌꿀","수크랄로스","구연산","식용색소황색제4호","식용색소청색제1호","합성향료","혼합제제","합성향료","정제수","","","","","","","","","시트러스분말향","라임향","허니향","",NA,NA,NA
"8","번호264","품목보고번호201703116765","업소명고려은단 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명허니&유자 비타민C","분류식품","업체명","고려은단 주식회사","소재지","경기도 안산시 단원구 해봉로273번길 33(신길동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","백설탕","유자농축과즙액","비타민C","벌꿀","구연산삼나트륨","정제소금","유자향","효소처리스테비아","비타민B2",NA,NA,"","","","","","","","합성향료","","",NA,NA,NA,NA,NA
"9","번호263","품목보고번호20070440079104","업소명(주)다원","품목유형혼합음료","유통/소비기한12개월","제품명허니&유자에이드","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10","11","12","유자농축액","벌꿀","액상과당","백설탕","비타민C","구연산삼나트륨","구연산","유자향","홍화황색소","수크랄로스","효소처리루틴","카로틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","정제수",NA
"10","번호262","품목보고번호2011049307289","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명허니&제주한라봉","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11",NA,"과.채가공품","백설탕","정제수","사양벌꿀","한라봉향","펙틴","구연산","비타민C혼합제제","수크랄로스","구연산삼나트륨","감귤류추출물",NA,"한라봉당절임","","","","합성향료","유화제","산도조절제","영양강화제","합성감미료","산도조절제","",NA,NA,NA,NA
