"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호...12","성분 및 원료","비고","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호1593","품목보고번호19890445014184","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36월","제품명자크로100","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","석류농축액과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1592","품목보고번호2019037647617","업소명호랑이건강원에프앤비 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명자향원기수","분류식품","업체명","호랑이건강원에프앤비 주식회사","소재지","경기도 안성시 서운면 바우덕이로 326",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","생맥차추출액","타우린","비타민 B1염산염(고시형)","비타민C","구연산(무수)","판토텐산칼슘","구연산삼나트륨","L-아르지닌","블루베리향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1591","품목보고번호2019037647618","업소명호랑이건강원에프앤비 주식회사","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명자향청폐수","분류식품","업체명","호랑이건강원에프앤비 주식회사","소재지","경기도 안성시 서운면 바우덕이로 326",NA,NA,NA,"1","2","3","4","5","6","7","8","9",NA,NA,"칡농축액","블루베리농축액","도라지농축액","생강농축액","복령농축액","귤껍질농축액","감초농축액","블루베리향","정제수",NA,NA,"","","","","균핵","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1590","품목보고번호2019037647620","업소명호랑이건강원에프앤비 주식회사","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명자향평위수","분류식품","업체명","호랑이건강원에프앤비 주식회사","소재지","경기도 안성시 서운면 바우덕이로 326",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","매실농축액","모창출추출액","진피 추출물 혼합추출물","계피농축액","생강농축액","l-멘톨","드링크향","육두구분말","정향나무분말","","","","뿌리줄기","","","","","","","","12","13","14","구연산","구연산삼나트륨","L-카르니틴","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1589","품목보고번호2019037647619","업소명호랑이건강원에프앤비 주식회사","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명자향혈기수","분류식품","업체명","호랑이건강원에프앤비 주식회사","소재지","경기도 안성시 서운면 바우덕이로 326",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10",NA,"정제수","생강농축액","대추농축액","작약농축액","참당귀농축액","황기농축액","천궁농축액","숙지황등혼합농축액","계피농축액","감초농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1588","품목보고번호1999044318333","업소명(주)콩세상","품목유형혼합음료","유통/소비기한5개월,냉장","제품명작두콩알식혜","분류식품","업체명","(주)콩세상","소재지","충청북도 진천군 초평면 초금로 273",NA,NA,NA,"1","2","3","4","5","6","7",NA,NA,NA,NA,"찹쌀","맵쌀","겉보리엿기름","안식향산나트륨","지하암반수","설탕","작두콩",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1587","품목보고번호1993062500657","업소명현대약품(주)","품목유형혼합음료","유통/소비기한해당없음.","제품명작약미인","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","액상과당","폴리덱스트로스","작약농축액","구연산","아세로라향","구연산삼나트륨","복숭아향","비타민C","자색고구마색소","수크랄로스","락색소","","","","","","","백도향","","","","","12",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1586","품목보고번호19710570001154","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한제조일로부터 12월","제품명잔치집식혜","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21",NA,NA,NA,"1","2","3","4","5",NA,NA,NA,NA,NA,NA,"엿기름","멥쌀","백설탕","생강엑기스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1585","품목보고번호19970617062148","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터24월","제품명잘보톤","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","정제수","타우린","베타인","L-아르지닌","솜엉겅퀴추출물","젖산칼슘","니코틴산아미드","비타민B1염산염","비타민B6염산염","판토텐산칼슘","매실향","","","","","아티초크건조엑스","","","","","","","12","13","14","글루콘산마그네슘","염화칼륨","구연산(무수)","","","무수구연산","15","16","17","18","19","20","산화아연","효소처리스테비아","안식향산나트륨","수크랄로스","비타민B2","기타가공품","","","","감미료","","생강추출분말"
"10","번호1584","품목보고번호19970617062203","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잘크토닉","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","정제수","D-소비톨액","L-라이신염산염","추출가공식품","L-아르지닌","L-아스파트산","구연산","사과향","주석산수소콜린","판토텐산칼슘","효소처리스테비아","","","","뉴클레오이리단백","","","무수","합성향료","","","","12","13","14","정제소금","안식향산나트륨","수크랄로스","","보존료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
