"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17"
"1","번호4952","품목보고번호20000360372247","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명데일리C레몬워터","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9","10","11","12","레몬농축액","기타과당","구연산","구연산삼나트륨","비타민C혼합제제","효소처리루틴","수크랄로스","히알루론산","홍화황색소","합성향료","천연향료","정제수","레몬청징농축액","액상과당","","","","","","","분말산옐로우","레몬향1","레몬향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4951","품목보고번호19930242053245","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월(실온 PET)","제품명데일리C레몬워터","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","9","10","11","12","레몬청징농축액","액상과당","구연산","구연산삼나트륨","비타민C","효소처리루틴","수크랄로스","히알루론산","정제수","홍화황색소","합성착향료","천연착향료","","","","","","","","","","산옐로우NO.2","레몬향","레몬향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4950","품목보고번호19930242053311","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터9개월","제품명데일리C자몽워터","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","9","10","11",NA,"자몽농축액","액상과당","구연산","비타민C","구연산삼나트륨","효소처리루틴","수크랄로스","히알루론산","자몽향(합성)","천연착향료(Grapefruit)","정제수",NA,"자몽청징농축액","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4949","품목보고번호20000360372249","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명데일리C자몽워터","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9","10","11",NA,"자몽농축액","기타과당","구연산","비타민C혼합제제","구연산삼나트륨","효소처리루틴","수크랄로스","히알루론산","합성향료","천연향료","정제수",NA,"자몽청징농축액","액상과당","","","","","","","자몽향1","자몽향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4948","품목보고번호19930242053329","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명데일리C청포도워터","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"청포도농축액","기타과당","구연산","비타민C","효소처리루틴","수크랄로스","히알루론산","합성착향료","합성착향료","정제수",NA,NA,"청포도청징농축액(white grape concentrate)","","결정","","","","","포도향1","포도향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4947","품목보고번호20020623009935","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명데일리라이프 이온워터","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","기타과당","레드자몽농축액","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","DL-사과산","젖산칼슘","비타민C","L-글루탐산나트륨","","","64brix","","","","","","","","","향미증진제","13","14","15","16","글루코노-δ-락톤","시트러스향","자몽향","정제수","","합성향료","합성향료","",NA,NA,NA
"7","번호4946","품목보고번호20020623009936","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명데일리라이프 이온워터 블루","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","레몬농축액","구연산","구연산삼나트륨","정제소금","염화칼륨","염화마그네슘","젖산칼슘","에리스리톨","비타민B6염산염","타우린","수크랄로스","","65Brix","","","","","","","","","","합성감미료","13","14","15","16","식용색소청색제1호","시트러스향","혼합과일향","딸기향","합성착색료","합성향료","합성향료","합성향료","17","정제수",""
"8","번호4945","품목보고번호198604350131088","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명데일리밸런스 프렌치콜라겐 앰플 10000","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","콜라겐","정제수","청포도농축액","구연산","과당","청포도향","효소처리스테비아","γ-시클로덱스트린","맥아추출액","올리브유","수크랄로스","히알루론산혼합제제","콜라겐펩타이드","","샤인머스켓혼합농축액(고형분 39%)","","","(합성향료)","","","맥아추출물(고형분 40%)","올리브유혼합액","","","13","14","15","16","비타민C","비타민E혼합제제","비타민 A 혼합제제","우유단백질","","(비타민E 16.75% 함유)","(비타민A 9.8% 함유)","우유단백질농축분말(밀크세라마이드)","17","엘라스틴","엘라스틴추출물혼합분말(엘라스틴펩타이드혼합추출분말)"
"9","번호4944","품목보고번호1987036005461","업소명(주)아모레퍼시픽","품목유형혼합음료","유통/소비기한18개월","제품명데일리토닝 레드","분류식품","업체명","(주)아모레퍼시픽","소재지","경기도 안성시 공단1로 36(신건지동)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","석류농축액","당근농축액","콜라비농축액","보검선인장열매농축","레드비트농축액","과일채소혼합농축액","레몬농축액","기타가공품","비타민C","녹차추출물분말(고시형)",NA,"","","제주당근농축액","제주콜라비농축액","제주백년초열매농축액","제주레드비트농축액","펄스에너지제주채소혼합농축액","","황금혼합농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4943","품목보고번호2013044306162","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한1년","제품명덴드로 파낙스","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황칠나무추출물","황칠나무농축액","당시럽류",NA,NA,NA,NA,NA,NA,NA,NA,"","국내산,유기농,줄기,잎사용","국내산,유기농,줄기,잎사용","메이플시럽,캐나다산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
