"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호4842","품목보고번호2007038312630","업소명예그린식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명두메산골 전통식혜","분류식품","업체명","예그린식품","소재지","강원도 원주시 귀래면 귀문로 301","1","2","3","4","5","6","7","엿기름","멥쌀","천일염","백설탕","정제수","생강","비타민C혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4841","품목보고번호19940474018613","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명두주불사","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","정제수","물엿","기타가공품","기타과당","기타가공품","과.채가공품","프락토올리고당","","저당","꽃송이버섯균사체추출액","","헛개나무열매추출.농축액","배농축과즙F","","8","9","10","11","비타민C","DL-사과산","합성향료","합성향료","","","사과향W","망고향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4840","품목보고번호202206260547","업소명주식회사건영비앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명두힐고흥 유자액","분류식품","업체명","주식회사건영비앤에프","소재지","충청남도 천안시 서북구 직산읍 부송1길 62(1동, 2동, 3동)","1","2","3","4","5",NA,NA,"정제수","액상과당","이소말토올리고당","사양벌꿀","유자과즙",NA,NA,"","","","국내산","유자 100%, 국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4839","품목보고번호20110493072300","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터12개월.","제품명두힐고흥2418유자워터","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","정제수","백설탕","구연산","정제소금","염화칼륨","유자향","액상차","","","산도조절제","국내산","","#4,합성향료","{고흥유자액[유자과즙(유자100%국내산)38.5%,액상과당38.5%,이소말토올리고당13%,벌꿀(잡화,국내산10%)]}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4838","품목보고번호20110493072281","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월.","제품명두힐고흥유자워터","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","정제수","백설탕","액상차","구연산","정제소금","염화칼륨","유자향","","","고흥유자액[유자과즙(유자100%,국내산)38.5%,액상과당 38.5%, 이소말토올리고당 13%, 벌꿀(잡화꿀,국내산)10%]","산도조절제","국내산","","#4, 합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4837","품목보고번호20110493072327","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명두힐고흥유자차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5","6","7","정제수","백설탕","사양벌꿀","구연산","비타민C","베타카로틴(고시형)","유자향","","","국내산","산도조절제","영양강화제","FC, 착색제","#4, 합성향료","8",NA,NA,NA,"액상차",NA,NA,NA,"고흥유자액[유자과즙 (국내산) 38.5%,액상과당 38.5%,이소말토올리고당 13%, 벌꿀(사양벌꿀,국내산)]10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4836","품목보고번호19860443015472","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명듀썸 헬씨 콜라겐 이너. 볼 앰플(DOUXSUM HEALTHY COLLAGEN INNER. VOL AMPOULE)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","정제수","콜라겐가수분해물","기타과당","석류농축액","구연산(무수)","히비스커스추출물","합성향료","","콜라겐, 돈피콜라겐","","","","","석류향","8","9","10","11","발효돈태반추출액","황금혼합추출물","합성향료","잔탄검","발효돈태반추출물","복합황금추출물","복숭아향","","12","13","14","15","16","히알루론산","효소처리스테비아","엘라스틴가수분해물","혼합제제","혼합제제","","","","비오틴 1%","비타믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4835","품목보고번호20190391582137","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명듀얼 이너뷰티 콜라겐","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","정제수","생선젤라틴","에리스리톨","석류과즙농축액","포도농축액","인산","변성전분","","GT콜라겐","","","","","","8","9","10","11","혼합제제","천연향료","기타가공품","글루콘산아연","석류향","천연인핸서향","복합황금추출물","","12","13","14","15","16","비타민C","효소처리스테비아","니코틴산아미드","기타가공품","히알루론산","","","","복합허브추출물C","","17","18","19","20","21","22","판토텐산칼슘","비타민B1염산염","비타민B2","비타민B6염산염","우유단백질","기타가공품","","","","","밀크세라마이드","엘라스틴 가수분해물"
"9","번호4834","품목보고번호19860435013899","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터                            18 개월","제품명드랍투드랍나이트드롭스","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","정제수","글리세린","테아닌","L-글루타민","구연산","라즈베리향","스피어민트향","","","","","","(천연향료)","(천연향료)","8","9","10","11","산화아연","프락토올리고당","아세로라추출분말","밀리타리스동충하초추출물","(아연 80%)","","","","12","13","14","15","16","홍삼농축액분말","안식향산나트륨","스테비올배당체","요오드칼륨","홀리바질잎","","","","(요오드 76%)","홀리바질추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4833","품목보고번호19860435013898","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터                            18 개월","제품명드랍투드랍데이드롭스","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","정제수","글리세린","커피추출","에리스리톨","코코아분말","바닐라향","흰강낭콩추출물","","","그린커피빈추출물분말","","","(천연향료)","흰강낭콩추출물분말","8","9","10","11","구연산","녹차추출물분말가루","과라나추출물분말","비타민D3혼합제제","","녹차추출물분말","","","12","13","14","15",NA,"계피농축분말","스테비올배당체","안식향산나트륨","비오틴 혼합",NA,"","","","비오틴혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
