"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호4117","품목보고번호20200401439123","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바디플레이(BODYPLAY) 프로틴워터 요거트향","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","정제수","유청단백분말","자일리톨","혼합제제","DL-사과산","구연산","효소처리스테비아","혼합제제","","분리유청단백(미국산)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4116","품목보고번호202207493233","업소명(주)위드앤푸드 농업회사법인1공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바라다 도라지배 젤리스틱","분류식품","업체명","(주)위드앤푸드 농업회사법인1공장","소재지","전라남도 무안군 현경면 양학길 247","1","2","3","4","5","6","7","8","배농축액","프락토올리고당","사양벌꿀","귤착즙액","도라지농축액","기타가공품","모과농축액","생강시럽농축액","","","","청귤착즙액","","푸드겔G","","","9","10","효소처리스테비아","정제수","레바텐프라임","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4115","품목보고번호202207493237","업소명(주)위드앤푸드 농업회사법인1공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바라다 호박젤리스틱","분류식품","업체명","(주)위드앤푸드 농업회사법인1공장","소재지","전라남도 무안군 현경면 양학길 247","1","2","3","4","5","6","7","8","호박농축액","팥농축분말","사양벌꿀","프락토올리고당","잔탄검","구연산","기타가공품","호박향","유기농","","","","푸드겔-A","함수구연산","복합황금추출물","","9","10","효소처리스테비아","호박추출물","레바텐프라임","","11","12","저분자콜라겐펩타이드(기능성원료인정제2013-30호)","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4114","품목보고번호202100845896","업소명(주)백담","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명바로,나","분류식품","업체명","(주)백담","소재지","서울특별시 금천구 서부샛길 648(대륭테크노타운6차 5층 501호 가산동)","1","2","3","4","5","6","7","8","정제수","패각분말","산호분말","요오드칼륨","산화아연","합성향료(Methylsulfinylmethane)","스테비아추출물","비타민D3 분말",NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,"필리핀레몬열매과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4113","품목보고번호2013037221927","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명바로나쎄븐(7)","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4",NA,NA,NA,NA,"정제소금","제삼인산칼륨","미네랄혼합제제","정제수",NA,NA,NA,NA,"","","맥스복합미네랄[탄산칼륨, 염화칼륨, 탄산나트륨]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4112","품목보고번호20090517030116","업소명쿱푸드시스템 주식회사","품목유형혼합음료","유통/소비기한제조일부터 6개월","제품명바로먹는냉식혜","분류식품","업체명","쿱푸드시스템 주식회사","소재지","전라남도 구례군 용방면 용산로 107-74","1","2","3","4","5",NA,NA,NA,"정제수","설탕","곡류가공품","쌀","과.채가공품",NA,NA,NA,"","","엿기름","유기농쌀","생강농축액14064",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4111","품목보고번호2007052007935","업소명농업회사법인(주)고려홍삼공사","품목유형혼합음료","유통/소비기한제조일로부터 2년간","제품명바로청","분류식품","업체명","농업회사법인(주)고려홍삼공사","소재지","전라남도 화순군 무리길 1","1","2","3","4","5","6","7","8","정제수","감식초","과당","당근추출액","대추추출액","감초추출액","홍삼추출액","구기자추출액","","(초산농도 2.6w/v%)","","(고형분1%)","(고형분1%)","(고형분1%)","(홍삼성분2.5mg/g)","(고형분1%)","9",NA,"구연산",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4110","품목보고번호20190326100151","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바로키업 키즈 칼슘 시럽","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","젖산칼슘","글루콘산마그네슘","글루콘산아연","비타민C","비타민B1염산염","비타민B6염산염","니코틴산아미드","기타가공품","발효젖산칼슘","","","","","","","산양유단백분말","9","10","프락토올리고당","초유단백분말","","","11","12","분리유단백","과.채가공품","","엘더베리농축액","13","14","15","16","17","18","19","20","21","22","23","과.채가공품","블루베리농축액","효소처리스테비아","구연산","기타가공품","기타가공품","블루베리향","복분자향","기타 농산가공품","정제수","기타가공품","적포도농축액","","","","난백펩타이드","난황펩타이드","","","황기추출분말","","CBP"
"9","번호4109","품목보고번호20010467239273","업소명도담 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명바로키커","분류식품","업체명","도담 주식회사","소재지","충청남도 금산군 진산면 진산로 643","1","2","3","4","5","6","7","8","정제수","β-시클로덱스트린","잔탄검","홍삼농축액","황금추출물","비타민C","밀크향","카제인포스포펩타이드","","","","홍삼농축액(홍삼사포닌70mg/g,고형분60%)","복합황금추출물(고형분50%이상)","","","","9","10","해조칼슘","잇꽃씨앗추출물분말","","홍화씨추출분말","11","12","구연산","녹용추출분말","","","13","14","15","16","17",NA,NA,NA,NA,NA,NA,"프락토올리고당","사양벌꿀","배농축액","딸기농축액","큰조롱덩이뿌리농축액",NA,NA,NA,NA,NA,NA,"액상","","배청징농축액(65brix이상)","딸기100%(고형분60%)","백수오50%(국산),한속단50%혼합농축액",NA,NA,NA,NA,NA,NA
"10","번호4108","품목보고번호19970464172538","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바로파워","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","쌀배아추출물분말","마카추출분말","니코틴산아미드","아미노산혼합분말","타우린","구연산삼나트륨","정제수","복분자농축액","수용성 옥타코사놀","","","아미노믹스","","","","","9","10","비타민B6염산염","기타과당","","","11","12","DL-사과산","효소처리스테비아","","","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"잔탄검","복분자향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
