"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","성분 및 원료8","성분 및 원료9","비고8","비고9","번호10","번호11","번호12","번호13","번호14","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고10","비고11","비고12","비고13","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호1793","품목보고번호2012054310919","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명이순자안동생강상쾌한목愛","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","4","5","6","7","생강농축액","배농축액","대추농축액","도라지농축액","프락토올리고당","물엿","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1792","품목보고번호20060512128290","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명이슬촌 레몬에이드","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","정제수","설탕","올리고당","비타민C","레몬농축액","구연산","레몬향",NA,NA,NA,NA,NA,NA,NA,"8","9","구연산삼나트륨","홍화황색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1791","품목보고번호2020044271655","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이오닉","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3",NA,NA,NA,NA,"정제수","규산칼슘","영지버섯추출물",NA,NA,NA,NA,"","","0.05brix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1790","품목보고번호19920624042315","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이온 플러스","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","백설탕","자몽농축액","구연산","구연산삼나트륨","정제소금","염화칼륨","DL-사과산",NA,NA,NA,NA,NA,NA,NA,"8","9","젖산칼슘","글루코노-δ-락톤",NA,NA,"10","11","12","13","14","염화마그네슘","자몽향","자몽향","자몽향","시트러스향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1789","품목보고번호19960458039530","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이온더핏","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","정제수","설탕","레드자몽농축액","합성향료","구연산","정제소금","구연산삼나트륨","","","64Brix,이스라엘산","피치자몽향, K-193371","","국산","","8","9","염화칼륨","합성향료","","피치자몽향,K-163612","10","11","12","13","14","젖산칼슘","합성향료","합성향료","수크랄로스","스테비올배당체","","시트러스향,SKB-1310","피치자몽향,TF-37572","","","15","16","염화마그네슘","비타민C","",""
"6","번호1788","품목보고번호20190413079134","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이온더핏","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","레드자몽농축액","향료","구연산","정제소금","구연산삼나트륨","염화칼륨","젖산칼슘","64Brix, 이스라엘산","피치자몽향, 시트러스향","","국산","","","","8","9","수크랄로스","스테비올배당체","","","10","11","12",NA,NA,"염화마그네슘","비타민C","정제수",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1787","품목보고번호19960458039621","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이온더핏 제로","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","정제수","구연산","정제소금","합성향료","합성향료","구연산삼나트륨","염화칼륨","","","","레몬향, K-202200","레몬향, TF42674","","","8","9","L-카르니틴","젖산칼슘","","","10","11","12","13","14","천연향료","합성향료","수크랄로스","염화마그네슘","스테비올배당체","리치향, 52109","시트러스향, SKB-1310","","","","15",NA,"비타민C",NA,"",NA
"8","번호1786","품목보고번호20190413079135","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이온더핏 제로","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","향료","구연산","정제소금","구연산삼나트륨","염화칼륨","L-카르니틴","젖산칼슘","레몬향, 시트러스향, 리치향","","국산","","","","","8","9","수크랄로스","스테비올배당체","","","10","11","12",NA,NA,"염화마그네슘","비타민C","정제수",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1785","품목보고번호20190413079158","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이온더핏 제로 밸런스","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","향료","구연산","정제소금","구연산삼나트륨","염화칼륨","향료","난소화성말토덱스트린(고시형)","피치자몽향(K-193371)","","","","","피치자몽향(K-163612)","","8","9","혼합제제","젖산칼슘","시트러스향 (SKB-1310)","","10","11","12","13","14","향료","수크랄로스","스테비올배당체","염화마그네슘","비타민C","피치자몽향(TF-37572)","","","","","15",NA,"정제수",NA,"",NA
"10","번호1784","품목보고번호20190413079157","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이온더핏 제로 액티브","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","6","7","구연산","정제소금","향료","구연산삼나트륨","향료","염화칼륨","혼합제제비타민B","","","오렌지향 E21123802","","오렌지향 22202054","","","8","9","향료","혼합제제","트로피칼？ (SK-22-09276)","시트러스향 (SKB-1310)","10","11","12","13","14","젖산칼슘","수크랄로스","스테비올배당체","염화마그네슘","타우린","","","","","","15","16","비타민C","정제수","",""
