"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호4147","품목보고번호201005430661066","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 망고","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","혼합분유","합성향료","구연산","두류가공품","구연산삼나트륨","혼합제제","망고농축액","수크랄로스","천연향료","기타가공품","","","혼합탈지분유(네덜란드산)","망고향","","대두다당류","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","이스라엘산/배합함량 : 망고 100%, 망고과즙으로 환원기준 : 0.05%","감미료","망고향","열처리혼합유산균3종",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4146","품목보고번호201005430661103","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 멜론","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","혼합분유","합성향료","구연산","혼합제제","두류가공품","구연산삼나트륨","멜론농축액","수크랄로스","천연향료","기타가공품","","","혼합탈지분유(네덜란드산)","멜론향","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","대두다당류","","이스라엘산/배합함량 : 멜론 100%, 멜론과즙으로 환원기준 : 0.1%","감미료","멜론향","열처리혼합유산균3종",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4145","품목보고번호201005430661067","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 복숭아","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","혼합분유","합성향료","구연산","두류가공품","구연산삼나트륨","혼합제제","복숭아농축액","수크랄로스","천연향료","기타가공품","","","혼합탈지분유(네덜란드산)","복숭아향","","대두다당류","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","미국산/배합함량 : 복숭아 100%, 복숭아과즙으로 환원기준 : 0.1%","감미료","복숭아향","열처리혼합유산균3종",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4144","품목보고번호201005430661060","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 오리지날","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","설탕","혼합분유","합성향료","구연산","두류가공품","구연산삼나트륨","혼합제제","수크랄로스","천연향료","기타가공품",NA,"","","혼합탈지분유(네덜란드산)","요구르트향","","대두다당류","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","감미료","요구르트향","열처리혼합유산균3종",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4143","품목보고번호201005430661102","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명밀커스 포도","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","혼합분유","합성향료","구연산","혼합제제","두류가공품","구연산삼나트륨","백포도농축액","수크랄로스","천연향료","기타가공품","","","혼합탈지분유(네덜란드산)","포도향","","설탕, 정제수, 탈지분유, 구연산, 포도당, 요거트향베이스","대두다당류","","칠레산/배합함량 : 백포도 100%, 백포도 과즙으로 환원기준 : 0.06%","감미료","포도향","열처리혼합유산균3종",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4142","품목보고번호19970464172483","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명밀크씨슬액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","기타과당","마카추출분말","강황추출액","타우린","구기자농축액","비타민C","L-아스파라진","L-아스파트산","비타민B1염산염","비타민B2","비타민B6염산염","정제소금","","","수용성커큐민(사용부위:뿌리줄기)","","","","","","","","","","13","14","15","16","17","18","19","20","21","구연산","과라나추출물분말","구연산삼나트륨","이노시톨","레몬향","사과향","허브향","정제수","밀크씨슬추출물","","","","","","","","","고형분1%"
"7","번호4141","품목보고번호1988046700837","업소명카루길식품","품목유형혼합음료","유통/소비기한12개월","제품명밀키짱1(딸기맛)","분류식품","업체명","카루길식품","소재지","충청남도 금산군 추부면 한사래길 5-30","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","액상과당","물엿","구연산(함수)","효소처리스테비아","딸기향","혼합제재","딸기농축과즙","안식향산나트륨","탈지분유","카르복실메치셀룰로오스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4140","품목보고번호1988046700838","업소명카루길식품","품목유형혼합음료","유통/소비기한12개월","제품명밀키짱2(사과맛)","분류식품","업체명","카루길식품","소재지","충청남도 금산군 추부면 한사래길 5-30","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","액상과당","물엿","구연산(함수)","효소처리스테비아","사과향","혼합제재","농축사과과즙","안식향산나트륨","탈지분유","카르복시메틸셀룰로오스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4139","품목보고번호1988046700839","업소명카루길식품","품목유형혼합음료","유통/소비기한12개월","제품명밀키짱3(오렌지맛)","분류식품","업체명","카루길식품","소재지","충청남도 금산군 추부면 한사래길 5-30","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","액상과당","물엿","구연산(함수)","효소처리스테비아","오렌지향","혼합제재","오렌지농축과즙","안식향산나트륨","탈지분유","카르복시메틸셀룰로오스나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4138","품목보고번호20020623009643","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명377바 민트(377BAR MINT)","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","파인애플농축액","페퍼민트농축분말","코코넛크림분말","백설탕","구연산","펙틴","수크랄로스","정제소금","식용색소청색제1호","시트러스향","레몬라임향","파인애플향","72brix","","","","","","합성감미료","","합성착색료","합성착향료","합성착향료","합성착향료","13","14","15","16",NA,NA,NA,NA,NA,"밀크향","럼향","민트향","정제수",NA,NA,NA,NA,NA,"합성착향료","합성착향료","합성착향료","",NA,NA,NA,NA,NA
