"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호1037","품목보고번호200500771311","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한24개월","제품명케이팜프라센프러스액","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","KHP태반추출농충액","올리고당","석류 추출물","구연산","과일향","자몽추출물","안식향산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1036","품목보고번호19740344001146","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명코-크 라이트 원제 제2B부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3",NA,NA,NA,NA,"정제수","카라멜","향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1035","품목보고번호2013037221926","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명코골이큐(Q) 활성미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4",NA,NA,NA,"정제소금","산화칼슘(고시형)","미네랄혼합제제","정제수",NA,NA,NA,"염화나트륨","","맥스복합미네랄[탄산칼륨, 염화칼륨, 탄산나트륨]","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1034","품목보고번호1986044301555","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명코리안레드진생 플러스(KOREAN RED GINSENG PLUS)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","홍삼농축액","잔탄검","식물혼합추출분말","나한과추출물분말","수크랄로스","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","안식향산나트륨","카라멜색소","허브향","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1033","품목보고번호20070358224753","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명코박사 엘더베리","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","정제수","프락토올리고당","블랙엘더베리농축액","배농축액","세븐베리농축액","딸기농축액","유자농축액",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","벌꿀","황금추출물","구아바잎추출분말","잔탄검","사과농축액",NA,NA,NA,NA,NA,"13","도라지농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1032","품목보고번호20150375129241","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명코비뉴","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","정제수","배농축액","과일채소혼합농축액","식물혼합농축액","프락토올리고당","흑마늘농축액","황금추출물분말","","","과일채소혼합농축액H","SC009농축액","프락토올리고당분말","","","8","9",NA,NA,NA,"클로렐라분말","프로폴리스추출액",NA,NA,NA,"","프로폴리스추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1031","품목보고번호20110493072363","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한12개월","제품명코아시스 미네랄 워터","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2",NA,NA,NA,NA,NA,"정제수","비타민 C(고시형)",NA,NA,NA,NA,NA,"","영양강화제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1030","품목보고번호20010515081470","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명코어틴 그린프로틴","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","정제수","혼합제제","채종유(유채유 또는 카놀라유)","탄산칼슘","탄산수소나트륨","완두단백","쌀단백","","Recodan SU115","","","","","쌀단백분말","8","9","10","11","12","완두단백","기타가공품","현미추출액","귀리페이스트","보리농축액","유산균발효저분자완두단백분말","IBCAA","현미추출물","","","13","정제소금","","14","15","16","17","18","19","20","21","22","비타민미네랄혼합제제","파라다이스넛추출물분말","레드비트분말","세븐베리농축분말","혼합제제","혼합제제","효소처리스테비아","수크랄로스","아세설팜칼륨","비타민미네랄믹스-CKD3","","레드비트추출분말","","혼합견과향","현미향","","",""
"9","번호1029","품목보고번호2020040143934","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코어틴 데일리프로틴","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","원유","백설탕","분리대두단백","카제인칼슘","채종유(유채유 또는 카놀라유)","탈지분유","탄산칼슘","","","","","","","","8","9","10","11","12","곡류가공품","혼합제제","혼합제제","혼합제제","혼합제제","5곡농축액","BCAA(L-로이신, L-이소로이신, L-발린, 레시틴)","혼합견과향(글리세린, 프로필렌글리콜, 카라멜색소, 합성향료, 주정, 정제수)","래코단(글리세린에스테르, 분말셀룰로스, 글리세린구연산지방산에스테르, 젤란검, CMC)","비타민미네랄믹스","13","혼합제제","현미향(프로필렌글리콜, 주정, 합성향료, 트리아세틴)","14","15","16","17","18","19","20","21","22","정제소금","파라다이스넛추출물분말","과.채가공품","과.채가공품","탄산수소나트륨","비타민D3혼합제제","구연산철암모늄","과.채가공품","정제수","","","당귀타라곤추출복합물","레드비트추출분말","","비타민D3혼합제제(아라비아검, 자당, 옥수수전분, 가공유지{팜유}, 이산화규소, 비타민D3, 비타민E)","","세븐베리농축혼합분말(블루베리, 아로니아, 다크스위트체리, 블랙커런트, 라즈베리, 크랜베리, 블랙베리)",""
"10","번호1028","품목보고번호20080395120523","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코어틴 데일리프로틴","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","원유","백설탕","분리대두단백","카제인칼슘","채종유(유채유 또는 카놀라유)","탈지분유","탄산칼슘","","","","","","","","8","9","10","11","12","곡류가공품","혼합제제","혼합제제","혼합제제","혼합제제","5곡농축액(고형분 50%, 보리, 현미, 귀리, 백미, 율무)","BCAA(L-로이신, L-이소로이신, L-발린, 레시틴)","혼합견과향(글리세린, 프로필렌글리콜, 카라멜색소, 합성향료, 주정, 정제수)","비타민미네랄믹스","래코단(글리세린에스테르, 분말셀룰로스, 글리세린구연산지방산에스테르, 젤란검, CMC)","13","혼합제제","현미향(프로필렌글리콜, 주정, 합성향료, 트리아세틴)","14","15","16","17","18","19","20","21","22","정제소금","파라다이스넛추출물분말","과.채가공품류","과.채가공품류","탄산수소나트륨","분말비타민D3혼합제제","구연산철암모늄","과.채가공품류","정제수","","","당귀타라곤추출복합물","레드비트추출분말","","","","세븐베리농축혼합분말(블루베리, 아로니아, 다크스위트체리, 블랙커런트, 라즈베리, 크랜베리, 블랙베리)",""
