"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18","번호19","성분 및 원료19","비고19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호1683","품목보고번호20180504025137","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명잇베러 베러드림","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","9","10","정제수","과.채가공품","바나나농축액","사과농축액","체리농축액","사양벌꿀","프락토올리고당","구연산","L-테아닌(고시형)","수크랄로스","","상추분말","(이스라엘산,65brix)","유기농사과농축액(터키산,71brix)","타트체리농축액(터키산, 65Brix)","","","함수구연산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1682","품목보고번호20180504025136","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명잇베러 베러맨","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","9","10","정제수","흑마늘농축액","프락토올리고당","타우린","L-아르지닌","마카추출분말","구연산","잔탄검","아미노산혼합분말","글루콘산아연","","(국내산,65brix)","","","","블랙마카분말","함수구연산","","","","11","수크랄로스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1681","품목보고번호20180504025138","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명잇베러 베러부스트","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","9","10","정제수","프락토올리고당","Red grape농축액","수크랄로스","구연산","타우린","비타민 C 분말","L-테아닌(고시형)","과라나추출물분말","아사이팜열매주스","","국내산","적포도농축액(고형분65%,칠레산)","","함수구연산","","","","","아사이팜열매주스(브라질)","11","천연포도향","","12","13","14","15","잔탄검","비타민D3혼합제제분말","가바","혼합제제비타민B","","","","비타민D믹스 DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1680","품목보고번호20180504025141","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잇베러 베러클렌즈","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","9","10","정제수","파인애플농축액","사과농축액","레몬농축액","호박농축액","레드자몽농축액","세븐베리농축액","서양자두농축액","체리농축액","프락토올리고당","","파인애플농축액(61brix,필리핀산)","풋사과농축액(68brix, 독일산)","","","","","푸룬농축액(미국산)","타트체리농축액(터키산)","","11","난소화성말토덱스트린분말(고시형)","","12","13","14","15","파인애플향","구연산","비타민C","수크랄로스","","함수구연산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1679","품목보고번호20040275056716","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잇츠 부스터","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","정제수","L-아르지닌","프락토올리고당","구연산","에리스리톨","라즈베리농축액","자몽농축액","비타민C","효소처리스테비아","라즈베리향","","","","","","","","","스테비텐후레쉬","","11","니코틴산아미드","","12","13","14","15","펙틴","L-카르니틴","자몽종자추출물","비타민B6염산염","","","","","16","17","18","비타민B1염산염","비타민B2","엽산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1678","품목보고번호20040275056623","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잇츠 아르기닌","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","정제수","L-아르지닌","프락토올리고당","구연산","에리스리톨","라즈베리농축액","히비스커스농축액","비타민C","효소처리스테비아","라즈베리향","","","","","","","히비스커스쥬스농축액","","스테비텐후레쉬","","11","니코틴산아미드","","12","13","14","15","곤약분말","L-카르니틴","자몽종자추출물","비타민B6염산염","","","","","16","17",NA,"비타민B1염산염","비타민B2",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1677","품목보고번호20070443110518","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명잇츠 프로틴 & 고칼슘 그레인","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","설탕","탈지분유","기타가공품","두류가공품","곡류가공품","기타가공품","정제소금","탄산수소나트륨","글리세린지방산에스테르","합성향료","","","분리유단백분말","분리대두단백","15곡혼합분말","패각칼슘","","","","땅콩향","11","합성향료","씨리얼향","12","13",NA,NA,"식품첨가물","정제수",NA,NA,"카라기난","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1676","품목보고번호20070443110517","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명잇츠 프로틴 & 고칼슘 초코","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","우유","탈지분유","설탕","기타가공품","코코아분말","기타가공품","유화제","자당지방산에스테르","자당지방산에스테르","탄산수소나트륨","","","","분리유단백분말","코코아파우더","패각칼슘","카라기난","P-1670","S-570","","11","합성향료","초코향","12","13",NA,NA,"합성향료","정제수",NA,NA,"밀크향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1675","품목보고번호19980308080325","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명잇츠온 케어온 엑티브","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","카제인나트륨","옥수수기름(옥배유)","가공유지","기타가공품","분리대두단백","소르비탄지방산에스테르","혼합제제","기타가공품","탄산수소나트륨","덱스트린","EM7","","쎄폴피(MCT oil)","힐마8010인스턴타이즈드","","","라르고-BS-15","AQ PLUS (씨트러스화이버)","","글루시덱스19","11","백설탕","","12","13","14","15","비타민미네랄혼합제제","곡류가공품","대두유분말","정제소금","비타민미네랄프리믹스","곡물혼합페이스트(정제수,미숫가루)","볶은두유분말","","16","17","18","프로바이오틱스(고시형)","타우린","혼합제제","락토바실러스 카제이HY2782액상 프로바이오틱스","","토피넛향","19","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1674","품목보고번호19980308080352","업소명한미사이언스(주)","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명잇츠온 케어온 징코플러스","분류식품","업체명","한미사이언스(주)","소재지","경기도 평택시 산단로 106(모곡동)","1","2","3","4","5","6","7","8","9","10","덱스트린","카제인나트륨","두류가공품","백설탕","비타민미네랄혼합제제","옥수수기름(옥배유)","가공유지","분리대두단백","유청단백분말","팥농축액","글루시덱스19","EM7","두유분말","","비타민미네랄프리믹스","","쎄폴피(MCT oil)","","힐마8010인스턴타이즈드","","11","올리고당","올리고파우더","12","13","14","15","귀리식이섬유(고시형)","은행농축액","소르비탄지방산에스테르","합성향료","","","","타로향분말","16","17","18","혼합제제","식품첨가물","혼합제제","호두향","L-아르지닌","메이플향","19","혼합제제","라르고-BS-15","20","21","22","23","24","25","26","탄산수소나트륨","기타가공품","기타가공품","정제소금","수크랄로스","프로바이오틱스(고시형)","정제수","","뽕잎추출분말","AQ PLUS (씨트러스화이버)","","","락토바실러스 카제이HY2782액상 프로바이오틱스HY2782",""
