"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고15","비고16","비고17","비고18","비고19","번호20","번호21","성분 및 원료20","성분 및 원료21","비고20","비고21"
"1","번호3670","품목보고번호19890445014245","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명비타2500","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","비타민C","사과농축액","구연산","구연산삼나트륨","비타민 B1(고시형)","비타민B2","니코틴산아미드","액상과당","스테비올배당체","착향료(파인애플향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3669","품목보고번호19920624042714","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타500","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","농축사과과즙","비타민C","구연산","드링크향","기타가공품","구연산삼나트륨","펙틴","타우린","DL-사과산","히알루론산","","","","결정","","케이디비타2700","","","","","","12","13","14","오렌지추출물","비타민B2","정제수","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3668","품목보고번호19960308010111","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명비타500","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","농축사과과즙","비타민C","구연산","드링크향","재제소금(재제조소금)","효소처리스테비아","구연산삼나트륨","펙틴","글루콘산아연","","","","","","","","","","","","12","13","14","타우린","DL-사과산","오렌지추출물","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","15","16","17","18","19","히알루론산-KD","비타민B2","니코틴산아미드","판토텐산칼슘","용성비타민P","히알루론산, 덱스트린 합계 100%","","","","",NA,NA,NA,NA,NA,NA
"4","번호3667","품목보고번호19960308010473","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명비타500 A.C.E","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","농축사과과즙","비타민C","구연산","드링크향","재제소금(재제조소금)","효소처리스테비아","판토텐산칼슘","니코틴산아미드","용성비타민P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","구연산삼나트륨","펙틴","글루콘산아연",NA,NA,NA,"15","16","17","18","19","타우린","DL-사과산","비타민E혼합제제","혼합제제","오렌지추출물",NA,NA,NA,NA,NA,"20","21","비타민B2","감초추출물",NA,NA
"5","번호3666","품목보고번호19920624042716","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타500 A.C.E","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","농축사과과즙","비타민C","구연산","드링크향","기타가공품","구연산삼나트륨","펙틴","타우린","DL-사과산","식품첨가물혼합제제","포도당액100%","","","결정","","케이디비타2700","","","","","네오리퀴드VA","12","13","14","혼합제제비타민E분말","오렌지추출물","비타민B2","","","","15","16",NA,NA,NA,"감초추출물","정제수",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3665","품목보고번호19920624042717","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타500 골드","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","농축사과과즙","비타민C","구연산","드링크향","기타가공품","구연산삼나트륨","펙틴","타우린","DL-사과산","오렌지추출물","포도당액100%","","","결정","","케이디비타 2700","","","","","","12","13",NA,"비타민B2","정제수",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3664","품목보고번호19960308010554","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명비타500 아연Zinc","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","농축사과과즙","비타민C","구연산","합성향료","효소처리스테비아","재제소금(재제조소금)","구연산삼나트륨","펙틴","글루콘산아연","","","당도 72Brix°이상","","","드링크향","","","","","","12","13","14","타우린","DL-사과산","오렌지추출물","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","15","16","17","18",NA,"비타민B2","니코틴산아미드","판토텐산칼슘","용성비타민P",NA,"","","","",NA,NA,NA,NA,NA,NA,NA
"8","번호3663","품목보고번호19920624042718","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타500 칼슘","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","농축사과과즙","비타민C","구연산","드링크향","기타가공품","퓨라칼","구연산삼나트륨","펙틴","타우린","DL-사과산","포도당액100%","","","결정","","케이디비타 2800","","","","","","12","13",NA,"오렌지추출물","정제수",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3662","품목보고번호1996030801078","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일부터24월","제품명비타500 칼슘Calcium","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","농축사과과즙","비타민C","구연산","드링크향","효소처리스테비아","재제소금(재제조소금)","구연산삼나트륨","퓨라칼","펙틴","","","당도 72 Brix 이상","","","","","","","글루콘산칼슘 50%, 젖산칼슘 50% 합계 100%","","12","13","14","DL-사과산","타우린","오렌지추출물","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","15","16","17","18",NA,"비타민B2","니코틴산아미드","판토텐산칼슘","용성비타민P",NA,"","","","",NA,NA,NA,NA,NA,NA,NA
"10","번호3661","품목보고번호19920624042715","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타500F","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","농축사과과즙","말토덱스트린혼합제제","비타민C","구연산","드링크향","글루콘산아연","구연산삼나트륨","펙틴","타우린","DL-사과산","포도당액100%","","","","결정","","","","","","","12","13","14","오렌지추출물","비타민B2","정제수","","","","15","16","17","18","19","재제소금(재제조소금)","효소처리스테비아","스테비올배당체","니코틴산아미드","판토텐산칼슘","","","","","","20",NA,"용성비타민P",NA,"",NA
