"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호1813","품목보고번호20140395066294","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명이눌린 에너지젤리 풋사과","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","정제수","에리스리톨","프락토올리고당","알룰로오스","사과농축액","구연산","이눌린분말","L-아르지닌","카라기난","타우린","로커스트빈검","사과향","곤약분말","구연산삼나트륨","젖산칼슘","잔탄검","젤란검","염화칼륨","수크랄로스","아세설팜칼륨","사과추출물분말","비타민C","","","","","","","","","","","","","","","","","","","","","(풋사과추출분말)",""
"2","번호1812","품목보고번호19860443015566","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이둔 어린콜라겐 3.3 (IDUN fish scales collagen 3.3)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19",NA,NA,NA,"정제수","콜라겐","기타과당","석류농축액","자일리톨","구연산(무수)","혼합제제","황금혼합추출물","효소처리스테비아","복숭아향","엘라스틴가수분해물","히알루론산","병풀잎추출물분말","연어뼈","알로에베라겔농축분말","히비스커스추출물","비타민C","우유단백질","N-아세틸글루코사민",NA,NA,NA,"","피쉬콜라겐, 생선콜라겐, 어린콜라겐","","","","구연산","석류향","복합황금추출물","","합성향료","","","병풀추출물분말","연어뼈연골추출물, 프로테오글리칸","알로에베라겔200:1분말","","","우유단백질농축, 밀크세라마이드","",NA,NA,NA
"3","번호1811","품목보고번호19890445014499","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한18월","제품명이든 발효쇼소산야초","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"식물혼합발효액","블루베리발효액브","솔잎발효액","액상과당","이소말토올리고당","아가베시럽","소나무잎농축액","구연산","황금복합추출물","비타민C","비타민B1염산염","비타민B2","비타민B6염산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1810","품목보고번호200201832821017","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이디야 신비아파트 딸기맛","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","설탕","폴리덱스트로스","딸기농축액","구연산","젖산칼슘","구연산삼나트륨","펙틴","합성향료","합성향료","비타민C","수크랄로스","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","65Bx, 이스라엘산","","","","","딸기향","딸기향","","","",NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1809","품목보고번호200201832821019","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이디야 신비아파트 블루베리맛","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","설탕","폴리덱스트로스","블루베리농축액","구연산","젖산칼슘","구연산삼나트륨","펙틴","합성향료","비타민C","수크랄로스","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","65Bx, 미국산","","","","","블루베리향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1808","품목보고번호200201832821111","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이디야 신비아파트 샤인머스캣맛","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","설탕","폴리덱스트로스","과.채가공품","구연산","젖산칼슘","구연산삼나트륨","펙틴","향료","향료","비타민C","수크랄로스","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","샤인머스캣농축액","","","","","샤인머스캣향1","샤인머스캣향2","","","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1807","품목보고번호200201832821018","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이디야 신비아파트 애플망고맛","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","설탕","폴리덱스트로스","과.채가공품","구연산","젖산칼슘","구연산삼나트륨","펙틴","합성향료","합성향료","비타민C","수크랄로스","산화아연",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","애플망고퓨레, 인도산","","","","","망고향","망고향","","","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1806","품목보고번호20030211151149","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한2년","제품명이로운지 식물성저분자콜라겐젤리","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"흰목이버섯추출액","프락토올리고당","석류농축액","정제수","검 베이스 혼합제제","석류향","구연산","구연산삼나트륨","효소처리스테비아","타우린","비타민 C(고시형)","혼합제제비타민B","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1805","품목보고번호20080395120347","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이롬 데일리 아몬드 고칼슘","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","설탕","정제수","해조칼슘","유화제","정제소금","합성향료","탄산수소나트륨","젤란검","카라기난",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"통아몬드액(미국산, 고형분 2.1%)","백설탕","","영국산, 아쿠아민 에프","글리세린지방산에스테르","국산","아몬드향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1804","품목보고번호2020040143920","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이롬 데일리 오트","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","프락토올리고당","귀리페이스트","치커리뿌리추출물분말","곡류가공품","곡류가공품","귀리식이섬유","곡류가공품","합성향료","과.채가공품","천일염","레시틴","기타가공품","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","귀리후레이크분말","7곡혼합분말","","호밀농축액","","코코넛크림","","대두레시틴","젤란검혼합제제","비타프로 BSI",NA,NA,NA,NA,NA,NA,NA,NA
