"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","번호24","번호25","성분 및 원료24","성분 및 원료25","비고24","비고25"
"1","번호5817","품목보고번호201005430661074","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 수박","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","혼합제제","구연산","정제소금","구연산삼나트륨","DL-사과산","염화칼륨","젖산칼슘","만니톨","염화마그네슘","니코틴산아미드","비타민E혼합제제","천연향료","아라비아검","판토텐산칼슘","비타민D3혼합제제","비타민B6염산염","글루코노-δ-락톤","혼합제제","비타민B12","","","","수박향","코치닐추출색소, 적양배추색소, 덱스트린","","","","","","","","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","수박향","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","","","비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, dl-α-토코페롤)","",NA,NA,NA,NA,NA,NA
"2","번호5816","품목보고번호201005430661040","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 오렌지","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","DL-사과산","염화칼륨","코치닐추출색소","젖산칼슘","카로틴","비타민C","만니톨","염화마그네슘","니코틴산아미드","비타민E","비타민B6염산염","판토텐산칼슘","비타민D3","아라비아검","천연향료","글루코노-δ-락톤","","","","오렌지향","","","","","","","","","","","","","","","","","","천연오렌지향","","24","25","비타민 A","비타민B12","",""
"3","번호5815","품목보고번호201005430661064","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 코코넛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","천연향료","DL-사과산","염화칼륨","젖산칼슘","만니톨","염화마그네슘","니코틴산아미드","비타민E혼합제제","천연향료","아라비아검","판토텐산칼슘","비타민D3혼합제제","비타민B6염산염","글루코노-δ-락톤","혼합제제","비타민B12","","","","코코넛향","","","","시트러스향","","","","","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","코코넛향","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","","","비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, dl-α-토코페롤)","",NA,NA,NA,NA,NA,NA
"4","번호5814","품목보고번호201005430661038","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 트로피칼","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","DL-사과산","염화칼륨","젖산칼슘","비타민C","카로틴","만니톨","염화마그네슘","카라멜색소","니코틴산아미드","비타민E","비타민B6염산염","판토텐산칼슘","비타민D3","아라비아검","천연향료","글루코노-δ-락톤","","","","트로피칼향","","","","","","","","","","","","","","","","","","천연트로피칼향","","24","25","비타민 A","비타민B12","",""
"5","번호5813","품목보고번호201005430661107","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 패션후르츠","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","DL-사과산","염화칼륨","카로틴","젖산칼슘","비타민C","혼합제제","만니톨","염화마그네슘","니코틴산아미드","비타민E혼합제제","아라비아검","판토텐산칼슘","비타민B6염산염","비타민D3혼합제제","천연향료","글루코노-δ-락톤","","","","패션후르츠향","","","","","","","","","카라멜색소, 프로필렌글리콜","","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","패션후르츠향","","24","25","혼합제제","비타민B12","비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, dl-α-토코페롤)",""
"6","번호5812","품목보고번호201005430661041","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 포도","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","포도과피색소","구연산","정제소금","구연산삼나트륨","DL-사과산","염화칼륨","젖산칼슘","비타민C","만니톨","염화마그네슘","니코틴산아미드","비타민E","비타민B6염산염","판토텐산칼슘","비타민D3","아라비아검","천연향료","글루코노-δ-락톤","비타민 A","","","","포도향","포도과피추출색소","","","","","","","","","","","","","","","","천연포도향","","","24",NA,"비타민B12",NA,"",NA
"7","번호5811","품목보고번호201005430661108","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 핑크구아바","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","DL-사과산","적양배추색소","염화칼륨","젖산칼슘","베리류색소","만니톨","염화마그네슘","니코틴산아미드","비타민E혼합제제","아라비아검","판토텐산칼슘","비타민B6염산염","비타민D3혼합제제","천연향료","글루코노-δ-락톤","혼합제제","","","","구아바향","","","","","","","","","","","","dl-α-토코페릴아세테이트, 말토덱스트린, 변성전분, 이산화규소","","","","아라비아검, 설탕, 옥수수전분, 가공유지, 이산화규소, 비타민D3, 비타민E","구아바향","","비타민A혼합제제(말토덱스트린, 옥수수전분, 아라비아검, 비타민A아세테이트, dl-α-토코페롤)","24",NA,"비타민B12",NA,"",NA
"8","번호5810","품목보고번호201005430661042","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명XR일렉트로라이트 후르츠펀치","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","설탕","기타과당","합성향료","구연산","정제소금","구연산삼나트륨","DL-사과산","적양배추색소","염화칼륨","젖산칼슘","블랙커런트색소","만니톨","염화마그네슘","니코틴산아미드","비타민E","아라비아검","천연향료","판토텐산칼슘","비타민B6염산염","비타민D3","글루코노-δ-락톤","비타민 A","","","","후르츠펀치향","","","","","","","","","","","","","","천연후르츠펀치향","","","","","","24",NA,"비타민B12",NA,"",NA
"9","번호5809","품목보고번호19960458039551","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명XS 아쿠아 블라스트","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,NA,NA,"정제수","레드자몽농축액","합성향료","구연산","정제소금","구연산삼나트륨","염화칼륨","혼합제제","합성향료","L-카르니틴","젖산칼슘","혼합제제","합성향료","수크랄로스","스테비올배당체","염화마그네슘","비타민C",NA,NA,NA,NA,NA,NA,"","64Brix","피치자몽향 K-193371","","","","","비타민B복합물","피치자몽향 K-163612","","","시트러스향 SKB-1310","피치자몽향 TF-37572","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5808","품목보고번호20070443110604","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명XS 푸로틴워터20","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유청단백분말","난소화성말토덱스트린(고시형)","과.채가공품","인산","혼합제제","천연향료","혼합제제","아세설팜칼륨","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유청분리단백 Probev90","","과일채소혼합농축액","","혼합과일향","천연혼합과일향","아와컷 CP","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
