"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호591","품목보고번호20020623009497","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한24개월","제품명퓨어플러스 피나콜라다","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","파인애플농축액","코코넛크림분말","백설탕","구연산","비타민C","펙틴","젖산칼슘","수크랄로스","제재염","홍화황색소","시트러스향","파인애플향","코코넛향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호590","품목보고번호202106090331","업소명(주)커스텀비","품목유형혼합음료","유통/소비기한12개월","제품명퓨워터 하이드로젠","분류식품","업체명","(주)커스텀비","소재지","경상남도 의령군 부림면 오소길 53","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호589","품목보고번호2009037514914","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명프라나","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호588","품목보고번호2005007713142","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명프라센액","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,"KHP태반추출농축액","L-아르기닌","올리고당","L-페닐알라닌","L-로이신","L-메티오닌","L-발린","감초추출물","구연산","과일향","자몽추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호587","품목보고번호1987036400715","업소명(주)보락","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프라임 스트로베리","분류식품","업체명","(주)보락","소재지","경기도 화성시 초록로 720-37","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"설탕","정제수","구연산","스트로베리베이스","식용색소 적색2호","안식향산나트륨","식용색소황색5호","구연산소다",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호586","품목보고번호19860443015364","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프라임후코이단","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,"기타 수산물가공품","기타과당","레몬농축액","구연산","합성향료","황금혼합추출물","효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,"괭생이모자반 추출 혼합물","","","무수구연산","레몬향","복합황금추출물","","",NA,NA,NA,NA,NA,NA
"7","번호585","품목보고번호202103374674","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명프레시오늘 신선냉장 맑은 계피, 생강 5시간 윤성순 장모님 수정과","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","생강","기타설탕","계피","곶감",NA,NA,NA,NA,NA,NA,NA,NA,"","","국산","흑설탕100%","베트남","국산",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호584","품목보고번호202103374673","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명프레시오늘 신선냉장 맑은 엿기름 16시간 윤성순 장모님 식혜","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호583","품목보고번호19800415004286","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 Can 24개월","제품명프레주 망고 스위트","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,"과.채가공품","액상과당","백설탕","비타민C","구아검","홍화황색소","수크랄로스","구연산","구연산삼나트륨","합성향료","합성향료","정제수",NA,NA,"망고퓨레농축액","","","","","","","","","망고향1","망고향2","",NA,NA
"10","번호582","품목보고번호20080395120679","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프레주 배","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"정제수","설탕","과.채가공품","합성향료","혼합제제","구연산","비타민C","합성향료","수크랄로스",NA,NA,NA,NA,NA,"","","배농축액","배향2","화이트크라우디","","","배향1","",NA,NA,NA,NA,NA
