"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19","번호20","성분 및 원료20","비고20"
"1","번호5002","품목보고번호202001761478","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명대한홍차식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","정제수","엿기름","찹쌀","설탕","차나무잎","","","","","얼그레이잎",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5001","품목보고번호2009037514934","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명댕비앙(DANGVIAN)","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5000","품목보고번호201104921462","업소명(주)더조은워터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명더 굿 워터","분류식품","업체명","(주)더조은워터","소재지","전라북도 남원시 주천면 장백산로 139","1","2",NA,NA,NA,"지하수","미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4999","품목보고번호20130415052149","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명더 모티브 컴플렉스 탭 인텐스","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","정제수","콜라겐가수분해물","프락토올리고당","이소말토올리고당","백포도농축액","","베리솔","액상","","","6","7","8","9","10","11","12","13","14","15","캔디류","구연산","β-시클로덱스트린","천연요구르트향","천연향료","비타민C","당류가공품","글루콘산아연","효소처리스테비아","황금혼합추출물","더모티브정","","","FG2014-0015","천연청포도향4","","요구르트맛페이스트","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4998","품목보고번호20110612047109","업소명영농조합법인 푸른초장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명더 밥 잘먹는 아이홍삼(샤인머스캣)","분류식품","업체명","영농조합법인 푸른초장","소재지","경상남도 거제시 거제면 옥산금성길 23(나동 외 3필지)","1","2","3","4","5","홍삼추출액","과.채가공품","녹용추출액","프락토올리고당","천연향료","고형분1.2%","샤인머스켓혼합농축액","고형분0.5%","","천연샤인머스켓향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4997","품목보고번호19970570162342","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명더 빠르게 천지개벽","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","정제수","기타과당","발효식초","헛개나무열매추출농축액","배농축액","","","오이발효식초","","","6","7","8","9","10","11","12","13","14","15","타우린","울금추출물분말","구연산(무수)","홍삼농축액","아미노산혼합분말","효모추출물","DL-알라닌","DL-사과산","합성향료","니코틴산아미드","","","","","아미노리버믹스(L-루이신, L-이소루이신, L-발린, L-아르지닌, L-글루타민, L-메티오닌, L-알라닌)","","","","혼합과일향","","16","17","18","19","황금추출물","합성향료","비타민 B1(고시형)","비타민B2","복합황금추출물","벌꿀향","","",NA,NA,NA
"7","번호4996","품목보고번호2015037512955","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명더 자연스런 깔라만시 플러스","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","칼라만시퓌레","사양벌꿀","비타민미네랄혼합분말","5종혼합유산균","프로폴리스추출물분말","깔라만시퓨레","","비타민미네랄믹스","","","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4995","품목보고번호20130415052145","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명더 콜라겐 5000","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","정제수","프락토올리고당","생선콜라겐","이소말토올리고당","자몽농축액","","","저분자피쉬콜라겐","","HCS-4056","6","7","8","9","10","11","12","13","14",NA,"자몽향","비타민C","구연산","황금혼합추출물","히알루론산혼합제제","엘라스틴가수분해물","니코틴산아미드","L-시스틴","병풀잎추출물분말",NA,"레드자몽향혼합제제SH09-03107","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4994","품목보고번호20130415052153","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명더 콜라겐 5500","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","정제수","프락토올리고당","생선콜라겐","이소말토올리고당","열대과일혼합농축액","","액상","저분자피쉬콜라겐","","","6","7","8","9","10","11","12","13","14","15","혼합제제","구연산","비타민C","세븐베리농축액","석류농축액","참당귀농축액","황금혼합추출물","히알루론산혼합제제","엘라스틴가수분해물","우유 단백 혼합분말","열대과일향AL-F-1154","","","","","당귀농축액","","","엘라스틴","우유단백농축분말, 밀크세라마이드","16","17","18","19","비타민 A 혼합제제분말","율무분말","병풀추출","건조효모","","율무농축분말","병풀추출분말","","20","돼지태반추출분말","돈태반추출분말"
"10","번호4993","품목보고번호201104921464","업소명(주)더조은워터","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명더굿워터","분류식품","업체명","(주)더조은워터","소재지","전라북도 남원시 주천면 장백산로 139","1","2",NA,NA,NA,"지하수","미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
