"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","번호17","번호18","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고14","비고15","비고16","비고17","비고18","번호19","성분 및 원료19","비고19"
"1","번호887","품목보고번호2018049100857","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월(1년)","제품명탐미유 서동마워터젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","10","11","과당","백설탕","식품첨가물혼합제제","구연산(무수)","구연산삼나트륨","혼합제제","청포도향","포도농축액","마","정제수","피로인산제이철 혼합제제","","","(제이단 ES-1018)","(50%용액)","","(엑티브아연)","","(65 Brix)","(분말)","","액티브철(JS-18739)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호886","품목보고번호2018049100844","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한12개월","제품명탐미유 엄마손맛 마젤리","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4","5","6","7","8","9","10","11","과당","백설탕","구연산","구연산삼나트륨","쌀향","혼합제제","기타발효음료","마분말","과.채가공품","정제수","혼합제제","","","","","","","삼성농원 발효식혜","","나타드코코","","크라우디",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호885","품목보고번호2022068308313","업소명농업회사법인 주식회사 삼성농원 제2공장","품목유형혼합음료","유통/소비기한제조년월일로부터 12개월","제품명탐미유 유자에이드","분류식품","업체명","농업회사법인 주식회사 삼성농원 제2공장","소재지","전라북도 익산시 반월길 27(1~2층 월성동)","1","2","3","4","5","6","7","8","9","10","11","유자농축액","비타민C","구연산(무수)","유자향","카로틴색소","비타민D3혼합제제분말","분말비타민A혼합제제","수크랄로스","혼합제제","혼합제제","생선콜라겐","유자과즙농축액H(유자과즙추출액,올리고당)","","","유자향#13","카로틴색소#1","","","","제이단ES-1018","비타민B복합분말","피쉬콜라겐","12","13","정제수","기타과당","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호884","품목보고번호20100543066844","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명탐앤탐스 바디 밸런스이온","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","기타과당","합성향료","구연산","구연산삼나트륨","정제소금","DL-사과산","염화칼륨","젖산칼슘","만니톨","","","","그레이프후르츠향, 시트러스향","","","국산","","","","","12","13","자몽농축액","비타민C","자몽청징농축액, 64Bx, 이스라엘산, 배합함량 : 자몽 100%, 자몽과즙으로 환원기준 : 0.035%","","14","15","16","17","18","염화마그네슘","감귤추출물","아라비아검","글루코노-δ-락톤","L-글루타민","","","","","",NA,NA,NA
"5","번호883","품목보고번호20000614238367","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명탐앤탐스 복숭아아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","복숭아농축액","홍차추출분말","설탕","구연산","비타민C","수크랄로스","아세설팜칼륨","혼합제제","복숭아향","복숭아향","홍차향","","","","","","","","정제수,규소수지,유화제1,유화제2,CMC","","","","12",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호882","품목보고번호20100543066959","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명탐앤탐스 알카라인워터","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)","자일리톨","D-소비톨","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호881","품목보고번호20070309132766","업소명주식회사 한국바이오건강","품목유형혼합음료","유통/소비기한24개월","제품명탑 아르기닌 7000 대마종자유 골드","분류식품","업체명","주식회사 한국바이오건강","소재지","경기도 평택시 포승읍 포승향남로 194-106","1","2","3","4","5","6","7","8","9","10","11","L-아르지닌","정제수","블루베리농축액","포도농축액","아로니아농축액","오르니틴염산염","타우린","헛개나무열매추출분말","비수리추출분말","마카추출분말","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","효소처리스테비아","수크랄로스",NA,NA,"14","15","16","17","18","구연산삼나트륨","분말비타민B","비타민B12혼합분말","구연산","글루콘산아연",NA,NA,NA,NA,NA,"19","삼씨앗유",NA
"8","번호880","품목보고번호20110149027342","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명탑 아르지닌 7000 대마종자유 골드","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10","11","정제수","L-아르지닌","구연산(무수)","블루베리농축액","포도농축액","마카추출분말","비타민C","아로니아농축액","효소처리스테비아","헛개나무열매추출분말","비수리추출분말","","","","미국산","적포도","","","폴란드산","","","","12","13","수크랄로스","글루콘산아연","","","14","15","16","17","18","구연산삼나트륨","분말비타민B","타우린","비타민B12, 혼합제제","오르니틴염산염","","","","","","19","삼씨앗","대마종자유"
"9","번호879","품목보고번호20020383603300","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명태반콜라겐 이엑스(EX)","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","생선콜라겐펩타이드","양태반추출물","시클로덱스트린시럽","액상과당","L-아르지닌","석류농축액","구연산(무수)","석류향","DL-사과산","γ-시클로덱스트린","잔탄검","마린콜라겐 펩타이드","양태반효소추출액(고형분 3%)","","","","","","합성향료(석류향)","","감마시클로덱스트린","","12","13","자몽종자추출물","수크랄로스","","","14","15",NA,NA,NA,"비타민미네랄혼합제제","정제수",NA,NA,NA,"비타민미네랄믹스-DH","",NA,NA,NA,NA,NA,NA
"10","번호878","품목보고번호201603981522","업소명주식회사 정선 비앤아이","품목유형혼합음료","유통/소비기한제조일로 부터 1년","제품명태백산맥 미네랄워터","분류식품","업체명","주식회사 정선 비앤아이","소재지","강원도 정선군 임계면 소래길 244","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
