"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호621","품목보고번호20070443110583","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한18개월","제품명푸쉬푸쉬워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","프락토올리고당(고시형)","젖산칼슘","기타가공품","염화마그네슘","염화칼륨","정제수","프락토올리고당분말","","제주용암해수 리퀴드","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호620","품목보고번호2018050402554","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한24개월","제품명푸코에이드(FUCOAID)","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","정제수","미역귀추출분말","다시마추출물분말","배농축액","매실농축액","천연망고향","","푸코이단(fucoaid)","다시마귀추출분말","72brix, 국산","65brix, 국산","천연망고향","7","8","9","10","11","12","13","14","15","비타민C","구연산","구연산삼나트륨","효소처리스테비아","니코틴산아미드","비타민B1염산염","다시마추출물분말","비타민B2","다시마추출물분말","","함수구연산","구연산나트륨","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호619","품목보고번호20010467239279","업소명도담 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명푸코에이드(Fucoaid)","분류식품","업체명","도담 주식회사","소재지","충청남도 금산군 진산면 진산로 643","1","2","3","4","5","6","정제수","미역귀추출분말","배농축액","매실농축액","천연망고향","비타민C","","푸코이단(Fucoaid)","(72brix,국산0","(65brix,국산)","(천연망고향)","","7","8","9","10","11","12","13",NA,NA,"구연산","구연산삼나트륨","효소처리스테비아","비타민B1염산염","비타민B6염산염","비타민B2","니코틴산아미드",NA,NA,"함수구연산","구연산나트륨","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호618","품목보고번호20020623009774","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명풀린애 녹용골드","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","녹용혼합추출물","천궁농축액","영지농축액","사과농축액","액상과당","구연산","","","","사과농축과즙","","","7","8","9","10","11","12","13","14","15","사양벌꿀","니코틴산아미드","글리신","카라멜색소","폴리소르베이트80","합성향료","생강엣센스","합성향료","정제수","","","","","","허브향","","대추향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호617","품목보고번호2013041505245","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한18개월","제품명풀린애 아스파라긴산","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","액상과당","백설탕","사과농축액","구연산","L-아스파라진","드링크향","고과당","푸드림가는정백당","70Brix, APPLE JUICE CONCENTRATE CLEAR","CITRIC ACID ANHYDROUS","L-ASPARAGINE MONOHYDRATE FOOD GRADE","드링크향5","7","8","9","10","11","12","13","14","15","구연산삼나트륨","DL-사과산","아세로라향","황금혼합추출물","과일채소혼합분말","니코틴산아미드","효소처리스테비아","정제소금","비타민B6염산염","구연산소다","","아세로라향F-22217","복합황금추출물-2","과일채소혼합추출분말","","레바텐프리미엄","한주소금","","16","17","18","호박산이나트륨","비타민B2","정제수","","",""
"6","번호616","품목보고번호20110441029139","업소명명성제약식품","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명풀린애헛개골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","헛개나무열매농축액","대추엑기스","참당귀농축액","기타과당","스테비올배당체","타우린","","","","","","","7","8","9","10","11","12","13","14","15","구연산","구연산삼나트륨","비타민B1염산염","니코틴산아미드","카라멜색소","안식향산나트륨","정제소금","허브향","정제수","","","","","","합성보존료","","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호615","품목보고번호2013037221944","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명풀빅미네톡스","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6","탄산칼륨(무수)","염화칼륨(고시형)","탄산나트륨","백설탕","규소수지혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호614","품목보고번호2013037221938","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명풀빅미라클복합미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6","탄산나트륨","탄산칼륨(무수)","염화칼륨(고시형)","백설탕","정제수","이산화규소","","","","","","","7",NA,NA,NA,NA,NA,NA,NA,NA,"천연첨가물",NA,NA,NA,NA,NA,NA,NA,NA,"아마란스 보검선인장추출액, 차가버섯자실제추출물, 쇠뜨기추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호613","품목보고번호2013037221945","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명풀빅베타51","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6","탄산칼륨(무수)","염화칼륨","탄산나트륨","이산화규소","천연첨가물","정제수","","","","","(아마란스.보검선인장 추출액, 쇠뜨기 추출물, 차가버섯 자실체 추출물)총 11%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호612","품목보고번호2009037514931","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명풀빅산(FM88)","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
