"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호5877","품목보고번호19920562023302","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Sunkist 블루하와이 저칼로리","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","파인애플농축액","오렌지농축액","과.채가공품류","결정과당","구연산삼나트륨","정제소금","구연산","펙틴","수크랄로스","아세설팜칼륨","식용색소청색제1호","오렌지향","파인애플향","블루하와이향","정제수","효소처리루틴","시트러스향","72brix","65brix","레몬과즙농축액,65brix","","","","","펙틴JMJ","","","","","","","","스테비텐루틴",""
"2","번호5876","품목보고번호19980449002459","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명Sunkist 블루하와이350","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","파인애플농축액","오렌지농축액","레몬농축액","설탕","당시럽","효소처리루틴","구연산삼나트륨","정제소금","구연산","펙틴","스텐비텐후레쉬","식용색소청색제1호","시트러스향","오렌지향","파인애플향","블루하와이향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5875","품목보고번호20100543066297","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명Sunkist 사과","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"정제수","당시럽","구연산","사과농축액","합성향료","구연산삼나트륨","DL-사과산","비타민C","아세설팜칼륨","수크랄로스",NA,NA,NA,NA,NA,NA,NA,"","","","중국산, 배합함량: 사과100%, 사과과즙으로 환원기준 1%","사과향","","","","감미료","감미료",NA,NA,NA,NA,NA,NA,NA
"4","번호5874","품목보고번호20010515081319","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 사과","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"사과농축액","당류가공품","구연산(결정)","DL-사과산","구연산삼나트륨","비타민 C(고시형)","아세설팜칼륨","수크랄로스","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,NA,"사과클리어농축액","당시럽","","","","","Sunett","","그린애플향","사과향","",NA,NA,NA,NA,NA,NA
"5","번호5873","품목보고번호19980449002450","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명Sunkist 샤인온더비치 350","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"오렌지 농축액","덩굴월귤농축액","클리어농축액","자주색고구마색소","락색소","효소처리루틴","구연산","정제소금","구연산삼나트륨","크랜베리향","복숭아향","시트러스향","정제수","당시럽",NA,NA,NA,"","크랜베리농축액","복숭아","","","스테비텐루틴","","","","","","","","",NA,NA,NA
"6","번호5872","품목보고번호19920562023303","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명Sunkist 샤인온더비치 저칼로리","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,"오렌지농축액","복숭아클리어농축액","결정과당","자주색고구마색소","과.채가공품류","락색소","효소처리루틴","구연산(결정)","정제소금","구연산삼나트륨","수크랄로스","아세설팜칼륨","크랜베리향","복숭아향","시트러스향","정제수",NA,"65brix","68brix","","","크랜베리농축액(30brix)","","αG 루틴 PS","","","","","","","","","",NA
"7","번호5871","품목보고번호20010515081339","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 석류","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"석류농축액","당류가공품","구연산(결정)","구연산삼나트륨","수크랄로스","아세설팜칼륨","비타민C","락색소","효소처리스테비아","합성향료","합성향료","합성향료","정제수",NA,NA,NA,NA,"","당시럽","","","","Sunett","","락색소LA","스테비텐루틴","석류향","석류향","석류향","",NA,NA,NA,NA
"8","번호5870","품목보고번호20100543066656","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 석류","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,"정제수","당시럽","구연산","석류농축액","합성향료","비타민C","락색소","구연산삼나트륨","수크랄로스","아세설팜칼륨","효소처리루틴",NA,NA,NA,NA,NA,NA,"","","","이스라엘산,배합함량: 석류100%,석류과즙 환원기준 1%","석류향","","","","감미료","감미료","",NA,NA,NA,NA,NA,NA
"9","번호5869","품목보고번호20010515081329","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 오렌지","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"오렌지농축액","감귤농축액","당류가공품","구연산(결정)","DL-사과산","비타민 C(고시형)","펙틴","설탕","구연산삼나트륨","아세설팜칼륨","수크랄로스","합성향료","정제수",NA,NA,NA,NA,"","제주감귤농축액","당시럽","","","","JD-470 S1","","","Sunett","","오렌지향","",NA,NA,NA,NA
"10","번호5868","품목보고번호20100543066241","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명Sunkist 오렌지","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"정제수","당시럽","설탕","오렌지농축과즙","감귤과즙농축액","구연산","DL-사과산","합성향료","구연산삼나트륨","비타민C","펙틴","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,"","","","스페인산,배합함량:오렌지100%,오렌지과즙으로 환원기준2.4%","국산,배합함량:감귤100%,감귤과즙으로 환원기준 2%","","","오렌지향","","","","감미료","감미료",NA,NA,NA,NA
