"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호1233","품목보고번호2019051612623","업소명농업회사법인(주)나주시골농장","품목유형혼합음료","유통/소비기한제조일로부터 냉동12개월, 냉장6일","제품명찹쌀식혜","분류식품","업체명","농업회사법인(주)나주시골농장","소재지","전라남도 나주시 노안면 이슬촌길 267-7","1","2","3","4","엿기름","정제수","설탕","찹쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1232","품목보고번호202004443953","업소명이현정일품연구소","품목유형혼합음료","유통/소비기한제조일로부터 냉장보관6일이내 냉동보관은 30일이내","제품명찹쌀식혜","분류식품","업체명","이현정일품연구소","소재지","충청북도 제천시 송학면 무도2안길 51","1","2",NA,NA,"찹쌀","건조맥아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1231","품목보고번호20090435035296","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명채리 라인수","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","정제수","호박농축액","사양벌꿀","옥수수수염추출분말","","","","","5","6","7","8","9","10","11","혼합농축액","우엉농축분말","국화추출물분말","병풀추출","홍국색소","기타가공품","식물혼합농축액","ABC농축액","","","병풀추출분말","모나스","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1230","품목보고번호20110084489496","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명채우고 비우고","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","정제수","L-아르지닌","구연산","열대과일혼합농축액","","","함수구연산","열대혼합과일농축액","5","6","7","8","9","10","11","파인애플농축액","효소처리스테비아","열대과일향","향료","기타가공품","프로테아제(식물성)","흑효모배양액분말","","","혼합제제","파인애플향/합성향료","복합황금추출물","브로멜라인비알1200프로테아제","","12","13","14","호박농축분말","팥농축분말","효소식품","","","발효곡류효소15"
"5","번호1229","품목보고번호2012057308051","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년","제품명채우다","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1228","품목보고번호201101820859","업소명나노라이프","품목유형혼합음료","유통/소비기한1년","제품명채우미","분류식품","업체명","나노라이프","소재지","대구광역시 달서구 비슬로542길 46(1층 대곡동)","1","2",NA,NA,"정제수","자죽염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1227","품목보고번호202004490541","업소명(주)락산수","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명천년만년","분류식품","업체명","(주)락산수","소재지","충청북도 증평군 도안면 벨포레길 369","1","2",NA,NA,"정제수","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1226","품목보고번호19890445014249","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명천년산속 산양산삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","산양산삼추출액","영지버섯","대추","참당귀",NA,NA,NA,NA,"5","6","7","8","9","10","11","감초","칡뿌리","생강","복분자","구기자나무열매","사상자","토사자",NA,NA,NA,NA,NA,NA,NA,"12","13",NA,"오미자추출액","안식향산나트륨",NA,NA,NA,NA
"9","번호1225","품목보고번호19930571069339","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명천년수작 진생베리 마시오","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","인삼열매추출액","대추농축액","사과농축액","프락토올리고당",NA,NA,NA,NA,"5","6","7",NA,NA,NA,NA,"구연산","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1224","품목보고번호19890445014347","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명천년신비흑마늘","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","흑마늘추출액","액상과당","구연산","카라멜색소",NA,NA,NA,NA,"5","6","7","8",NA,NA,NA,"안식향산나트륨","인삼향","섬유속리콜산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
