"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호5612","품목보고번호19890445014844","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명고려진홍삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","홍삼혼합추출액","액상과당","이소말토올리고당","카복시메틸셀룰로스나트륨","카라멜색소비에이","구연산","인삼향","안식향산나트륨","비타민 B2 인산에스테르나트륨(고시형)","정제수","","","","섬유소글리콜산나트륨","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5611","품목보고번호2008056307415","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명고려홍삼","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","5","6","7","8","9",NA,"홍삼추출액","대추농축액","식물성추출액","구기자농축액","액상과당","구연산","안식향산나트륨","홍삼향","카라멜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5610","품목보고번호19800415004177","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 1년 6개월(실온보관)","제품명고려홍삼디","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","홍삼농축액(고시형)","영지버섯","타우린","대추농축액","백설탕","갈색설탕","구연산","구연산삼나트륨","비타민C","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12","13","니코틴산아미드","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5609","품목보고번호19970443044227","업소명(주)다정","품목유형혼합음료","유통/소비기한24개월  실온","제품명고려홍삼비골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7","8","9","10","홍삼농축액","배즙","물엿","액상과당","벌꿀","영지버섯추출물","녹용추출액","슈가시럽","생로얄젤리","이소말토올리고당","","배과즙","저감미물엿","기타과당","사양벌꿀","고려영지정","","","로얄젤리","","11",NA,NA,"구연산",NA,NA,"함수구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5608","품목보고번호19970443044313","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명고려흑삼진액골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"인삼추출액","식물혼합추출액",NA,NA,NA,NA,NA,NA,NA,NA,"흑삼추출액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5607","품목보고번호2013044319117","업소명홍삼나라(주)","품목유형혼합음료","유통/소비기한24개월  실온","제품명고려흑삼진액골드","분류식품","업체명","홍삼나라(주)","소재지","충청북도 진천군 진천읍 장수로 117","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"혼합음료","식물혼합추출액",NA,NA,NA,NA,NA,NA,NA,NA,"흑삼추출액(고형분 0.2%이상)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5606","품목보고번호19890445014383","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36개월","제품명고려흑삼진액골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,"흑삼혼합추출액","액상과당","구연산","정제염","카라멜색소","카르복시메틸셀룰로오스나트륨","안식향산나트륨","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5605","품목보고번호2011049204013","업소명드림인영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명고로쇠 아로니아","분류식품","업체명","드림인영농조합법인","소재지","전라북도 남원시 인월면 천왕봉로 54","1","2","3","4",NA,NA,NA,NA,NA,NA,"정제수","구연산","고로쇠농축액","아로니아농축",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5604","품목보고번호2020028014712","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 10일","제품명고비 부트온","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","9","10","정제수","아몬드","난소화성말토덱스트린(고시형)","유산균","카카오분말","구연산칼륨","과.채가공품","알룰로오스","대두단백분말","에리스리톨","","미국산","","","","","브로콜리분말","","","","11","12","13","로커스트빈검","젤란검","레시틴","","","해바라기","14","정제소금","",NA,NA,NA,NA,NA,NA
"10","번호5603","품목보고번호19860443015637","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명고업액상 베르가못 익스프레스","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","에리스리톨","감귤농축액","감귤향","베르가모트추출물","γ-시클로덱스트린","구연산(무수)","DL-사과산","구연산삼나트륨","효소처리스테비아","황금혼합추출물","","제주감귤주스농축액","","베르가모트추출분말","감마시클로덱스트린","","","","","복합황금추출물","11","12","13","베르가모트농축","수크랄로스","강황추출물분말","베르가모트 주스 농축액","","","14","레몬밤추출물","레몬밤추출분말","15","16","프로바이오틱스(고시형)","정제수","락토바실러스 플란타룸 KBL 396",""
