"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호...60","성분 및 원료","비고"
"1","번호3180","품목보고번호20000360372182","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월까지","제품명수출용이프로부족할때복숭아","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","복숭아청징농축액","액상과당","구연산","구연산삼나트륨","효소처리루틴","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3179","품목보고번호19780368002419","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한24개월(실온)","제품명수출용핫식스무탄산","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","과라나엑기스","가시오갈피추출농축액","홍삼농축액","백설탕","수크랄로스","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","13","14","15","16","타우린","비타민C","이노시톨","혼합아미노산BCAA","비타민프리믹스-E","홍차추출분말","혼합과일향","LS-04081","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3178","품목보고번호19780368002420","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한24개월(실온)","제품명수출용핫식스무탄산슈가프리","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","과라나엑기스","가시오갈피추출농축액","홍삼농축액","아세설팜칼륨","수크랄로스","구연산삼나트륨","타우린",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12","13","14","15",NA,"비타민C","이노시톨","혼합아미노산BCAA","비타민프리믹스-E","홍차추출분말","혼합과일향","LS-04081","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3177","품목보고번호2018038517328","업소명다옴협동조합","품목유형혼합음료","유통/소비기한제조일로부터 3일","제품명수향미로 만든 다옴식혜","분류식품","업체명","다옴협동조합","소재지","경기도 화성시 향남읍 상신초교길 52","1","2","3","4",NA,NA,NA,"쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3176","품목보고번호2008033218041","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 155일","제품명숙성고집식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,"엿기름","쌀","설탕",NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3175","품목보고번호2001044321850","업소명농업회사법인(주)다올농산푸드","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명숙성발효흑마늘","분류식품","업체명","농업회사법인(주)다올농산푸드","소재지","충청북도 진천군 초평면 영신길 37-11","1","2","3","4","5","6","7","흑마늘농축액","모과농축액","대추엑기스","벌꿀","배농축과즙","숙지황엑기스","졍제수","숙성발효흑마늘농축액 (고형분65%,국산)","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3174","품목보고번호2004046721355","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명숙성발효흑마늘농축진액","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","5","6","7","흑마늘추출액","홍삼추출액","복분자","오미자","구기자나무열매","토사자","사상자",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","12",NA,NA,NA,NA,"대추","지황포제가공한뿌리","저당","D-소르비톨","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3173","품목보고번호201904679484","업소명송악농협식품사업부","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명숙성흑마늘진액","분류식품","업체명","송악농협식품사업부","소재지","충청남도 아산시 송악면 도송로 372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","흑마늘",NA
"9","번호3172","품목보고번호19890445014138","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명숙취골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2",NA,NA,NA,NA,NA,"오리나무추출액","참당귀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3171","품목보고번호20110084489231","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명숙취에 모과좋아","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","정제수","배청징농축과즙","식물혼합추출물","덱스트린","물엿","대추농축액","사양벌꿀","","","곰취아로니아추출복합물","","저당","","","8","9","10",NA,NA,NA,NA,NA,NA,"생강시럽농축액","모과농축액","잔탄검",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
