"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호141","품목보고번호2019056448012","업소명농업회사법인(주)프레쉬벨","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명홍삼식물음료","분류식품","업체명","농업회사법인(주)프레쉬벨","소재지","경상북도 경산시 진량읍 대구대로 201(경북테크노파크 대구대특화센터 1111호)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","감농축액","사과농축액","배농축액","자일리톨","홍삼농축액","대추농축액","구연산","비타민 C(고시형)","홍삼향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호140","품목보고번호2017055535222","업소명농업회사법인(주)동의보굼","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명홍삼식물음료","분류식품","업체명","농업회사법인(주)동의보굼","소재지","경상북도 영천시 금호읍 남성길 27-16","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","감농축액","사과농축액","배농축액","액상과당","비타민 C(고시형)","구연산","자일리톨","대추농축액","홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호139","품목보고번호2005027515515","업소명새롬","품목유형혼합음료","유통/소비기한제조일로부터 180일(냉동 -18도이하)","제품명홍삼식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","7",NA,NA,NA,NA,"찹쌀","홍삼","엿기름","올리고당","설탕","기타","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호138","품목보고번호20080358277208","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명홍삼식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀","홍삼분말",NA,NA,NA,NA,NA,NA,"","","엿기름추출액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호137","품목보고번호2006039411225","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한실온 36개월","제품명홍삼영지대추골드","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","대추농축액","사과농축액","당귀농축액","영지농축액","고과당","저당","대추향","구연산","황금복합추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호136","품목보고번호19920624042711","업소명(주)상일","품목유형혼합음료","유통/소비기한24개월","제품명홍삼원 마일드","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10",NA,"액상과당","식물혼합농축액","덱스트린","곡류가공품","구연산","합성착향료","홍삼농축액(고시형)","구연산삼나트륨","정제수","덱스트린",NA,"포도당액100%","","말토덱스트린시럽","맥아당","결정","허브향 144","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호135","품목보고번호19970464172116","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명홍삼정톤","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","홍삼추출액","당귀추출액","구기자추출액","인삼가수분해농축액","백설탕","구연산","폴리소르베이트80","정제소금","구연산삼나트륨","천연홍삼향","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","비타민B2","비타민B6염산염","정제수",NA,NA,NA
"8","번호134","품목보고번호19970464172153","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명홍삼진액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","대추농축액","계피농축액","액상과당","말토덱스트린","구연산","액상카라멜","당귀농축액","잔탄검","홍삼향","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","허브향","구연산삼나트륨","정제수",NA,NA,NA
"9","번호133","품목보고번호201701471551","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명홍삼진액골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","액상과당","대추엑기스","구연산","합성착향료","비타민 B1라우릴황산염(고시형)","구연산삼나트륨","가공소금","말토덱스트린혼합제제","스테비텐후레쉬","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","카라멜색소","천궁엑기스","정제수",NA,NA,NA
"10","번호132","품목보고번호201701471556","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명홍삼진액골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","액상과당","대추엑기스","구연산","합성착향료","비타민B1라우릴황산염","구연산삼나트륨","가공소금","말토덱스트린혼합제제","스테비텐후레쉬","홍삼향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","천궁엑기스","정제수","카라멜색소",NA,NA,NA
