"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31"
"1","번호3957","품목보고번호19970464172346","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고 눈꽃동충하초(BOGO Cordyceps)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","눈꽃동충하초분말","대추농축액","백설탕","구연산","구연산삼나트륨","허브향","사양벌꿀","배농축액","합성향료","카라멜색소","정제소금","덱스트린","정제수","","","","","","","","","한방향","","","말토덱스트린","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3956","품목보고번호19970464172345","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고 숙취액(BOGO DRINKTOX Hangover Drink)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","액상과당","헛개나무열매농축액","배농축액","감추출농축액","밀크씨슬추출물","사양벌꿀","L-아스파라진","타우린","구연산","구연산삼나트륨","비타민 B1염산염(고시형)","비타민 B2(고시형)","니코틴산아미드","기타과당","","","","","","","","","","","","","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","비타민B6염산염","판토텐산칼슘","산화아연","황산마그네슘","복숭아향","애플망고향","비타민 B12(고시형)","엽산","아미노산혼합분말","L-아르지닌","시클로덱스트린","스테비올배당체","헛개나무열매추출분말","강황추출액","효모추출분말","젖산칼슘","비타민C","정제수","","","","","","","","","로이신,발린,이소로이신","","","","","수용성 커큐민","","","",""
"3","번호3955","품목보고번호19970464172178","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고 키즈짱(BOGO KIDS JJANG)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","베타인","이노시톨","L-라이신염산염","L-아스파르트산","구연산","L-아르기닌","젖산칼슘","딸기향","니코틴산아미드","효소처리스테비아","산화아연","수크랄로스","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민B1염산염","비타민B6염산염","구연산삼나트륨","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3954","품목보고번호19970464172106","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고 키즈칼슘(KIDS CALCIUM)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","젖산칼슘","농축사과과즙","액상과당","벌꿀","말토덱스트린","타우린","비타민C","비타민B2","구연산","구연산삼나트륨","아미노믹스","황금복합추출물","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"크림소다향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3953","품목보고번호19970464172246","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명보고 키즈칼슘킹(BOGO KIDS CALCIUM KING)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"젖산칼슘(고시형)","농축사과과즙","백설탕","구연산","구연산삼나트륨","타우린","비타민 B2(고시형)","비타민 C(고시형)","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3952","품목보고번호19970464172347","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명보고 홍삼정(BOGO Red Ginseng Jung)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","홍삼농축액","대추농축액","생강농축액","기타과당","카라멜색소","잔탄검","효소처리스테비아","구연산","구연산삼나트륨","홍삼향","허브향","정제소금","덱스트린","","","","","","","","","","","","정제염","말토덱스트린","14","15","16","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민B1염산염","비타민B6염산염","니코틴산아미드","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3951","품목보고번호19970464172205","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고녹용","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"녹용추출액","백설탕","구연산","구연산삼나트륨","비타민C","액상카라멜","한방향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3950","품목보고번호19970464172206","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고동충하초","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"눈꽃동충하초분말","당귀농축액","천궁농축액","대추농축액","백설탕","구연산","구연산삼나트륨","액상카라멜","정제염","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3949","품목보고번호19970464172207","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고매실","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"매실농축액","백설탕","구연산","구연산삼나트륨","비타민C","액상카라멜","매실향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3948","품목보고번호19970464172203","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명보고복분자","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,"복분자농축액","백설탕","구연산","구연산삼나트륨","비타민C","복분자향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
