"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호191","품목보고번호20090440068489","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헬로키티 미니젤 복숭아맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","복숭아향","구연산","식용색소황색제5호","효소처리스테비아","복숭아농축액","","","","","카라겐45","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호190","품목보고번호20090440068488","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헬로키티 미니젤 사과맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","사과향","구연산","효소처리스테비아","사과농축액","혼합제제","","","","","카라겐45","","","","","","식용색소혼합녹색",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호189","품목보고번호20090440068491","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헬로키티 미니젤 포도맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","포도향","구연산","식용색소청색제1호","효소처리스테비아","백포도농축액","","","","","카라겐45","","","","","","","12","포도농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호188","품목보고번호20050555180605","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명헬시굼진액","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"흰점박이꽃무지유충추출물","정제수","배농축액","대추농축액",NA,NA,NA,NA,NA,NA,NA,"혼합추출액(고형분4.0%이상)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호187","품목보고번호20190326100203","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헬씨드 아르업","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","9","10","11","L-아르지닌","L-아스파트산","오르니틴염산염","수박추출물","액상과당","포도농축액","비타민C","아셀렌산나트륨","글루콘산아연","니코틴산아미드","황기추출분말","","","","수박과피추출물분말","","적포도농축액","","아셀렌산나트륨 혼합제제","","","황기추출물분말","12","비타민B1염산염","","13","14","15","16","17","18","19","20","21","비타민B12혼합제제분말","구연산(무수)","효소처리스테비아","수크랄로스","포도향","천연향료(Lemon)","정제수","민들레추출농축액분말","엽산","","","","","","천연레몬향","","민들레엑기스분말",""
"6","번호186","품목보고번호19970570162336","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명헬씨올리고 칼슘드링크","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","11","기타과당","사과농축액","시클로덱스트린","젖산칼슘","구연산","프락토올리고당","글루코사민염산염분말(고시형)","합성향료","비타민C","구연산삼나트륨","합성향료","","72brix 이상","","","","","","사과향 BH1-11911","","","드링크향 S050905","12","펙틴","","13","14","15","16",NA,NA,NA,NA,NA,"수크랄로스","비타민B2","비타민D3혼합제제","정제수",NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA
"7","번호185","품목보고번호20030355450184","업소명(주)대은바이오","품목유형혼합음료","유통/소비기한24","제품명헬프로에너지","분류식품","업체명","(주)대은바이오","소재지","경기도 파주시 광탄면 부흥로 482(가,나,바동)","1","2","3","4","5","6","7","8","9","10","11","블루베리농축액","L-아르기닌(기능성원료인정제2015-19호)","타우린","유자농축액","마카농축액","구연산","구아검","프락토올리고당","정제수","과라나추출물분말","기타가공품","60brix,수입산","","","60brix,국산","고형분50%,수입산","","","","","","옥타코사놀함유","12","기타가공품","멀티비타민미네랄믹스N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호184","품목보고번호20080395120660","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조로부터 3시간","제품명현미액","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","곡류가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","현미페이스트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호183","품목보고번호20090473152445","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 10개월 까지","제품명현숙C","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10",NA,"정제수","현미가루","기타가공품","α-아밀라아제","셀룰라아제","천일염","혼합제제","글루코아밀라아제","프로테아제","합성향료",NA,"","생현미분","해조 100%","효소제","효소제","","영양강화제","효소제","효소제","밀크향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호182","품목보고번호2010052806654","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관1년","제품명호박식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,NA,NA,NA,"서양호박","엿기름당화액","정제수","백설탕","쌀",NA,NA,NA,NA,NA,NA,"자숙 단호박","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
