"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13"
"1","번호3370","품목보고번호2008033218016","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명서울떡갈비 식후식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3","엿기름","설탕","쌀","엿기름농축액[엿기름(대맥70%국내산 / 소맥30% 미국산)2%,정제수98%] 85% 엿기름농축액[엿기름(대맥70%국내산 / 소맥30% 미국산)고","","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3369","품목보고번호20090242118198","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명서울토닉 Seoul Tonic","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","정제수","과.채가공품","액상차","","배농축액","도라지추출액","4","5","6","7","8","과.채가공품","액상차","비타민C","식품첨가물","식품첨가물","배착즙액","수세미추출액","","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3368","품목보고번호20080358277145","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한6개월","제품명서정느린식혜","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","정제수","설탕","엿기름","","유기농설탕","","4",NA,NA,NA,NA,"쌀",NA,NA,NA,NA,"무농약쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3367","품목보고번호2021052507635","업소명주식회사 다인음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명서편제 망고","분류식품","업체명","주식회사 다인음료","소재지","전라남도 장흥군 장흥읍 산단로 320","1","2","3","정제수","액상과당","망고농축액",NA,NA,NA,"4","5","6","7","8","구연산","시트러스향","아세설팜칼륨","구연산삼나트륨","합성향료",NA,NA,NA,NA,NA,"9","10","수크랄로스","식용색소황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3366","품목보고번호2021052507642","업소명주식회사 다인음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명서편제 매실","분류식품","업체명","주식회사 다인음료","소재지","전라남도 장흥군 장흥읍 산단로 320","1","2","3","정제수","액상과당","매실농축액",NA,NA,NA,"4","5","6","7","8","사과농축액","구연산","구연산삼나트륨","합성향료","수크랄로스",NA,NA,NA,NA,NA,"9","10","아세설팜칼륨","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3365","품목보고번호2021052507636","업소명주식회사 다인음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명서편제 복숭아","분류식품","업체명","주식회사 다인음료","소재지","전라남도 장흥군 장흥읍 산단로 320","1","2","3","정제수","액상과당","복숭아농축액",NA,NA,NA,"4","5","6","7","8","구연산","구연산삼나트륨","합성향료","시트러스향","수크랄로스",NA,NA,NA,NA,NA,"9","10","아세설팜칼륨","식용색소황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3364","품목보고번호2021052507634","업소명주식회사 다인음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명서편제 제주감귤","분류식품","업체명","주식회사 다인음료","소재지","전라남도 장흥군 장흥읍 산단로 320","1","2","3","정제수","액상과당","감귤농축액",NA,NA,NA,"4","5","6","7","8","구연산","구연산삼나트륨","합성향료","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,"9","10","시트러스향","식용색소황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3363","품목보고번호19780614001426","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명석류","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","석류청징농축액","기타과당","아세설팜칼륨","Bx 64.5","","","4","5","6","7","8","수크랄로스","덱스트린","구연산","구연산삼나트륨","비타민C","","말토덱스트린","","","","9","10","혼합제제","락색소","","","11","12","13","합성향료","합성향료","정제수","석류향","자몽향",""
"9","번호3362","품목보고번호19780368002567","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명석류","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","석류농축액","기타과당","아세설팜칼륨","석류청징농축액","","","4","5","6","7","8","수크랄로스","말토덱스트린","구연산","구연산삼나트륨","비타민C","","","","","","9","10","혼합제제","락색소","","","11","12","13","합성향료","천연향료","정제수","석류향","자몽향",""
"10","번호3361","품목보고번호19970464172180","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명석류","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","석류농축액","아카시아식이섬유","사과농축액","","","(72Brix)","4","5","6","7","8","액상과당","구연산","구연산삼나트륨","비타민C","코치닐추출색소","","","","","","9","10","석류향","효소처리스테비아","","","11",NA,NA,"정제수",NA,NA,"",NA,NA
