"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호1763","품목보고번호19780368002597","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이프로부족할 때 자두","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","자두농축액","설탕","구연산","기타소금","효소처리루틴","합성향료","합성향료","정제수","자두청징농축액","","","히말라야핑크솔트","","자두향1","자두향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1762","품목보고번호19930242053133","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터12월","제품명이프로부족할때복숭아","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7",NA,"복숭아농축액","액상과당","구연산","구연산삼나트륨","정제수","효소처리루틴","합성착향료",NA,"복숭아청징농축액","","","","","","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1761","품목보고번호19780368002193","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 캔12개월, 펫9개월","제품명이프로부족할때복숭아","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7",NA,"정제수","액상과당","복숭아청징농축액","구연산","복숭아향","구연산삼나트륨","효소처리루틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1760","품목보고번호19780614001178","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔: 12개월, PET: 9개월","제품명이프로부족할때복숭아","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7",NA,"복숭아청징농축액","액상과당","구연산","구연산삼나트륨","효소처리루틴","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1759","품목보고번호2000036037221","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔-24개월, PET-12개월","제품명이프로부족할때복숭아","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7",NA,"복숭아청징농축액","액상과당","구연산","구연산삼나트륨","효소처리루틴","복숭아향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1758","품목보고번호19930242053348","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명이프로부족할때아쿠아","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","자몽농축액","사과청징농축액","레몬농축액","과.채가공품류","백설탕","구연산","구연산삼나트륨","정제소금","자몽청징농축액","","레몬청징농축액","채소혼합농축액","","","","","9","10","11","12","13","14","15","16","17","염화칼륨","젖산칼슘","염화마그네슘","L-글루타민산나트륨","효소처리루틴","합성착향료","천연착향료","천연착향료","정제수","","","","","","시트러스향","자몽향1","자몽향2",""
"7","번호1757","품목보고번호19780368002525","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한펫,캔-제조일로부터 9개월","제품명이프로부족할때아쿠아","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","자몽농축액","사과청징농축액","레몬농축액","과.채가공품류","백설탕","구연산","구연산삼나트륨","염화칼륨","자몽청징농축액","","레몬청징농축액","야채혼합농축액","","","","","9","10","11","12","13","14","15","16","17","젖산칼슘","염화마그네슘","정제소금","L-글루타민산나트륨","효소처리루틴","합성착향료","천연착향료","천연착향료","정제수","","","","","","시트러스향","자몽향1","자몽향2",""
"8","번호1756","품목보고번호19780614001404","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔-제조일로부터 9개월","제품명이프로부족할때아쿠아","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","자몽농축액","사과청징농축액","과.채가공품류","백설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","자몽청징농축(Bx:64.0)","Bx:70.0","야채혼합농축액(Bx:16.0)","","","","","","9","10","11","12","13","14","15","16","17","젖산칼슘","염화마그네슘","L-글루타민산나트륨","효소처리루틴","합성착향료","천연착향료","천연착향료","정제수","레몬농축액","","","","","시트러스향","자몽향1","자몽향2","","레몬청징농축액(Bx:43.5)"
"9","번호1755","품목보고번호20000360372230","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한PET-9개월","제품명이프로부족할때아쿠아","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","자몽농축액","사과청징농축액","레몬농축액","과.채가공품류","백설탕","구연산","구연산삼나트륨","정제소금","","","","채소혼합농축액","","","","","9","10","11","12","13","14","15","16","17","염화칼륨","젖산칼슘","염화마그네슘","L-글루타민산나트륨","효소처리루틴","합성착향료","천연착향료","천연착향료","정제수","","","","","","시트러스향","자몽향1","자몽향2",""
"10","번호1754","품목보고번호19920624042768","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명이프로부족할때아쿠아","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","정제수","백설탕","과.채가공품류","구연산","구연산삼나트륨","천연자몽향","과.채가공품류","정제소금","","","자몽청징농축액(이스라엘산)","","","","사과청징농축액(칠레산)","","9","10","11","12","13","14","15","16","17","채소혼합농축액","과.채가공품류","염화칼륨","시트러스향","젖산칼슘","천연자몽향","L-글루타민산나트륨","염화마그네슘","효소처리루틴","국산","레몬청징농축액(이스라엘산)","","","","","","",""
