"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5"
"1","번호3003","품목보고번호2020049142795","업소명또또찬방","품목유형혼합음료","유통/소비기한제조일로 부터 150일","제품명식혜","분류식품","업체명","또또찬방","소재지","전라북도 익산시 인북로 357-1(신동)","1","2","3","4","5","엿기름","정제수","설탕","생강","쌀","뚜레반 엿기름가루","","","","맵쌀"
"2","번호3002","품목보고번호20130080027100","업소명한양전통식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명식혜","분류식품","업체명","한양전통식품","소재지","경기도 김포시 양촌읍 금포로 1755(가,나동)","1","2","3","4",NA,"정제수","멥쌀","백설탕","엿기름",NA,"","국산","","국산",NA
"3","번호3001","품목보고번호20140362959118","업소명주식회사 인세이버","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명식혜","분류식품","업체명","주식회사 인세이버","소재지","경기도 김포시 홍도평로 43-3(걸포동)","1","2","3","4",NA,"멥쌀","엿기름","백설탕","정제수",NA,"국내산","국내산","","",NA
"4","번호3000","품목보고번호20080358277255","업소명서정쿠킹(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월까지","제품명식혜 베이스","분류식품","업체명","서정쿠킹(주)","소재지","경기도 이천시 신둔면 서이천로853번길 346-179","1","2","3","4",NA,"백설탕","엿기름","쌀","정제수",NA,NA,NA,NA,NA,NA
"5","번호2999","품목보고번호20140395066305","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장 2개월 / 냉동 12개월","제품명식혜 이야기","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,"정제수","멥쌀","엿기름","설탕",NA,NA,NA,NA,NA,NA
"6","번호2998","품목보고번호201202882602","업소명대진푸드","품목유형혼합음료","유통/소비기한6개월까지(냉동)","제품명식혜(감주)","분류식품","업체명","대진푸드","소재지","경기도 안양시 만안구 전파로 30(유천팩토피아 7층 722호 안양동)","1","2","3","4","5","엿기름","보리","백설탕","쌀","정제수",NA,NA,NA,NA,NA
"7","번호2997","품목보고번호202103789442","업소명선도식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명식혜가후식으로땡길때","분류식품","업체명","선도식품","소재지","경기도 김포시 고촌읍 상미로9번길 31","1","2","3","4",NA,"엿기름","정제수","멥쌀","백설탕",NA,"국내산","","국내산","수입산",NA
"8","번호2996","품목보고번호202004829869","업소명농업회사법인향토자원개발연구소주식회사","품목유형혼합음료","유통/소비기한12개월","제품명식혜너떼","분류식품","업체명","농업회사법인향토자원개발연구소주식회사","소재지","전라북도 익산시 금마면 미륵사지로1길 15(1층)","1","2","3","4",NA,"쌀","엿기름","효소처리스테비아","커피분말",NA,NA,NA,NA,NA,NA
"9","번호2995","품목보고번호19970368029388","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명식혜명인 단호박 식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","정제수","서양호박퓌레","백설탕","곡류가공품","쌀","","단호박퓨레","유기농설탕","유기농엿기름추출액","유기농쌀"
"10","번호2994","품목보고번호19970368029384","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명식혜명인 유기농식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,"기타 농산가공품","백설탕","쌀","정제수",NA,"유기농엿기름추출액","유기농설탕","유기농 쌀(국산)","",NA
