"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16"
"1","번호5202","품목보고번호19890445014873","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36개월","제품명녹용홍삼보","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","홍삼혼합추출액","기타과당","이소말토올리고당","카라멜색소비에이","카복시메틸셀룰로스나트륨","구연산","안식향산나트륨","비타민B2","인삼향","녹용추출액","정제수","(고형분 2%)","","","","","","","","","(고형분0.1%, 뉴질랜드산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5201","품목보고번호2019037647626","업소명호랑이건강원에프앤비 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명녹용활력수","분류식품","업체명","호랑이건강원에프앤비 주식회사","소재지","경기도 안성시 서운면 바우덕이로 326","1","2","3","4","5","6","7","8","9","10","11","벌꿀","녹용추출액","홍삼농축액","참당귀농축액","황기농축액","구기자농축액","대추농축액","생강농축액","타우린","프로폴리스추출농축액","비타민B1염산염","","골질화되지 않았거나 약간 골질화된 어린뿔","","","","","","","","","","12","13","14","15","16","비타민B6염산염","비타민C","올리고당","정제수","자몽종자추출물","","","","",""
"3","번호5200","품목보고번호20180491044100","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명녹차라떼","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","전지분유","탈지분유","녹차가루","녹차향","자당지방산에스테르","정제소금","탄산수소나트륨","카라기난","식품첨가물혼합제제","","","","","","#6","자당에스테르 P-1670 / 유화제","","중조(산도조절제)","K-100 / 유화제","소포제","12","13",NA,NA,NA,"식용색소황색제4호","식용색소청색제1호",NA,NA,NA,"착색료","착색료",NA,NA,NA
"4","번호5199","품목보고번호20090473152271","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명녹차라떼","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","8","9","10","11","설탕","전지분유","탈지분유","녹차가루","유화제","합성향료","탄산수소나트륨","합성향료","정제소금","클로렐라","카라기난","","국산","미국산","국산","유화제 P-1570","녹차향#2 FC-60201","","밀크향#1 FC-67106","","","카라기난 K-100","12","13","14","15",NA,"식품첨가물혼합제제","화학적합성품","화학적합성품","정제수",NA,"폼크린 200","식용색소 황색4호","식용색소 청색1호","",NA
"5","번호5198","품목보고번호20070464094311","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명녹차라떼","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","설탕","전지분유","탈지분유","녹차엑기스분말","클로렐라분말","유화제","카라기난","탄산수소나트륨","정제소금","혼합제제","식용색소황색제4호","","","","","","유화제 P-1570","카라기난 K-100","","","폼크린200","","12","13","14","15",NA,"식용색소청색제1호","녹차향","밀크향","정제수",NA,"","","","",NA
"6","번호5197","품목보고번호2013044306165","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한냉장 28일","제품명녹차라떼","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3","4","5","6",NA,NA,NA,NA,NA,"우유","녹차추출물","용설란시럽","녹차가루","녹차농축액","천일염",NA,NA,NA,NA,NA,"국내산,유기농","국내산,유기농","멕시코산,유기농,아가베시럽","국내산,유기농","국내산,유기농","국내산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5196","품목보고번호20030355450160","업소명(주)대은바이오","품목유형혼합음료","유통/소비기한24개월까지","제품명농협 고이담은 석류콜라겐","분류식품","업체명","(주)대은바이오","소재지","경기도 파주시 광탄면 부흥로 482(가,나,바동)","1","2","3","4","5","6","7",NA,NA,NA,NA,"석류농축액","사과농축액","구연산","프락토올리고당","홍삼농축액","생선콜라겐분말","적양배추색소",NA,NA,NA,NA,"15brix,터키산","60brix,국산","","","","피쉬콜라겐파우다","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5195","품목보고번호201403950661","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한냉장 60일 냉동 1년","제품명농협 우리쌀 식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"멥쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5194","품목보고번호19920562023200","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 12월","제품명농협꿀홍삼","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6",NA,NA,NA,NA,NA,"벌꿀","액상과당","홍삼농축액","구연산","홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5193","품목보고번호19920562023121","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한유리병,PET 제조일로부터 12개월,CAN 제조일로부터 24개월","제품명농협생복분자","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","6","7","8","9","10","11","복분자농축액","사과농축액","액상과당","구연산","비타민C","에노칼라L","구연산삼나트륨","후르츠믹스후레바","복분자향","적포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
