"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13"
"1","번호4932","품목보고번호19780614001234","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명델몬트망고드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11","12","망고농축퓌레","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","구연산삼나트륨","아라비아검","젤란검","향료","향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4931","품목보고번호19780368002404","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명델몬트망고드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","12","망고농축퓌레","설탕","수크랄로스","아세설팜칼륨","구연산","비타민C","구연산삼나트륨","아라비아검","젤란검","합성향료","합성향료","정제수","","","","","","","","","","망고향1","망고향2","",NA,NA,NA
"3","번호4930","품목보고번호19780614001370","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명델몬트믹시백포도복숭아","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"복숭아농축액","백포도농축액","백설탕","효소처리스테비아","구연산","구연산삼나트륨","효소처리루틴","복숭아향","포도향","정제수",NA,NA,"","가당백포도농축액","","","","","","","","",NA,NA,NA,NA,NA
"4","번호4929","품목보고번호19780614001365","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명델몬트스퀴즈오렌지에이드","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11","12","오렌지농축액","감귤농축액","기타과당","아세설팜칼륨","수크랄로스","구연산","구연산삼나트륨","펙틴","비타민C","오렌지향","오렌지향","오렌지향","65Bx","60Bx","","","","","","","","오렌지향1","오렌지향2","오렌지향3","13","정제수",""
"5","번호4928","품목보고번호19780368002478","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한펫 : 제조일로부터 9개월, 캔 : 제조일로부터 12개월","제품명델몬트스퀴즈오렌지에이드","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","12","오렌지농축액","감귤농축액","액상과당","아세설팜칼륨","수크랄로스","구연산","구연산삼나트륨","펙틴","비타민C","오렌지향","오렌지향","오렌지향","스페인산","","","","","","","","","NOCKS 91-1204-B","IFF B-12531","SC-2002","13","정제수",""
"6","번호4927","품목보고번호19780368002254","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터6개월(실온)","제품명델몬트오렌지드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","액상과당","오렌지농축액","구연산","펙틴","오렌지향","오렌지향","구연산삼나트륨","효소처리스테비아","비타민C","오렌지향",NA,"","","스페인산","결정","","오렌지향2(IFF ORANGE B-12531)","오렌지향3 (SC-2002)","","","","오렌지향1 (TAKATA KLT-681PC)",NA,NA,NA,NA
"7","번호4926","품목보고번호1978061400126","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한팩-제조일로부터 6개월까지","제품명델몬트오렌지드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11",NA,"오렌지농축액","기타과당","효소처리스테비아","구연산","구연산삼나트륨","펙 틴","비타민C","오렌지향","오렌지향","오렌지향","정제수",NA,"Brix 65.0","","","","","","","오렌지향1","오렌지향2","오렌지향3","",NA,NA,NA,NA
"8","번호4925","품목보고번호19780614001204","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔: 24개월, 병,PET: 12개월","제품명델몬트오리지널알로에","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8","9","10","11","12","알로에베라(CRUSHED) BX","알로에베라겔 파우다","액상과당","구연산","구연산삼나트륨","젖산칼슘","비타민C","젤란검","산그린LT","포도향1(LN 87-0805-B)","포도향2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4924","품목보고번호2011049003427","업소명(유)신우 S&F","품목유형혼합음료","유통/소비기한12개월","제품명델몬트자몽에이드","분류식품","업체명","(유)신우 S&F","소재지","전라북도 정읍시 고부면 고부농단길 30","1","2","3","4","5","6","7","8","9","10","11","12","레드","자몽","농축액","백설탕","구연산함수","비타민C","구연산삼나트륨","당근추출액","자주색고구마색소-피","락색소","자몽향(LS-71013)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4923","품목보고번호19780368002314","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터6개월","제품명델몬트파인애플드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","12","정제수","액상과당","파인애플농축액","구연산","파인애플향","펙틴","효소처리스테비아","비타민C","구연산삼나트륨","파인애플향","분말산옐로우No","혼합제제","","","[60.6 Brix]","","NOCKS 171208B","","스테비텐후레쉬","","","IFF 41282","","베타카로텐-엘",NA,NA,NA
