"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호5837","품목보고번호2005007713134","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명VS-PL태반 추출물","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","돼지태반","출물","자몽추출물","상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5836","품목보고번호2020040143959","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 10개월","제품명Vcheck 오리지널","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","가공두유","백설탕","덱스트린","글리세린지방산에스테르","식물성 혼합액[원액두유(두류고형분 7%), 아몬드페이스트, 코코넛밀크, 정제수]","","말토덱스트린","","5","6","7","8","9","10","11","12","13","가공유지","정제소금","혼합제제","코코넛오일","합성향료","탄산수소나트륨","기타가공품","카라기난","정제수","MCT오일","","결정셀룰로스, 카라기난, 카복시메틸셀룰로스나트륨","","크리미향","","복합허브추출물C","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5835","품목보고번호20080395120572","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명Vcheck 오리지널","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","가공두유","백설탕","덱스트린","글리세린지방산에스테르","식물성 혼합액[원액두유(두류고형분 7%), 아몬드페이스트, 코코넛밀크, 정제수]","","말토덱스트린","","5","6","7","8","9","10","11","12","13","가공유지","정제소금","혼합제제","코코넛오일","합성향료","탄산수소나트륨","기타가공품","카라기난","정제수","MCT오일","","결정셀룰로스, 카라기난, 카복시셀룰로스나트륨","","크리미향","","복합허브추출물C","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5834","품목보고번호2015051802374","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명Visvita Aloe Vera Guava(비스비타 알로에 베라 구아바)","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","정제수","알로에베라겔원액","설탕","구연산","","알로에베라겔","","함수구연산","5","6","7","8","9","10","11","12","13","젖산칼슘","구아바향","구연산삼나트륨","시트러스향","코치닐추출색소","젤란검","포도과피색소","스테비올배당체","비타민C","","구아바향 1","","","","","","","","14","액상과당","",NA,NA,NA,NA,NA,NA
"5","번호5833","품목보고번호2015051802372","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명Visvita Aloe Vera Peach(비스비타 알로에 베라 복숭아)","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","정제수","알로에베라겔원액","설탕","구연산","","알로에베라겔","","함수구연산","5","6","7","8","9","10","11","12","13","젖산칼슘","복숭아향","구연산삼나트륨","시트러스향","젤란검","스테비올배당체","비타민C","코치닐추출색소","액상과당","","복숭아향1","","","","","","","","14","β-카로틴","",NA,NA,NA,NA,NA,NA
"6","번호5832","품목보고번호2015051802375","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명Visvita Aloe Vera Strawberry(비스비타 알로에 베라 스트로베리)","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","정제수","설탕","알로에베라겔원액","구연산","","","알로에베라겔","함수구연산","5","6","7","8","9","10","11","12","13","젖산칼슘","딸기향1","딸기향2","포도과피색소","구연산삼나트륨","젤란검","코치닐추출색소","스테비올배당체","비타민C","","","","","","","","","","14","액상과당","",NA,NA,NA,NA,NA,NA
"7","번호5831","품목보고번호2015051802373","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명Visvita Aloe Vera Tamarindo(비스비타 알레에베라 타마린도)","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","정제수","알로에베라겔원액","설탕","구연산","","알로에베라겔","","함수구연산","5","6","7","8","9","10","11","12",NA,"인공 타마린드향","젖산칼슘","구연산삼나트륨","젤란검","카라멜색소","스테비올배당체","비타민C","액상과당",NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5830","품목보고번호2015051802369","업소명(주) 예인티앤지","품목유형혼합음료","유통/소비기한730일(24개월, 2년)","제품명Visvita premium Aloe Vera Coconut(비스비타 프리미엄 알로에베라 코코넛)","분류식품","업체명","(주) 예인티앤지","소재지","전라남도 고흥군 동강면 청정식품단지길 73","1","2","3","4","정제수","설탕","알로에베라겔원액","코코넛향","","","알로에베라겔","","5","6","7","8","9","10","11","12","13","구연산","젖산칼슘","구연산삼나트륨","비타민C","젤란검","시트러스향","효소처리스테비아","코코넛밀크분말","액상과당","함수 구연산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5829","품목보고번호19960308010380","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한24월","제품명Vita 500 brand Vitamin C Health Drink","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","액상과당","농축사과과즙","비타민C","팔라티노스",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","13","구연산","드링크향","케이","비타","구연산삼나트륨","펙틴","DL-사과산","오렌지추출물","히알루론산-KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","수크랄로스",NA,"15","16","아세설팜칼륨","정제수",NA,NA
"10","번호5828","품목보고번호19960308010379","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한12월","제품명Vita500’ brand Energy Health drink","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","액상과당","농축사과과즙","비타민C","구연산",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","13","케이","비타","드링크향","구연산삼나트륨","펙틴","DL-사과산","타우린","오렌지추출물","히알루론산-KD",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","비타민B2",NA,"15",NA,"정제수",NA,NA,NA
