"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호1923","품목보고번호2017036846641","업소명한국비엘 주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명유나인 석류화이바","분류식품","업체명","한국비엘 주식회사","소재지","경기도 광주시 도척면 국사봉로133번길 33-22(1층)","1","2","3","4","5","6","7","8","9","10","11","석류농축액","효소처리스테비아","구연산","DL-사과산","석류향","비타민C혼합제제","폴리덱스트로스","사과농축액","식용색소적색제40호","백설탕","정제수","과즙으로8.13%,12brix","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1922","품목보고번호19860443015130","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한25개월  실온","제품명유니베라 알로에 플러스 리퀴드(Univera Aloe Plus Liquid)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7",NA,NA,NA,NA,"액티브알로에","잔탄검","녹차추출물분말(고시형)","소르빈산칼륨","안식향산나트륨","구연산(무수)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1921","품목보고번호2013041505226","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한18개월","제품명유니아미(UNIAMI)","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","11","결정과당","액상과당","시클로덱스트린시럽","아미노산혼합제제","복숭아농축액","시클로덱스트린","글리신","복숭아향","L-프롤린","효소처리스테비아","구연산","","","","아미노액티브BMG-SH","68Brix, CLEAR PEACH CONCENTRATE","베타","","혼합제제, 복숭아향FB1815-1011","","","","12","13","14","15","16","17","18","19","구연산삼나트륨","젖산칼슘","젤란검","황금혼합추출물","잔탄검","로커스트콩검","비타민미네랄혼합제제","정제수","","","","","","","성장(Growth)비타민",""
"4","번호1920","품목보고번호2009037514927","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명유니온 OK 알칼리수","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1919","품목보고번호2009037514925","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명유니온 천년 알카리수","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1918","품목보고번호2009037514928","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명유니온 천년 알칼리수","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1917","품목보고번호20160441094107","업소명유니크바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명유니원 프로폴리스 추출물","분류식품","업체명","유니크바이오텍(주)","소재지","전라북도 익산시 왕궁면 푸드폴리스로8길 69","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"프로폴리스추출액","L-아르지닌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1916","품목보고번호20160441094102","업소명유니크바이오텍(주)","품목유형혼합음료","유통/소비기한제조일부터   24개월, 실온","제품명유니크 수용성 프로폴리스 추출물","분류식품","업체명","유니크바이오텍(주)","소재지","전라북도 익산시 왕궁면 푸드폴리스로8길 69","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","프로폴리스추출액","L-아르기닌(기능성원료인정제2015-19호)","자일리톨","l-멘톨","효소처리스테비아","블루베리향","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1915","품목보고번호20160441094104","업소명유니크바이오텍(주)","품목유형혼합음료","유통/소비기한제조일부터   24개월, 실온","제품명유니크 프로폴리스 추출물 B01","분류식품","업체명","유니크바이오텍(주)","소재지","전라북도 익산시 왕궁면 푸드폴리스로8길 69","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","프로폴리스추출액","L-아르지닌",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1914","품목보고번호2008033218044","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 6개월","제품명유델리식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
