"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","성분 및 원료20","성분 및 원료21","비고20","비고21","번호...75","성분 및 원료","비고"
"1","번호6027","품목보고번호2019037454017","업소명(주)에이치엔비웰","품목유형혼합음료","유통/소비기한제조일로부터 2년(24개월)","제품명HY-HONESSEN(L)","분류식품","업체명","(주)에이치엔비웰","소재지","경기도 이천시 장호원읍 나래천로416번길 31-21","1","2","3","4","5","6","7","정제수","합성향료(Propylene glycol dibenzoate)","글리세린","안식향산나트륨","허니부쉬추출발효분말(기능성원료인정제2017-3호)","히알루론산","구연산","","Propanediol","","Sodium Benzoate","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호6026","품목보고번호20080181270168","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Haewon 미세0","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","수산물가공품","알긴산나트륨","만니톨","기타 수산물가공품","구연산","비타민 C(고시형)","구연산삼나트륨","후코이단","","","해조 8종 추출물","","","","8","9","10","11","12","13","14","15","16","17","18","19","자일리톨","기타설탕","매실농축액","배농축액","사과농축액","레몬농축액","도라지농축액","홍삼농축액","치자청색소","칼라만시향","페퍼민트향","정제수","","자일로스슈가","68 Brix","72 Brix","72 Brix","65 Brix","","4년근","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호6025","품목보고번호20080181270167","업소명(재)대구테크노파크 부설바이오산업지원센터","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Haewon 해조8茶","분류식품","업체명","(재)대구테크노파크 부설바이오산업지원센터","소재지","대구광역시 달서구 성서공단로 46-17(대천동, 1동 1~2층, 2동 1층)","1","2","3","4","5","6","7","수산물가공품","알긴산나트륨","만니톨","기타 수산물가공품","구연산","비타민 C(고시형)","구연산삼나트륨","후코이단","","","해조 8종 추출물","","","","8","9","10","11","12","13","14","15","16","17","18","19","자일리톨","기타설탕","매실농축액","배농축액","사과농축액","레몬농축액","도라지농축액","홍삼농축액","치자청색소","칼라만시향","페퍼민트향","정제수","","자일로스슈가","68 Brix","72 Brix","72 Brix","65 Brix","","4년근","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호6024","품목보고번호20020383603368","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Handb 콜라겐 펩타이드","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","생선콜라겐","석류농축액","비타민C","아로니아농축액","유자과즙","자일리톨","말티톨시럽","액상콜라겐","","","","유자과즙농축액","","액상말티톨","8","9","10","11","12","13","14","15","16",NA,NA,NA,"황금추출물","석류향","구연산(무수)","열처리유산균","수크랄로스","비타민B1염산염","비타민B2","히알루론산","정제수",NA,NA,NA,"복합황금추출물","합성향료","","열처리 유산균 엔에프원","감미료","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호6023","품목보고번호1997046417231","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명Hanmi Energy 골드 카페인","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","수크랄로스","효소처리스테비아","비타민C","타우린","베타인","비타민B6염산염","비타민B2","","","","","","","","8","9","10","11","12","13","14","15","16","17","18","19","니코틴산아미드","이노시톨","과라나추출물분말","L-아르기닌","L-카르니틴","식품첨가물혼합제제","구연산삼나트륨","구연산","드링크향","드링크향","레몬향","오렌지향","","","","","","EDTA-CaNa2","","","KM00925","NR10270","삼정1603022","삼정1603019","20","21","정제수","백설탕","","",NA,NA,NA
"6","번호6022","품목보고번호2003025701135","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명I.SEOUL.U 닥터M","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2",NA,NA,NA,NA,NA,"정제수","타우린",NA,NA,NA,NA,NA,"음용수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호6021","품목보고번호202306730221","업소명주식회사천수","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명I2","분류식품","업체명","주식회사천수","소재지","충청남도 태안군 태안읍 동백로 83(1층)","1","2",NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호6020","품목보고번호20000614238506","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명ICE ADE BLUE LEMON(블루레몬에이드)","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","레몬주스농축액","설탕","구연산","비타민C","구연산삼나트륨","혼합제제","수크랄로스","","","","","","정제수,아라비아검,D-소르비톨액,자당지방산에스테르,글리세린,정제가공유지,주정","","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"아세설팜칼륨","향료","향료","향료","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호6019","품목보고번호20000614238528","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명ICE TEA PEACH(복숭아아이스티)","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","복숭아농축액","홍차추출분말","설탕","구연산","비타민C","향료","향료","","","","","","","","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"향료","수크랄로스","아세설팜칼륨","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","정제수, 규소수지, 소르비탄지방산에스테르, 글리세린지방산에스테르, 카르복시메틸셀룰로오스나트륨","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호6018","품목보고번호201600844328","업소명(주)죠이라이프","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명IZMIZ 자연담은 석류즙100","분류식품","업체명","(주)죠이라이프","소재지","서울특별시 금천구 벚꽃로 232(3층 가산동)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","석류과즙",NA
