"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","성분 및 원료15","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30"
"1","번호3600","품목보고번호20150403012285","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타콜라겐 자몽","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","혼합음료","해양심층수미네랄탈염수","정제수","자몽콜라겐베이스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3599","품목보고번호20150403012286","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타콜라겐 자몽베이스","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","과.채가공품","기타가공품","폴리덱스트로스","자몽농축액","피쉬콜라겐","","4","5","6","7","8","9","10","11","12","13","14","구연산","구연산삼나트륨","수크랄로스","비타민C","아세설팜칼륨","레드칼라","자몽향","자몽향","기타가공품","혼합제제","해양심층수미네랄탈염수","무수구연산","","","","","레드컬러1 TMT-SP-2","자몽향1 FB1213-0015","자몽향2 FB1214-0046","복합허브추출물C","비타믹스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3598","품목보고번호20150403012265","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타콜라겐 체리","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","혼합음료","해양심층수미네랄탈염수","정제수","비타콜라겐체리베이스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3597","품목보고번호20150403012255","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타콜라겐 체리베이스","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","기타가공품","폴리덱스트로스","과.채가공품","피쉬콜라겐분말","","체리농축액","4","5","6","7","8","9","10","11","12","13","14","구연산","구연산삼나트륨","수크랄로스","비타민C","아세설팜칼륨","레드칼라","체리향","블루베리향","기타가공품","혼합제제","해양심층수미네랄탈염수","무수구연산","","","","","","","","복합허브추출물C","비타믹스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3596","품목보고번호202004427162","업소명웰바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타콜라겐5000","분류식품","업체명","웰바이오","소재지","충청북도 충주시 5산단4길 11(용탄동)","1","2","3","정제수","생선콜라겐","석류농축액","","피쉬콜라겐","","4","5","6","7","8","9","10",NA,NA,NA,NA,"블루베리농축액","기타과당","물엿","비타민C","구연산","구연산삼나트륨","포도향",NA,NA,NA,NA,"","고과당","저감미당","","","구연산나트륨","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3595","품목보고번호19920624042815","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명비타파워","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","정제수","액상과당","비타민C","","","","4","5","6","7","8","9","10",NA,NA,NA,NA,"구연산","혼합제제","구연산삼나트륨","효소처리스테비아","타우린","수크랄로스","비타민B2",NA,NA,NA,NA,"결정","드링크향(합성향료,정제수,주정등)","","","","","리보플라빈",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3594","품목보고번호20020623009406","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명비타포유","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","농축사과과즙","액상과당","비타민C",NA,NA,NA,"4","5","6","7","8","9","10","11","12","13","14","구연산","구연산삼나트륨","타우린","DL-사과산","니코틴산아미드","비타민B1염산염","비타민B2","비타민B6염산염","효소처리스테비아","L-카르니틴","파인애플향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3593","품목보고번호20010515081387","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명비타프로틴 멀티밸런스","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","카제인나트륨","대두유액","분리대두단백","","","","4","5","6","7","8","9","10","11","12","13","14","농축유단백","콩기름(대두유)","소르비탄지방산에스테르","글리세린지방산에스테르","덱스트린","백설탕","분말비타민A혼합제제","비타민B1염산염","비타민B2","비타민B6염산염","비타민B12","MPC 85","","올맥스 3800","올맥스 1000","말토덱스트린(15-20)","","","","","","0.00000119%","15","비타민C","","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","혼합제제","비타민E","엽산","니코틴산아미드","비오틴","판토텐산칼슘","탄산칼슘혼합제제","구연산칼륨","산화아연","황산제일철","카라기난","수크랄로스","검은깨향","곡류혼합분말","정제수","비타민 D3 혼합제제","비타민E혼합제제","","","","","액상탄산칼슘혼합제제","","","","","","흑임자향","16곡 분말",""
"9","번호3592","품목보고번호19970464172265","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타플러스","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","백설탕","농축사과과즙","비타민C","","","","4","5","6","7","8","9","10","11","12","13",NA,"구연산","구연산삼나트륨","니코틴산아미드","비타민B2","글리신","드링크향","비타민 B1라우릴황산염(고시형)","과당옥수수시럽","물엿","정제수",NA,"","","","","","","","","저감미당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3591","품목보고번호19890445014158","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명비타플러스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","비타민","과당","사과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
