"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31"
"1","번호1583","품목보고번호1997061706285","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명잘크톤","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","베타인","이노시톨","L-라이신염산염","L-아스파트산","뉴클레오이리단백","L-아르지닌","구연산(무수)","젖산칼슘","스트로베리엣센스","니코틴산아미드","효소처리스테비아","안식향산나트륨","산화아연","수크랄로스","비타민B2","비타민B1염산염","비타민B6염산염","비타민B12","","","","","","","","","","B5016","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1582","품목보고번호198604350131028","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명잘크톤 업","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","프락토올리고당","포도농축액","자일리톨","블루베리농축액","베리혼합농축액","블루베리향","구연산","구연산삼나트륨","라즈베리향","식물복합추출물","잔탄검","블랙엘더베리농축액","L-아르지닌","비타민C","니코틴산아미드","산화아연","파인애플농축액","젖산칼슘","","","(고형분 67%)","","(고형분 63%)","(고형분 48%)","(천연향료)","구연산혼합제제","","(천연향료)","","","엘더베리농축액(고형분 50%)","","","","(아연 80%)","(고형분 70%)","(칼슘 13%)","20","21","22","23","24","25","26","27","28","29","30","31","프로폴리스추출액","결명자추출물분말","체리농축분말","건조효모","비타민B6염산염","비타민B2","비타민B1염산염","비타민B12, 혼합제제","판토텐산칼슘","글루콘산마그네슘","비타민D3혼합제제","베타카로틴혼합제제","프로폴리스추출물","","","","(비타민B6 82%)","","(비타민B1 78%)","(비타민B12 0.1% 함유)","(판토텐산 91%)","(마그네슘 5.8%)","(비타민D 0.25% 함유)","(베타카로틴 10% 함유)"
"3","번호1581","품목보고번호19970617062156","업소명조아제약(주)","품목유형혼합음료","유통/소비기한24월","제품명잘크톤 에프(Jalkton F)","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","난소화성말토덱스트린(고시형)","베타인","이노시톨","L-라이신염산염","구연산(무수)","L-아스파르트산","L-아르기닌","젖산칼슘","스트로베리엣센스","니코틴산아미드","효소처리스테비아","안식향산나트륨","산화아연","비타민B6염산염","수크랄로스","주석산수소콜린","비타민B2","비타민B1염산염","","","","","","","","","","B5016","","","","","","","","","","20","21","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,"글루콘산마그네슘","비타민 D3 혼합제제분말","비타민B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1580","품목보고번호19970617062169","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명잘크톤 엠(M)","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","베타인","이노시톨","L-라이신염산염","구연산","L-아르지닌","추출가공식품","L-아스파트산","젖산칼슘","니코틴산아미드","판토텐산칼슘","폴리소르베이트80","감귤향","글루콘산마그네슘","염화칼륨","효소처리스테비아","안식향산나트륨","산화아연","수크랄로스","","","","","","","뉴클레오이리단백","","","","","","합성향료","","","","합성보존료","","합성감미료","20","21","22","23","24",NA,NA,NA,NA,NA,NA,NA,"비타민B2","비타민B1염산염","비타민B6염산염","프로폴리스추출액","비타민B12",NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA
"5","번호1579","품목보고번호20150403012331","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잘크톤비타 사과","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","젖산칼슘","사과농축액","DL-사과산","사과향","안식향산나트륨","수크랄로스","자일리톨","산화아연","비타민B6염산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"고과당","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1578","품목보고번호20150403012332","업소명드림바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잘크톤비타 소다","분류식품","업체명","드림바이오 주식회사","소재지","강원도 고성군 죽왕면 송지호로 15-22(15-26, 15-20)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","젖산칼슘","DL-사과산","황산마그네슘","식품첨가물","안식향산나트륨","수크랄로스","혼합제제","비타민B6염산염","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"고과당","","","","오렌지소다향","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1577","품목보고번호19970617062149","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터24월","제품명잘크톤포르테","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","베타인","이노시톨","L-라이신염산염","뉴클레오이리단백","젖산칼슘","L-아르지닌","L-아스파트산","구연산(무수)","스트로베리엣센스","니코틴산아미드","효소처리스테비아","안식향산나트륨","산화아연","수크랄로스","비타민B2","비타민B6염산염","비타민B1염산염","비타민B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1576","품목보고번호19970617062164","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명잘크톤플러스","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","난소화성말토덱스트린(고시형)","베타인","이노시톨","L-라이신염산염","구연산(무수)","L-아스파르트산","L-아르기닌","젖산칼슘","합성착향료","니코틴산아미드","효소처리스테비아","안식향산나트륨","산화아연","비타민B6염산염","수크랄로스","비타민B2","비타민B1염산염","글루콘산마그네슘","","","","","","","","","","스트로베리엣센스B5016","","","","","","","","","","20","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"비타민 D3 혼합분말","비타민B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1575","품목보고번호20160521127100","업소명주식회사 제이바이오","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명잠백이 에너지","분류식품","업체명","주식회사 제이바이오","소재지","전라남도 장흥군 관산읍 방촌1길 44-143","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,"액상차","파인애플농축액","프락토올리고당","필리핀레몬열매퓨레","과.채가공품","에리스리톨","시클로덱스트린시럽","레드비트농축액","테아닌","구연산","커피","감초농축액","효소처리스테비아","타우린","혼합제제","혼합제제",NA,NA,NA,"잠스피린","","","냉동깔라만시퓨레","바나나농축액SR","","","유기농레드비트농축액","L-테아닌","함수구연산","이과수커피","","","","아미노믹스2","멀티비타민미네랄믹스-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1574","품목보고번호20110084489277","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명잠백이 에너지","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","파인애플농축액","필리핀레몬열매퓨레","프락토올리고당","바나나농축액","에리스리톨","시클로덱스트린시럽","과라나추출물분말","레드비트농축액","고량강뿌리줄기추출분말","테아닌","효소처리스테비아","구연산","커피","감초농축액","타우린","홍차추출분말","혼합제제","혼합제제","","","깔라만시퓨레","","","","","과라나추출분말","유기농레드비트주스농축액","갈랑가(갈랑갈)추출물분말","L-테아닌","","함수구연산","이과수커피","","","","아미노산혼합제제/아미노믹스","비타민혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
