"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","성분 및 원료7","성분 및 원료8","비고7","비고8","번호9","성분 및 원료9","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11"
"1","번호3190","품목보고번호20090242118196","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명수정과","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","6","정제수","갈색설탕","계피","생강","대추","감초","","","","","","뿌리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3189","품목보고번호20090517030114","업소명쿱푸드시스템 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명수정과","분류식품","업체명","쿱푸드시스템 주식회사","소재지","전라남도 구례군 용방면 용산로 107-74","1","2","3","4","5","6","정제수","설탕","생강","계피","곶감","기타가공품","해양심층수","유기","","","","감초농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3188","품목보고번호20100528066175","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명수정과","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6","계피","설탕","생강","곶감","건대추","정제수","","흑설탕","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3187","품목보고번호20170209425107","업소명(주)화미","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명수정과엑기스","분류식품","업체명","(주)화미","소재지","인천광역시 서구 열우물로 221(A동 1층일부, B동1층,3층 가좌동)","1","2","3","4","5","6","백설탕","정제수","기타과당","기타가공품","식품첨가물혼합제제","카라멜색소","","","과당","계피농축액분말","계피향","카라멜색소","7","8","아세설팜칼륨","천연착향료(Ginger)","","생강에센셜오일",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3186","품목보고번호2008033218029","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명수제 원할머니 전통식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)고형분5%,정제수95%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3185","품목보고번호19780614001329","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명수출용 레쓰비 초키","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","백설탕","코코아분말","혼합탈지분유","sunsoft super V-230","자당지방산에스테르","탄산수소나트륨",NA,NA,NA,NA,NA,NA,"7","8","후레쉬밀크향","초콜릿 향",NA,NA,"9","정제수",NA,NA,NA,NA,NA,NA,NA
"7","번호3184","품목보고번호19710570001222","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명수출용 모메존알로에","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","알로에베라겔즙","알로에베라겔분말","백설탕","구연산","젖산칼슘","비타민C","","","","","","","7","8","젤란검","구연산삼나트륨","","","9","산그린LT","","10","11","정제수","포도향","","합성착향료"
"8","번호3183","품목보고번호19780614001207","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔: 24개월, PACK:6개월","제품명수출용 사과드링크","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","사과청징농축액","액상과당","효소처리스테비아","구연산(함수)","구연산삼나트륨","비타민C",NA,NA,NA,NA,NA,NA,"7","8","향료1","향료2",NA,NA,"9","정제수",NA,NA,NA,NA,NA,NA,NA
"9","번호3182","품목보고번호20000360372120","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명수출용 이프로부족할때 레몬에이드","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","레몬청징농축액","백설탕","구연산","구연산삼나트륨","효소처리루틴","레몬향1(0GAWA R-27573)",NA,NA,NA,NA,NA,NA,"7","8","레몬향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3181","품목보고번호19710570001215","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한제조일로부터36개월","제품명수출용삼미알로에(오리지날)","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6","알로에베라잎(껍질제외)","정제수","백설탕","구연산","구연산삼나트륨","젖산칼슘",NA,NA,NA,NA,NA,NA,"7","8","젤란검","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
