"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","번호19","성분 및 원료18","성분 및 원료19","비고18","비고19"
"1","번호2793","품목보고번호20010515081480","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 2일 (냉장 10℃이하 보관)","제품명아몬드추출액","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","정제수","아몬드페이스트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2792","품목보고번호19760263004118","업소명(주)동원F&B수원공장","품목유형혼합음료","유통/소비기한제조일로부터 48시간","제품명아몬드추출액","분류식품","업체명","(주)동원F&B수원공장","소재지","경기도 수원시 장안구 천천로210번길 21-15(이목동)","1","2","정제수","아몬드페이스트",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2791","품목보고번호19890449002191","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일로부터 24시간","제품명아몬드추출액","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","아몬드페이스트","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2790","품목보고번호201301563869","업소명엠에스글로벌바이오 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명아미나아 후코이단","분류식품","업체명","엠에스글로벌바이오 주식회사","소재지","부산광역시 기장군 일광읍 횡계길 7(기업설비지원동 B103호 해양생물산업육성센터)","1","2","오카무라큰실말","차가버섯추출물분말","(남태평양, 통가산)","(러시아산)","3","4","5","6","7","8","노루궁뎅이버섯추출물","이소말토올리고당","구연산","아로니아농축액","Red grape농축액","안식향산나트륨","","","함수구연산","","적포도농축액","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2789","품목보고번호2013015638640","업소명엠에스글로벌바이오 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명아미나아 후코이단 골드","분류식품","업체명","엠에스글로벌바이오 주식회사","소재지","부산광역시 기장군 일광읍 횡계길 7(기업설비지원동 B103호 해양생물산업육성센터)","1","2","오카무라큰실말","차가버섯추출물분말","(남태평양, 통가산)","(러시아산)","3","4","5","6","7","8","노루궁뎅이버섯추출액","이소말토올리고당","구연산","아로니아농축액","Red grape농축액","석류농축액","","","함수구연산","(폴란드산)","(칠레산)","(스페인산)","9","10","안식향산나트륨","강황추출물분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2788","품목보고번호20060396013184","업소명주식회사 대웅생명과학","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아미노 포도당 에너지업","분류식품","업체명","주식회사 대웅생명과학","소재지","강원도 영월군 북면 밤재로 425","1","2","분말결정포도당","블루베리농축액","함수결정포도당","","3","4","5","6","7","8","블루베리향","타우린","구연산","베리혼합농축액","비타민C","비타민B1염산염","합성향료","","","와일드베리(뉴트리푸드 와일드베리R)","","","9","10","비타민B2","비타민B6염산염","","","11","12","13","14","15","16","17","니코틴산아미드","아미노산혼합제제","L-카르니틴","L-아르지닌","L-글루타민","정제수","판토텐산칼슘","","L-페닐알라닌, L-로이신, L-메티오닌, L-라이신염산염, 팔라티노스, L-이소로이신, L-발린,L-히스티딘, L-트레오닌, L-트립토판","","","","","",NA,NA,NA,NA,NA,NA
"7","번호2787","품목보고번호19970464172253","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명아미노-B","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","액상과당","사과농축액","","","3","4","5","6","7","8","구연산","타우린","오렌지향","구연산삼나트륨","혼합제제","DL-사과산","","","g1756a","","아미노믹스","","9","10","비타민C","이노시톨","","","11","12","13","14","15","16","17","효소처리스테비아","혼합제제","니코틴산아미드","마카추출분말","판토텐산칼슘","비타민B1염산염","비타민B6염산염","","트로피칼후르츠향 13335","","","","","","18","19","비타민B2","정제수","",""
"8","번호2786","품목보고번호19970464172476","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명아미노-B골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","액상과당","사과농축액","","","3","4","5","6","7","8","구연산","타우린","오렌지향","구연산삼나트륨","혼합제제","DL-사과산","","","g1756a","","아미노믹스","","9","10","비타민C","이노시톨","","","11","12","13","14","15","16","17","효소처리스테비아","혼합제제","니코틴산아미드","마카추출분말","판토텐산칼슘","비타민B1염산염","비타민B6염산염","","트로피칼후르츠향 13335","","마카분말","","","","18","19","비타민B2","정제수","",""
"9","번호2785","품목보고번호19890445014277","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명아미노골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","액상과당","사과즙",NA,NA,"3","4","5",NA,NA,NA,"구연산","비타민B2","아미노믹스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2784","품목보고번호19860443015357","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한18개월","제품명아미노샷","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","자일리톨","","","3","4","5","6","7","8","글리신","블루베리농축액","구연산","믹스베리향","아미노산혼합제제","L-아르지닌","Glycine","","무수구연산","합성향료","필수아미노산8종혼합제제","","9","10","아미노산혼합제제","황금혼합추출물","아미노액티브BCAA, BCAA","복합황금추출물","11",NA,NA,NA,NA,NA,NA,"효소처리스테비아",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
