"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호3330","품목보고번호2007055507121","업소명주식회사동남메딕스","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명석류플러스 (수출용)","분류식품","업체명","주식회사동남메딕스","소재지","경상북도 영천시 유봉길 20(오수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","액상과당","구연산","스테비텐","구연산삼나트륨","안식향산나트륨","레드칼라L","말토덱스트린","석류농축액","사과즙","석류향","DL-사과산","삭카린나트륨","정제수","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3329","품목보고번호202103789441","업소명선도식품","품목유형혼합음료","유통/소비기한제조일로부터 1년(냉동)","제품명선도전통식혜","분류식품","업체명","선도식품","소재지","경기도 김포시 고촌읍 상미로9번길 31","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","정제수","멥쌀","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","국내산","수입산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3328","품목보고번호2017022706735","업소명셀리나(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명선샤인 글루타치온 10X","분류식품","업체명","셀리나(주)","소재지","광주광역시 광산구 평동산단3번로 85(1층 용동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","석류농축액","비타민C","효모추출물","L-시스테인염산염","생선콜라겐펩타이드","엘라스틴가수분해물","합성향료","수크랄로스","비오틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3327","품목보고번호198506140552645","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명선셋골드 프리미엄 깔라만시","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","음료베이스","음료베이스","백설탕","식품첨가물혼합제제","구연산","펙틴","구연산삼나트륨","비타민C","천연카로틴",NA,NA,NA,NA,"","칼라만시 골드 스윗트","선셋골드 칼라만시 레몬","","칼라만시향 엠에프-170218","","펙틴JMJ","","","천연카로틴-엘",NA,NA,NA,NA
"5","번호3326","품목보고번호2008056307421","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명선운산 복분자 골드","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"복분자농축액","사과농축액","액상과당","구연산","구연산삼나트륨","안식향산나트륨","효소처리스테비아","레드칼라L500","카라멜","DL-사과산","복분자향","글리신","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3325","품목보고번호202103731444","업소명(주)채일푸드","품목유형혼합음료","유통/소비기한12개월","제품명설레임단호박식혜","분류식품","업체명","(주)채일푸드","소재지","경기도 파주시 운정2길 45-5(가, 나동 상지석동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","단호박레진","설탕","맥아","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3324","품목보고번호20060368214118","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명설레임레드비트식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","레드비트분말","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","정백당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3323","품목보고번호20060368214119","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터6개월(냉동보관)","제품명설레임수정과","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"계피","건생강","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3322","품목보고번호202103731443","업소명(주)채일푸드","품목유형혼합음료","유통/소비기한12개월","제품명설레임식혜","분류식품","업체명","(주)채일푸드","소재지","경기도 파주시 운정2길 45-5(가, 나동 상지석동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","맥아","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3321","품목보고번호20060368214116","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명설레임식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","정백당","겉보리(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
