"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호3907","품목보고번호19830242017135","업소명주식회사 광야식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명복분자믹스","분류식품","업체명","주식회사 광야식품","소재지","대전광역시 대덕구 신탄진로738번길 136(신탄진동, 231-1)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","액상과당","이소말토올리고당","감식초","발효식초","복분자농축액","사과농축액","구연산","백설탕","오미자추출액","딸기향","DL-사과산","스테비안45에스","레드색소","구연산삼나트륨","비타민C","카라멜색소","자몽종자추출물","정제소금","사카린나트륨","","","","","현미식초","","","","","","","","","HI-레드1","","","","","",""
"2","번호3906","품목보고번호2010052806653","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 1년","제품명복분자식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자발효액","엿기름당화액","정제수","백설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3905","품목보고번호20170209425106","업소명(주)화미","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복분자엑기스","분류식품","업체명","(주)화미","소재지","인천광역시 서구 열우물로 221(A동 1층일부, B동1층,3층 가좌동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,"설탕","정제수","기타과당","소스류","구연산","DL-사과산","소스류","식품첨가물혼합제제","카라멜색소","비타민C","아세설팜칼륨","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","","","사과농축액/미광푸드","","DL-사과산","복분자농축액SR-24320/새롬B&F","복분자향#S-29023/조은푸드텍","","","","에스엠레드(SMRED)/두비산업",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3904","품목보고번호19980355336322","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한24개월","제품명복분자진액","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복분자추출액","정제수","이소말토올리고당","복분자향","구연산","적양배추색소","효소처리스테비아","안식향산나트륨","DL-사과산","구연산상나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3903","품목보고번호201502944981","업소명복사골 진광산업","품목유형혼합음료","유통/소비기한90일(냉동)","제품명복사골할매식혜","분류식품","업체명","복사골 진광산업","소재지","경기도 부천시 고강로72번길 29(지하층 고강동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름당화액","백설탕","엿기름","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3902","품목보고번호20110618121169","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명복숭 복숭해","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"설탕","액상과당","효소처리스테비아","구연산","합성향료","코치닐레드색소","자색고구마색소","복숭아농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정백당","f-55","","","복숭아향","","","68Brix","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3901","품목보고번호19930571069302","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한24개12","제품명복숭아 녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,"녹차농축액","복숭아농축액","백설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","락색소","복숭아향","녹차향","정제수","말토덱스트린혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","말도덱스트린",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3900","품목보고번호201703580235","업소명꿈꾸는 유니팜","품목유형혼합음료","유통/소비기한제조일로 부터3개월","제품명복숭아 식헤","분류식품","업체명","꿈꾸는 유니팜","소재지","경기도 이천시 장호원읍 복숭아로 16-3","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"해양심층수원수","복숭아","정제수","엿기름","쌀","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","EARIY-blooming genti","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3899","품목보고번호20000614238350","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명복숭아 아이스티","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,"복숭아농축액","홍차추출분말","설탕","구연산","비타민C","향료","향료","향료","수크랄로스","아세설팜칼륨","혼합제제","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","정제수, 규소수지, 글리세린지방산에스테르,소르비탄지방산에스테르,카르복시메틸셀룰로오스나트륨","",NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3898","품목보고번호19890445014747","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명복숭아 아이스티","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"복숭아농축액","홍차추출분말","백설탕","과당옥수수시럽","구연산","구연산삼나트륨","비타민C","효소처리스테비아","복숭아향","홍차향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"68Bx, 이스라엘산","홍차 100%,칠레산","정백당","액상과당","산도조절제","산도조절제","","","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA
