"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호5102","품목보고번호20130628019105","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명닥터송 제주용암수","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5101","품목보고번호20040275056706","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명닥터스픽","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","정제수","프락토올리고당","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","L-아르지닌","구연산","과.채가공품","석류농축액","레몬농축액","딸기농축액","비타민C","L-카르니틴","레몬향","오렌지향","효소처리스테비아","서양자두농축액","타우린","펙틴","L-글루타민","기타가공품","마카추출분말","비타민미네랄혼합제제","5종혼합유산균","아르기닌","함수구연산","블러드오렌지농축액","","","","","","혼합제제","혼합제제","","푸룬농축액","","","","복합황금추출물","","비타민미네랄믹스",""
"3","번호5100","품목보고번호201902407641","업소명태오바이오","품목유형혼합음료","유통/소비기한24개월","제품명닥터에너지","분류식품","업체명","태오바이오","소재지","대전광역시 서구 도산로 145(1층일부 도마동)","1","2","인삼열매","헛개나무분말",NA,NA,"3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"감귤분말","개똥쑥잎","석창포뿌리줄기","쇠비름줄기","비수리","인삼열매추출농축액","고추엑기스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5099","품목보고번호20200401439130","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명닥터엠 당N","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","정제수","바나바잎 추출물(고시형)","물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5098","품목보고번호20080395120650","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명닥터엠 당N","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","정제수","바나바잎 추출물(고시형)","물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5097","품목보고번호20110084489489","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명닥터원 비움 솔루션","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","정제수","자일리톨","","","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"당류가공품","과.채가공품","레몬농축액","D-소비톨","만니톨","난소화성말토덱스트린(고시형)","아라비아검(고시형)","청포도향","기타가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,"락추로스시럽","샤인머스켓혼합농축액","","","","","유기농 아카시아식이섬유","혼합제제","식물성유산균사균체","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5096","품목보고번호20070443110464","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명닥터유 드링크 단백질 바나나맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","기타가공품","설탕","단백질 믹스 M","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","기타과당","당류가공품","탈지분유","전지분유","자당지방산에스테르","글리세린지방산에스테르","과.채가공품","카복시메틸셀룰로스나트륨","카라기난","젤란검","정제소금","탄산수소나트륨","향료","향료제제","혼합제제","합성향료","기타가공품","향료제제","정제수","","골든시럽-","","","S-","","바나나퓨레","FH-","-356","","","","바나나향 -34","바나나향 -70","밀크향 K-","밀크향 J-","밀크부스터","센스 캡쳐 엠에스 듀얼",""
"8","번호5095","품목보고번호20070443110463","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명닥터유 드링크 단백질 초코맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","기타가공품","설탕","단백질 믹스 M","","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,"기타과당","탈지분유","전지분유","코코아분말","자당지방산에스테르","글리세린지방산에스테르","혼합제제","카라기난","혼합제제","혼합제제","향료제제","정제수",NA,NA,NA,NA,NA,NA,NA,"","","","코코아파우더(-112)","","","비바퍼 엠시지611 에프","","초콜렛향 -817","초콜릿향 -21","센스 캡쳐 엠에스 듀얼","",NA,NA,NA,NA,NA,NA,NA
"9","번호5094","품목보고번호20200401439158","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명닥터유 프로 단백질 드링크 바나나","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","정제수","분리유단백","","","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,NA,NA,"분리대두단백","완두단백","탈지분유","알룰로오스","전지분유","바나나퓌레","아세설팜칼륨","수크랄로스","자당지방산에스테르","카복시메틸셀룰로스나트륨","젤란검","기타가공품","향료제제","합성향료","합성향료",NA,NA,NA,NA,"","","","","","","","","","","","","밀크향","바나나향","바나나향",NA,NA,NA,NA
"10","번호5093","품목보고번호2020040143991","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명닥터유 프로 단백질 드링크 초코","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","분리유단백","분리유단백","프랑스산","스페인산","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,"알룰로오스","코코아분말","옥수수기름(옥배유)","혼합제제","L-카르니틴","자당지방산에스테르","향료제제","향료","향료","혼합제제","기타가공품","탄산수소나트륨","정제소금","카라기난","젤란검","아세설팜칼륨","수크랄로스","정제수",NA,"","","","BCAA(L-로이신, L-발린, L-이소로이신","","","향료, 효모, 코코아분말","","","정제수, 전지분유, 유크림, 향료, 효소, 잔탄검","","","","","","","","",NA
