"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호5712","품목보고번호201200804762","업소명(주)엘피티사이언스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명간편안타","분류식품","업체명","(주)엘피티사이언스","소재지","서울특별시 구로구 디지털로31길 41(810호 구로동, 이앤씨벤처드림타워6차)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","진피추출물","계피농축추출물","건강추출물","박하추출물","스테비아추출물","농축사과과즙","액상과당","구연산","비타민C혼합분말","니코틴산아미드","안식향산나트륨","녹차추출액","헛개나무추출물","자몽추출몰","백설탕","탄산나트륨","탄산칼륨(무수)","정제수","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5711","품목보고번호19950433026614","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명간편하게 마시는 스위트콘","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"옥수수맛분말","설탕","옥수수가루","변성전분","식염","분말유크림","탈지분유분말","치즈혼합분말","L-글루탐산나트륨","카로틴","버터향","정제수","옥수수냉동",NA,NA,NA,NA,NA,NA,"콘스프맛시즈닝","","조제스위트콘파우더","","","","","","","YC-180001","HF-AH24700","","",NA,NA,NA,NA,NA,NA
"3","번호5710","품목보고번호19970464172523","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명간편한 내일 간만세 DRINK(드링크)","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,"기타과당","헛개나무열매농축액","감식초","사과농축액","배농축액","밀크씨슬추출물","울금추출물분말","아미노산혼합분말","DL-사과산","니코틴산아미드","비타민B2","패션후르츠향","비타민B1염산염","정제수",NA,NA,NA,NA,NA,"","","감발효식초","","","","","","","","","","","",NA,NA,NA,NA,NA
"4","번호5709","품목보고번호19970443044311","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명간편한 아침","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,"정제수","결정과당","이소말토올리고당","오렌지농축액","밀크씨슬추출물","천연카로틴","적양배추색소","합성향료","정제소금","홍삼농축액","비타민 B1염산염(고시형)","비타민B6혼합제제",NA,NA,NA,NA,NA,NA,NA,"","","","","밀크씨슬추출물 에스","천연카로틴-엘","","후르츠칵테일향","정제염","","비타민B1","비타민B6염산염",NA,NA,NA,NA,NA,NA,NA
"5","번호5708","품목보고번호19970443044409","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명간편한 아침 플러스","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"정제수","결정과당","이소말토올리고당","오렌지농축액","밀크씨슬추출물","헛개나무열매추출농축액","감귤농축액","맥아추출액","향료","정제소금","홍삼농축액","비타민B1염산염","비타민B6염산염",NA,NA,NA,NA,NA,NA,"","","","","밀크씨슬추출물 에스","","미숙감귤추출농축액","맥아추출물","후르츠칵테일향","정제염","","","",NA,NA,NA,NA,NA,NA
"6","번호5707","품목보고번호198804420041743","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한18개월","제품명간편한진","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","배농축액","과.채가공품","기타가공품","프락토올리고당","타우린","HK표고버섯균사체(기능성원료인정제2010-35호)","기타가공품","니코틴산아미드","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","배농축액","열대과일혼합농축액","아스파라거스혼합발효즙","","","","수용성커큐민","","흑후추추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5706","품목보고번호19970464172540","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명간편해","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"식물혼합추출농축액","비타민B1염산염","비타민B6염산염","비타민B2","타우린","글리신","기타과당","설탕","효소처리스테비아","DL-사과산","헛개나무열매농축액","대추농축액","구연산","구연산삼나트륨","혼합과일향","드링크향","정제소금","정제수",NA,"품목보고번호: 20190498192-1","","","","","","","","","","","","","","","","","",NA
"8","번호5705","품목보고번호20070440079187","업소명(주)다원","품목유형혼합음료","유통/소비기한12개월","제품명갈아만든 레몬","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,"백설탕","당류가공품","레몬농축액","사양벌꿀","구연산","젖산칼슘","비타민C","구연산삼나트륨","젤란검","홍화황색소","수크랄로스","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,"","레몬당절임","이스라엘산","","","","","","","","","레몬향","허니향","",NA,NA,NA,NA,NA
"9","번호5704","품목보고번호20070440079164","업소명(주)다원","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명갈아만든 유자","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,"유자청","백설탕","유자청징농축액","사양벌꿀","구연산","비타민C","구연산삼나트륨","젖산칼슘","젤란검","홍화황색소","수크랄로스","벌꿀향","유자향","정제수",NA,NA,NA,NA,NA,"국산","","50Brix, 국산","국산","","","","","","","","","","",NA,NA,NA,NA,NA
"10","번호5703","품목보고번호20070440079202","업소명(주)다원","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명갈아만든 자몽","분류식품","업체명","(주)다원","소재지","충청북도 옥천군 청산면 인정1길 65","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"백설탕","자몽당절임","레드자몽농축액","구연산","사양벌꿀","젖산칼슘","비타민C","구연산삼나트륨","젤란검","혼합제제","수크랄로스","자몽향","정제수",NA,NA,NA,NA,NA,NA,"","","","","","","","","","레드파우더#1","","","",NA,NA,NA,NA,NA,NA
