"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호5212","품목보고번호19970464172342","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명녹용보","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","기타과당","녹용추출액","감초농축액","대추농축액","지황농축액","천궁농축액","중국당귀농축물","카라멜색소","구연산","구연산삼나트륨","효소처리스테비아","잔탄검","합성향료","L-아르지닌","정제수","","사용부위:약간 골질화된 어린 뿔","","","숙지황농축액","사용부위:뿌리줄기","당귀농축액","","","","","","한방향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5211","품목보고번호2014060761428","업소명한보D&F","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명녹용사물","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","녹용","참당귀","가시오가피숙지황 복합추출물","작약","천궁","감초","사철쑥","익모초","정제수","액상과당","대추엑기스","구연산","허브향","STEVIOSIDE 스테비오사이드","비타민 B1라우릴황산염(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","17","18","비타민 C(고시형)","구연산삼나트륨","정제염수",NA,NA,NA
"3","번호5210","품목보고번호19970443044337","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명녹용원 발효진액","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"녹용혼합추출액","기타과당","식물혼합추출농축액","식물혼합추출농축액","맥아","구연산","녹용발효추출분말",NA,NA,NA,NA,NA,NA,NA,NA,"고형분 3.5%이상","","식물혼합추출농축액D","식물혼합추출농축액C","맥아추출물","함수구연산","발효녹용추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5209","품목보고번호19970443044406","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명녹용진 에센스 마일드 스틱","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"덱스트린","난소화성말토덱스트린분말(고시형)","식물혼합추출농축액","허브추출물","구연산","녹용발효추출분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"말토덱스트린 DE18","","식물혼합추출농축액D","복합허브추출물E","함수구연산","발효녹용추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5208","품목보고번호19860443015585","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명녹용진 에센스 앰플","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"이소말토올리고당","난소화성말토덱스트린(고시형)","식물혼합농축액","프락토올리고당","사양벌꿀","대추농축액","맥아추출액","기타가공품","DL-사과산","녹용추출분말","구연산삼나트륨","나한과추출물분말","정제수",NA,NA,"이소말토올리고당M200","","식물혼합농축액D","프락토올리고당F250","","","맥아추출물","복합허브추출물E","","발효녹용추출분말","","나한과추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5207","품목보고번호19890445014382","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명녹용천마","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"녹용추출","식물혼합","추추물","액상과당","돼지태반가수분해물","구연산","폴리텍스트로스","카르복시메틸셀룰로오스나트륨","안식향산나트륨","마향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5206","품목보고번호19890445014732","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36개월","제품명녹용톤골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"홍삼혼합추출 농축액","녹용추출액","액상과당","이소말토올리고당","구연산","카라멜색소비에이","카복시메틸셀룰로스나트륨","안식향산나트륨","비타민B2혼합제제","인삼향","정제수",NA,NA,NA,NA,"6년근홍삼혼합추출액","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5205","품목보고번호2017014715512","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명녹용프리미엄골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"녹용농축액","쌍화농축액","정제수","액상과당","대추엑기스","쌍화향","STEVIOSIDE 스테비오사이드","안식향산","사카린나트륨","구연산삼나트륨","정제염수","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5204","품목보고번호19890445014741","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명녹용헛개","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,"식물혼합추출액","정제수","녹용추출액","기타과당","카르복시메틸셀룰로오스나트륨","구연산","타우린","효소처리스테비아","L-아스파라긴","안식향산나트륨","비타민B2","비타민B6염산염",NA,NA,NA,"헛개혼합추출액","","고형분 0.02% 이상","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5203","품목보고번호20190391582151","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명녹용혼합액","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"정제수","배농축액","프락토올리고당","식물혼합농축액","녹용추출액","녹용추출액","잔탄검","맥아추출액","인산","기타가공품","과.채가공품","기타가공품","기타가공품","기타가공품",NA,"","","","LJG컴파운드305","녹용추출액 분골상대","녹용추출액 중하대","","","","오미자농축분말","복분자추출분말","산사자추출분말","복합황금추출물","복합허브추출물C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
