"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고5","비고6","비고7","번호8","번호9","성분 및 원료8","성분 및 원료9","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12"
"1","번호5232","품목보고번호2016049217210","업소명주식회사 네츄럴그린","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명네츄럴 백수오 진액","분류식품","업체명","주식회사 네츄럴그린","소재지","전라북도 남원시 시묘길 89-17(노암동)","1","2","3","4","하수오혼합","프락토올리고당","구연산","카라멜색소","백수오혼합추출액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5231","품목보고번호20170614111243","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명네츄럴타트체리콜라겐","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","체리농축액","생선콜라겐분말","로커스트콩검","카라기난","타트체리과즙100%(고형분13%이상)","","","","5","6","7","타마린드검","잔탄검","분말한천(고시형)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5230","품목보고번호19890445014636","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명6년근 고려홍삼영지정 프리미엄 골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","홍삼농축액","영지농축액","사철쑥농축액","태웅",NA,NA,NA,NA,"5","6","7","쌍화농축액","저당","말토덱스트린",NA,NA,NA,"8","9","카라멜색소","합성보존료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5229","품목보고번호2019047315554","업소명동진바이오농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명6년근 고려홍삼정 데일리 젤리스틱","분류식품","업체명","동진바이오농업회사법인(주)","소재지","충청남도 금산군 부리면 신촌길 164","1","2","3","4","홍삼향","효소처리스테비아","구연산","기타가공품","","","","MJS-92500","5","6","7","액상과당","홍삼청","홍삼추출액","","20010467001-129","6년근, 고형분2%,사포닌2mg/g","8","9","생선콜라겐펩타이드","정제수","피쉬콜라겐펩타이드(1,000Da)","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5228","품목보고번호19970464172372","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명6년근 홍삼골드","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","정제수","기타과당","홍삼농축액","대추농축액","","","6년근","","5","6","7","감초농축액","계피농축액","구연산","","","","8","9","구연산삼나트륨","카라멜색소","","","10","11","12","홍삼향","지황농축액","참당귀농축액","합성향료","숙지황농축액","당귀농축액"
"6","번호5227","품목보고번호2016049203811","업소명주식회사 고려인삼제조","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명6년근 홍삼담은 생녹용보위 진액","분류식품","업체명","주식회사 고려인삼제조","소재지","전라북도 남원시 광치산업2길 15(용정동)","1","2","3","4","홍삼추출액","생녹용","식물혼합추출액","프락토올리고당","6년근국산(사포닌함량70미리그램/그램)","국산(추출액)","국산/수입산","","5","6","7","벌꿀","홍삼향","잔탄검","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5226","품목보고번호19890445014772","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36개월","제품명6년근고려진홍삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","홍삼혼합추출액","액상과당","이소말토올리고당","카르복시메틸셀룰로오스나트륨","","","","섬유소글리콜산나트륨","5","6","7","구연산","안식향산나트륨","혼합제제","","","홍삼향","8",NA,"정제수",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5225","품목보고번호19890445014475","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한36월","제품명6년근고려진홍삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","홍삼혼합추출액","액상과당","이소말토올리고당","카라멜색소비에이","(고형분 2.0%이상)","기타과당","","","5","6","7","카르복시메틸셀룰로오스나트륨","구연산","인삼향","","","합성착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5224","품목보고번호2008056307414","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명6년근고려홍삼","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","홍삼추출액","식물성추출액","액상과당","구연산",NA,NA,NA,NA,"5","6","7","홍삼향","비타민C","비타민-B1",NA,NA,NA,"8","9","말토덱스트린","자몽종자추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5223","품목보고번호2008038390482","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한24개월","제품명6년홍삼드링크","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","6년근홍삼농축액","눈꽃동충하초농축액","영지농축액","당귀농축액",NA,NA,NA,NA,"5","6","7","칡뿌리농축액","대추농축액","사철쑥농축액",NA,NA,NA,"8","9","카라멜","액상과당",NA,NA,"10","11",NA,"안식향산나트륨","정제수",NA,NA,NA,NA
