"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호1843","품목보고번호2004029450111","업소명미산식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월(냉동), 3일(냉장)","제품명음미혜","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","3","4","5","엿기름","정제수","멥쌀","백설탕","커피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1842","품목보고번호2004029450112","업소명미산식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월(냉동), 5일(냉장)","제품명음미혜식혜","분류식품","업체명","미산식품","소재지","경기도 부천시 부천로264번길 31(1층 도당동)","1","2","3","4",NA,"엿기름","정제수","멥쌀","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1841","품목보고번호2004046721338","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명의성흑마늘농축진액","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","5","흑마늘추출액","지황포제가공한뿌리","대추","덱스트린","저당",NA,NA,NA,NA,NA,"6","7","8","9","10","고과당","박하","D-소르비톨","타우린","DL-사과산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1840","품목보고번호2004046721337","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한2년","제품명의성흑마늘농축진액겔","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","5","흑마늘추출액","지황포제가공한뿌리","덱스트린","저당","D-소르비톨",NA,NA,NA,NA,NA,"6","7","8","9","10","올리고당","홍삼","생로얄젤리","산탄껌","비타민C",NA,NA,NA,NA,NA,"11","녹용",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1839","품목보고번호20110618121163","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명이거타 복숭아","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","백설탕","양파껍질추출물","복숭아농축액","복숭아향분말","혼합허브추출물","","고형분 0.1%","","합성향료","복합허브추출물","6",NA,NA,NA,NA,"구연산",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1838","품목보고번호19860443015478","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이경제 더힘찬 옥타우루스","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","정제수","L-아르지닌","기타과당","구연산(무수)","γ-시클로덱스트린","","L-아르기닌","액상과당","구연산","","6","7","8","9","10","드링크향","효소처리스테비아","과라나추출물분말","타우린","글루콘산아연","합성향료","","과라나추출분말","","","11","황금혼합추출물","복합황금추출물","12","13","14","15","16","17","18","19","20","수크랄로스","혼합제제","호로파종자추출물(TestofenⓇ)(기능성원료인정제2019-15호)","남가새추출분말","기타가공품","비타민B2","니코틴산","L-글루타민","테아닌","","아미노액티브 BCAA","테스토펜","","블랙마카추출물","","나이아신","",""
"7","번호1837","품목보고번호19890401002241","업소명주식회사백천바이오텍(Biotech)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너 굿(Inner good)","분류식품","업체명","주식회사백천바이오텍(Biotech)","소재지","강원도 양구군 양구읍 학안로 78-12","1","2","3","4","5","정제수","알긴산나트륨","탄산칼슘","탄산수소나트륨","안식향산나트륨",NA,NA,NA,NA,NA,"6","7","8",NA,NA,"삭카린나트륨","카르복시메틸셀룰로오스나트륨","박하향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1836","품목보고번호20130415052202","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너 뷰 콤부차","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","정제수","기타발효음료","프락토올리고당","세븐베리농축액","난소화성말토덱스트린(고시형)","","콤부차발효액","","","","6","7","8","9","10","천연향료","천연향료","구연산","효소처리스테비아","비타민C","천연딸기향","천연레몬향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1835","품목보고번호20110149027324","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너밸런스 석류콜라겐 3000 위드 엘라스틴","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","스페인산, 65brix","베트남산","","","","6","7","8","9","10","타마린드검","카라기난","염화칼륨","히알루론산","엘라스틴","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1834","품목보고번호20110149027396","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명이너밸런스 콜라겐 프리미엄","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","석류농축액","생선콜라겐","오렌지농축액","오르니틴염산염","비타민C","스페인산, 65brix","베트남산","모로블러드오렌지, 이탈리아산","","","6","7","8","9","10","엘라스틴","L-시스테인염산염","로커스트콩검","잔탄검","분말한천(고시형)","","","","","","11","타마린드검","","12","13","14","15",NA,NA,NA,NA,NA,"카라기난","염화칼륨","히알루론산","비오틴",NA,NA,NA,NA,NA,"","","","",NA,NA,NA,NA,NA
