"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호791","품목보고번호2021055909225","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명트로피칼액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7","열대과일혼합농축액","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호790","품목보고번호2010018127981","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명트로피컬 리치 에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","정제수","리치농축","기타과당","백설탕","구연산","수크랄로스","정제소금","","","","","함수","","","8","9","10","11","잔탄검","아세설팜칼륨","리치향","시트러스향","","","","",NA,NA,NA
"3","번호789","품목보고번호2010018127982","업소명주식회사 프로엠홀딩스","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명트로피컬 애플망고 에이드","분류식품","업체명","주식회사 프로엠홀딩스","소재지","대구광역시 달서구 성서공단로 46-17(대천동,신기술산업지원센터 2동 10호지상2층)","1","2","3","4","5","6","7","정제수","기타과당","백설탕","망고퓌레","구연산","수크랄로스","정제소금","","","","(애플망고)","함수","","","8","9","10","11","잔탄검","아세설팜칼륨","망고향","식용색소황색제4호","","","","","12","식용색소황색제5호",""
"4","번호788","품목보고번호20090473152595","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명트로피컬리치에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","정제수","설탕","기타과당","구연산","과.채가공품","수크랄로스","정제소금","","","","","리치농축액","","","8","9","10","11","혼합제제","합성향료","잔탄검","아세설팜칼륨","시트러스향(SKB-1453)","리치향(W181465)","","",NA,NA,NA
"5","번호787","품목보고번호20090473152596","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 18개월","제품명트로피컬애플망고에이드","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6","7","정제수","기타과당","설탕","과.채가공품","합성향료","구연산","수크랄로스","","","","애플망고퓨레","망고향(W197071)","함수구연산","","8","9","10","11","정제소금","잔탄검","아세설팜칼륨","식용색소황색제4호","","","","","12","식용색소황색제5호",""
"6","번호786","품목보고번호2006036821413","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명트롯레드비트식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5",NA,NA,"정제수","백설탕","엿기름","레드비트분말","쌀",NA,NA,"","정백당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호785","품목보고번호2006036821414","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터6개월(냉동보관)","제품명트롯전통수정과","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,NA,NA,"계피","건생강","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호784","품목보고번호2006036821411","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명트롯전통식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,NA,NA,"정제수","백설탕","엿기름","쌀",NA,NA,NA,"","정백당","겉보리(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호783","품목보고번호2006036821412","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일부터12개월","제품명트롯호박식혜","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4","5",NA,NA,"정제수","백설탕","엿기름","쌀","호박가루",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호782","품목보고번호19970378043480","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명트루스킨 콜라겐 3000","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","5","6","7","정제수","프락토올리고당","생선콜라겐펩타이드","과.채가공품","구연산(무수)","히알루론산","기타가공품","","","저분자피쉬콜라겐펩타이드(300Da)","칸탈루프멜론주스농축액","","","엘라스틴","8","9","10",NA,"비타민C","합성향료","효소처리스테비아",NA,"","메론향","",NA,NA,NA,NA
