"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12"
"1","번호281","품목보고번호201001501441","업소명(주)제이알지코리아","품목유형혼합음료","유통/소비기한재조일로부터2년","제품명핵수(HEAK SU)","분류식품","업체명","(주)제이알지코리아","소재지","부산광역시 동래구 아시아드대로255번길 9(5층 온천동)","1","2","3","정제수","진주수용액","타우린0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호280","품목보고번호2022068312912","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명햄프씨드 카카오 드링크","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","정제수","올리고당","땅콩 또는 견과류가공품","","올리고당F250","햄프밀크 페이스트","4","5","6","7","8","9","10","코코아분말","코코아분말","두류가공품","정제소금","향료","향료","젤란검","코코아파우더 D-11-S","코코아D-11-EB","엠프로 이 86(완두단백)","","밀크향 SI220702","초코렛향 DC21009L","",NA,NA,NA,NA,NA,NA
"3","번호279","품목보고번호201402025507","업소명햇살깃든식혜","품목유형혼합음료","유통/소비기한2개월","제품명햇살깃든 공정무역 원두커피 식혜","분류식품","업체명","햇살깃든식혜","소재지","경기도 화성시 팔탄면 서근내길 52-10","1","2","3","쌀","엿기름","커피","백미","","동티모르산","4","5",NA,NA,NA,NA,NA,"설탕","정제수",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호278","품목보고번호20140395066124","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한60일(냉장 0~10이하℃) / 1년(냉동 -18℃이하)","제품명햇살담은  전통메밀식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","멥쌀","볶은메밀가루","엿기름","(유기농, 국내산)","(고형분기준, 국내산)","(국내산)","4","5",NA,NA,NA,NA,NA,"백설탕","정제수",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호277","품목보고번호20130275074108","업소명(주)에프비신영","품목유형혼합음료","유통/소비기한6개월 까지","제품명햇살비매실음료","분류식품","업체명","(주)에프비신영","소재지","강원도 횡성군 우천면 우천제2농공단지로 65-47(주에프비신영)","1","2","3","정제수","기타과당","음료베이스","","","매원","4","5","6","7","8",NA,NA,"설탕","사과농축액","매실농축액","구연산","비타민C",NA,NA,"","사과농축과즙","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호276","품목보고번호20130275074107","업소명(주)에프비신영","품목유형혼합음료","유통/소비기한6개월까지","제품명햇살비아로니아음료","분류식품","업체명","(주)에프비신영","소재지","강원도 횡성군 우천면 우천제2농공단지로 65-47(주에프비신영)","1","2","3","정제수","기타과당","과.채가공품","","","적포도농축액","4","5","6","7","8","9",NA,"설탕","아로니아농축액","구연산","합성향료","비타민C","비타민B1라우릴황산염",NA,"","","","아로니아향","","",NA,NA,NA,NA,NA,NA,NA
"7","번호275","품목보고번호1994046703638","업소명농업회사법인주식회사다원푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명햇초마을 오미자한모금","분류식품","업체명","농업회사법인주식회사다원푸드","소재지","충청남도 금산군 복수면 정장리길 42","1","2","3","발효식초","벌꿀","정제수","오미자원,설탕,효모로 천연발효","천연벌꿀","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호274","품목보고번호1994046703634","업소명농업회사법인주식회사다원푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명햇초마을 흑초 한모금","분류식품","업체명","농업회사법인주식회사다원푸드","소재지","충청남도 금산군 복수면 정장리길 42","1","2","3","발효식초","벌꿀","홍삼원액","1년이상 숙성된 현미식초","","고형분64%이상","4",NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호273","품목보고번호19930571069269","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명향긋하고 깔끔한 맛 복숭아녹차","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","녹차농축액","복숭아농축액","백설탕","","","","4","5","6","7","8","9","10","구연산","구연산삼나트륨","비타민C","수크랄로스","락색소","복숭아향","녹차향","","","","","","","","11","12","말토덱스트린혼합제제","정제수","말토덱스트린",""
"10","번호272","품목보고번호20110493072183","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월.","제품명향긋하고 깔끔한맛 복숭아녹차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","정제수","백설탕","덱스트린","","","","4","5","6","7","8","9","10","구연산","구연산삼나트륨","복숭아농축액","녹차농축액","비타민 C(고시형)","수크랄로스","락색소","산도조절제","산도조절제","이스라엘산, 68Brix","국내산","영양강화제","감미료","엘에이, 착색제","11","12","녹차향","복숭아향","#3, 합성향료","#1, 합성향료"
