"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호1863","품목보고번호2017014715533","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명유한M메가아르기닌5000","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","L-아르기닌(기능성원료인정제2015-19호)","타우린","비타민B2","판토텐산칼슘","아로니아추출물","생로얄젤리","대추야자농축액","구연산","효소처리스테비아","허브향","레몬향","비타민B1라우릴황산염","아연(고시형)","마카과립","과당","복분자농축액","구아검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1862","품목보고번호2017014715534","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명유한M파워쎈순아르기닌5000","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","L-아르기닌(기능성원료인정제2015-19호)","타우린","비타민B2","판토텐산칼슘","아로니아추출물","생로얄젤리","대추야자농축액","구연산","효소처리스테비아","허브향","레몬향","비타민B1라우릴황산염","마카과립","아연(고시형)","복분자농축액","과당","구아검","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1861","품목보고번호20020383603616","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명유한m YOU업 에디션","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"생선콜라겐펩타이드","석류농축액","액상과당","말티톨시럽","비타민C","합성향료","구연산(무수)","효소처리스테비아","히알루론산혼합제제","자몽종자추출물","기타가공품","N-아세틸글루코사민","엘라스틴가수분해물","비오틴","정제수",NA,NA,NA,"액상피쉬콜라겐펩타이드 500","","","","","믹스후르츠향","","","","","실크펩타이드","","","","",NA,NA,NA
"4","번호1860","품목보고번호20020383603619","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유한m 가네타치온맥스","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"이소말토올리고당","서양자두농축액","β-시클로덱스트린","효모추출물","블루베리향","세븐베리농축액","타우린","밀크씨슬추출물","효소처리스테비아","L-시스테인염산염","비타민C","DL-사과산","헛개나무열매추출농축액","구연산(무수)","자몽종자추출물","정제수",NA,NA,"","푸룬농축액","베타시클로덱스트린","글루타치온 50%","합성향료","","","밀크씨슬추출물 에스","","","","","","","","",NA,NA
"5","번호1859","품목보고번호20020383603589","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유한m 로얄 알부민액","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,"프락토올리고당","난백알부민","액상과당","사과농축액","돼지태반추출분말","기타가공품","구연산(무수)","DL-사과산","황금혼합추출물","잔탄검","과라나추출물분말","L-아르지닌","동결건조로얄젤리분말","정제수",NA,NA,NA,NA,"","난백알부민가수분해물","","","발효돈태반추출분말","실크펩타이드","","","복합황금추출물","","","","효소처리로얄젤리분말","",NA,NA,NA,NA
"6","번호1858","품목보고번호20020383603412","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유한m 로얄파워골드","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"프락토올리고당","사양벌꿀","사과농축액","대추농축액","로얄젤리분말","오자농축액","프로폴리스추출액","사과향","울금추출물분말","γ-시클로덱스트린","구연산(무수)","잔탄검","자몽종자추출물","화분추출물분말","정제수",NA,NA,NA,"","","","","엔자임티 로얄젤리펩타이드","","프로폴리스추출물","합성향료","울금추출분말","감마시클로덱스트린","","","","","",NA,NA,NA
"7","번호1857","품목보고번호20020383603411","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유한m 메가로얄골드포르테5000","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"프락토올리고당","사양벌꿀","사과농축액","대추농축액","로얄젤리분말","오자농축액","프로폴리스추출액","사과향","울금추출물분말","γ-시클로덱스트린","구연산(무수)","잔탄검","자몽종자추출물","화분추출물분말","정제수",NA,NA,NA,"","","","","엔자임티 로열젤리펩타이드","","프로폴리스 추출물","합성향료","울금추출분말","감마시클로덱스트린","","","","","",NA,NA,NA
"8","번호1856","품목보고번호20020383603623","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명유한m 시스타치온 맥스","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,"청포도농축액","프락토올리고당","비타민C","구연산삼나트륨","효모추출물","β-시클로덱스트린","청포도향","타우린","L-시스테인염산염","효소처리스테비아","DL-사과산","자몽종자추출물","정제수",NA,NA,NA,NA,NA,"","","","구연산나트륨","글루타치온 50%","베타시클로덱스트린","합성향료","","","","","","",NA,NA,NA,NA,NA
"9","번호1855","품목보고번호20020383603432","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명유한m 올업저분자콜라겐 15000","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,"생선콜라겐펩타이드","석류농축액","액상과당","시클로덱스트린","말티톨시럽","비타민C","합성향료","구연산(무수)","효소처리스테비아","히알루론산혼합제제","자몽종자추출물","기타가공품","N-아세틸글루코사민","비오틴","정제수",NA,NA,NA,"액상피쉬콜라겐펩타이드 500","","","","","","믹스후르츠향","","","","","실크펩타이드","","","",NA,NA,NA
"10","번호1854","품목보고번호20020383603433","업소명(주)팜텍코리아","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명유한m 저분자 생생美 콜라겐","분류식품","업체명","(주)팜텍코리아","소재지","강원도 원주시 문막읍 문막공단길 59","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,"생선콜라겐펩타이드","액상과당","석류농축액","시클로덱스트린","말티톨시럽","비타민C","합성향료","구연산(무수)","효소처리스테비아","L-시스테인염산염","DL-사과산","히알루론산혼합제제","자몽종자추출물","기타가공품","N-아세틸글루코사민","정제수",NA,NA,"액상피쉬콜라겐펩타이드 500","","","","","","믹스후르츠향","","","","","","","실크펩타이드","","",NA,NA
