"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호1177","품목보고번호20050355533210","업소명디웰푸드(DWell Food)","품목유형혼합음료","유통/소비기한36개월","제품명청파달팽이액기스","분류식품","업체명","디웰푸드(DWell Food)","소재지","경기도 파주시 평화로342번길 96(검산동,10동,11동,12동)","1","2","3","4","5","6","7","8","9","10","11","식용달팽이","식물혼합추출액","녹각","두충","생강","박하잎","영지버섯","칡뿌리","대추","산호","정제수","","","","","","","","갈근","","산호초","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1176","품목보고번호19930571069359","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명청포도 그린티","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","백포도농축액","녹차농축액","백설탕","구연산","구연산삼나트륨","비타민C","치자그린색소","수크랄로스","청포도향","녹차향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1175","품목보고번호201005430661087","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도 아이스티 제로","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","정제수","에리스리톨","홍차추출분말","백포도농축액","구연산","향료","향료","향료","구연산삼나트륨","비타민C","수크랄로스","","","칠레산/고형분 함량 97.7%","칠레산/배합함량:백포도100%","","청포도향1","홍차향","청포도향2","","","감미료","12","스테비올배당체","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1174","품목보고번호20000614238414","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도 에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","청포도농축액","레몬주스농축액","설탕","구연산","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","청포도향","식용색소황색제4호","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1173","품목보고번호20050555180645","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명청포도 에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10",NA,"설탕","백포도농축액","구연산","덱스트린","청포도향","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호","정제수",NA,"","스페인산","","말토덱스트린","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1172","품목보고번호2017055519514","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명청포도 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","백포도농축액","구연산","말토덱스트린혼합제제","청포도향","구연산삼나트륨","수크랄로스","식용색소황색제4호","식용색소청색제1호",NA,"","","스페인산","함수구연산","말토덱스트린","","구연산나트륨","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1171","품목보고번호20110618121170","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명청포도 포도해","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8",NA,NA,NA,"설탕","액상과당","효소처리스테비아","구연산","합성향료","그린색소","백포도농축액","정제수",NA,NA,NA,"정백당","f-55","","","청포도향","","68Brix","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1170","품목보고번호20000614238303","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명청포도라임에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","과.채가공품","청포도농축액","라임농축액","발효식초","설탕","구연산삼나트륨","구연산","비타민C","라임향","포도향","수크랄로스","레몬분쇄과즙농축액","","","2배사과식초","","","","","","","","12","아세설팜칼륨","","13","14","15","식용색소황색제4호","식용색소청색제1호","정제수","","",""
"9","번호1169","품목보고번호198506140552633","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명청포도사과에이드","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","정제수","액상과당","백설탕","덱스트린","과.채가공품","구연산","과.채가공품","식품첨가물혼합제제","식품첨가물혼합제제","구연산삼나트륨","비타민C","","","","","백포도주스농축액","","사과농축액(크리어)","사과향 엠에프-120183","청포도향 엠에프-170304","","","12","천연첨가물","홍화황색소-200","13","14",NA,"천연첨가물","수크랄로스",NA,"치자청색소-100","",NA
"10","번호1168","품목보고번호2021055909214","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명청포도액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,NA,NA,"청포도농축분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
