"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","번호18","성분 및 원료18","비고18"
"1","번호371","품목보고번호202003241477","업소명주식회사 잎슬엔케어","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이프로틴밀시니어단100","분류식품","업체명","주식회사 잎슬엔케어","소재지","경기도 평택시 안중읍 금곡3길 78-41(1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","카제인나트륨","유청단백분말","백설탕","난소화성말토덱스트린분말(고시형)","분리대두단백분말","볶은현미분말","노루궁뎅이버섯추출물분말","폴리인산나트륨","비타민미네랄혼합분말","구연산삼나트륨","수크랄로스","비타민E혼합제제분말","변성전분","자당지방산에스테르","식품첨가물혼합제제","합성향료","","","농축유청단백","","화이버솔-2","","","","주용도:산도조절제","비타민미네랄믹스-FS1","주용도:산패방지제","주용도:감미료","비타민E 500 BG","썬텐더","S-570","폼제로-530F","씨리얼향",NA,NA,NA
"2","번호370","품목보고번호202003241474","업소명주식회사 잎슬엔케어","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이프로틴스포츠단100","분류식품","업체명","주식회사 잎슬엔케어","소재지","경기도 평택시 안중읍 금곡3길 78-41(1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","유청단백분말","동결건조바나나분말","카제인나트륨","아미노산혼합제제","탈지분유분말","코코아분말","우유","잔탄검","카라기난","수크랄로스","폴리인산나트륨","구연산삼나트륨","탄산수소나트륨","자당지방산에스테르","합성향료","식품첨가물혼합제제","정제수","농축유청단백","","","","","","","주용도:증점제","아이오타카라기난","주용도:감미료","주용도:산도조절제","주용도:산패방지제","","S-570","바나나향","폼제로-530F","","18","비타민미네랄혼합제제","비타민미네랄믹스"
"3","번호369","품목보고번호2001043909843","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명하이플러스","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호368","품목보고번호201005430661012","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명하투 블루레몬에이드","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","구연산","레몬농축액","합성향료","구연산삼나트륨","합성향료","수크랄로스","메타인산나트륨","식용색소청색제1호",NA,NA,NA,NA,NA,NA,NA,"","","","배합함량 : 레몬 100%, 레몬과즙으로 환원기준 : 2%, 이스라엘산","레몬향","","시트러스향","감미료","","착색료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호367","품목보고번호2019008436425","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명하하칼슘","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호366","품목보고번호2008033218020","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한1년","제품명학예당 달금머금 1.5L (냉동)","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","대맥70%,소맥30%(정제수 혼합)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호365","품목보고번호2008033218019","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한해당없음.","제품명학예당 달금머금식혜 320ml 냉동","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","대맥70%,소맥30%(정제수 혼합)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호364","품목보고번호2008033218028","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명학예당 육전식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"쌀","설탕","맥아농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"국내산","","엿기름(국내대맥70%,미국소맥30%)4%,정제수96%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호363","품목보고번호2008033218012","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명학예당풍국식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"농축액(대맥70%국내산 / 소맥30% 미국산)고형분 5%,정제수95%","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호362","품목보고번호201104410298","업소명명성제약식품","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명한국 홍삼골드","분류식품","업체명","명성제약식품","소재지","충청북도 영동군 양강면 괴목산막로 185","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"홍삼농축액","액상과당","구연산","구연산삼나트륨","안식향산나트륨","삭카린나트륨","카라멜","허브향","정제수","대추농축액","수크랄로스","니코틴산아미드",NA,NA,NA,NA,NA,"","","","","합성보존료","합성감미료","","","","","합성감미료","",NA,NA,NA,NA,NA,NA,NA,NA
