"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15"
"1","번호771","품목보고번호20190575042113","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명튼튼한 리틀라이언 밀크맛","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","백설탕","폴리덱스트로스","탈지분유","젖산칼슘","두류가공품","구연산","구연산삼나트륨","비타민C","효소처리스테비아","요구르트향","정제수","","","","","","대두다당류","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호770","품목보고번호20190575042114","업소명튤립인터내셔널(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명튼튼한 리틀어피치 딸기맛","분류식품","업체명","튤립인터내셔널(주)","소재지","경상북도 예천군 보문면 산단길 13-3","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","백설탕","딸기농축액","폴리덱스트로스","탈지분유","젖산칼슘","두류가공품","구연산","구연산삼나트륨","비타민C","효소처리스테비아","딸기향","","","","","","","대두다당류","","","","","","13","정제수","",NA,NA,NA,NA,NA,NA
"3","번호769","품목보고번호19990555093363","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터      24 개월(2년)","제품명튼튼한 하루 UP","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11",NA,"식물혼합추출액","발효식초","액상과당","자두농축액","오디발효원액","사양벌꿀","자두향","구연산","칼슘(고시형)","효소처리스테비아","혼합허브추출물",NA,"","발효오디식초","","","오디청","","","","수용성칼슘","","복합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호768","품목보고번호2001046403898","업소명주식회사 하이세븐","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명티리산다우림녹차","분류식품","업체명","주식회사 하이세븐","소재지","충청남도 논산시 광석면 사계로 594-4","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","덖은녹차",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호767","품목보고번호200201832821070","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명티트라 샤인머스캣그린티","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"정제수","기타과당","설탕","침출차","혼합제제","구연산","펙틴","비타민C","침출차","백포도농축액",NA,NA,"","","","","청포도향","무수","","","샤인머스캣그린티","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호766","품목보고번호200201832821069","업소명(주)푸드웰","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명티트라 오렌지힐즈","분류식품","업체명","(주)푸드웰","소재지","대구광역시 달서구 성서서로 121(지하1층~지상3층 갈산동)","1","2","3","4","5","6","7","8","9","10","11",NA,"정제수","기타과당","설탕","침출차","구연산","혼합제제","천연향료","펙틴","비타민C","침출차","오렌지농축액",NA,"","","","","무수","홍차향","오렌지향","","","오렌지힐즈","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호765","품목보고번호2005007713124","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명파나센탑","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11","12","KHP피그태반액","자일리톨","마늘추출액","사과농축액","과라나추출물","올리고당","감초엑기스","피리톡신","시아민","산화아연","구연산","홍삼엑기스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","잔탄검",NA,"14","15","안식향산나트륨","정제수",NA,NA
"8","번호764","품목보고번호19990364004120","업소명블루원","품목유형혼합음료","유통/소비기한2년","제품명파나시아","분류식품","업체명","블루원","소재지","경기도 화성시 서신면 염전길 30-14(1동 1층,2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"몰약","감초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호763","품목보고번호20140395066119","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한60일(냉장 0~10이하℃) / 1년(냉동, -18℃이하)","제품명파르팜 유기농쌀식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"(유기농, 국내산)","(유기농, 국내산)","(유기농, 수입산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호762","품목보고번호20060445110695","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명파마젠 파워 아르지닌 5000","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","L-아르지닌","구연산","베리혼합농축액","프락토올리고당","천연블루베리향","타우린","효소처리스테비아","식품첨가물혼합제제","아미노산혼합분말","황금혼합추출물","산화아연","","","","","","","","","퍼플베리칼라","","","","13","마카추출분말","마카추출물분말(뿌리)","14","15","부추분말","수크랄로스","부추착즙액분말",""
