"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고17","비고18","비고19","비고20","비고21","비고22","번호23","성분 및 원료23","비고23"
"1","번호3490","품목보고번호20040275056804","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명살리 엣지핏","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","기타가공품","레몬농축액","과.채가공품","과.채가공품","기타 농산가공품","구아검","비타민 C(고시형)","팥농축분말","과.채가공품","식품첨가물혼합제제","","잎전용고추잎살리초수용액","","블러드오렌지농축액","셀러리추출분말","레몬밤추출물","","","","단호박농축분말","비타민미네랄믹스FS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3489","품목보고번호20110084489480","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼대오백 블랙마카 액상스틱 2000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","정제수","마카뿌리분말","대추야자농축액","사양벌꿀","오자농축액","참당귀농축액","비수리분말","고량강뿌리줄기추출분말","허니향","산수유농축액","잔탄검","","블랙마카분말","","","","당귀농축액","비수리농축분말","갈랑가(갈랑갈)추출물분말","천연향료/천연허니향","","","12","13","14","15","16","기타가공품","효소처리스테비아","글루콘산아연","녹용분말","흑마늘분말","복합황금추출물","","","녹용엑기스분말","흑마늘농축분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3488","품목보고번호20110084489351","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼대오백 아르기닌 6300","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","정제수","L-아르지닌","구연산","Red grape주스","레몬농축액","효소처리스테비아","세븐베리농축액","타우린","고량강뿌리줄기추출분말","아미드펙틴","향료","","","","적포도주스농축액","","","","","갈랑가(갈랑갈)추출물분말","","천연레몬향/천연향료","12","13","14","15","16","블루베리향","글루콘산아연","오르니틴염산염","L-카르니틴","기타가공품","혼합제제","","","","복합황금추출물","17","18","19","20","21","22","수박분말","비타민C","니코틴산아미드","비타민B1염산염","혼합제제","엽산","수박추출분말","","","","비타민 B12 0.1% 혼합제제","",NA,NA,NA
"4","번호3487","품목보고번호20110084489416","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼대오백 헬스부스터 프리워크아웃","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","정제수","Red grape농축액","세븐베리농축액","프락토올리고당","포도당","시클로덱스트린시럽","L-아르지닌","타우린","기타가공품","구연산","비타민C","","적포도주스농축액","","","함수결정포도당","","","","과라나추출분말","함수구연산","","12","13","14","15","16","효소처리스테비아","테아닌","기타가공품","마카뿌리추출물","비타민B1염산염","","L-테아닌","녹용엑기스분말","블랙마카추출물","","17","18","19","20","21","22","비타민B6염산염","혼합제제","판토텐산칼슘","엽산","니코틴산아미드","혼합제제","","","","","","","23","혼합제제",""
"5","번호3486","품목보고번호20040275056876","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명삼대오백 헬스부스터 프리워크아웃 프로 1","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","정제수","L-아르지닌","청포도농축액","구연산","타우린","레몬농축액","비타민C","효소처리스테비아","혼합제제","기타가공품","식품첨가물","","","","함수구연산","","","","","청포도향","수박과피추출물분말","테아닌","12","13","14","15",NA,"혼합제제","혼합제제","기타가공품","기타가공품",NA,"아이비씨에이에이","아미노믹스","블랙마카추출물","녹용추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3485","품목보고번호20020623009608","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명삼미 알로에베라 340ml","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔크러쉬","백설탕","구연산","구연산삼나트륨","젤란검","비타민C","젖산칼슘","수크랄로스","알로에향","포도향","정제수","알로에베라겔함유절편","","산도조절제","산도조절제","","영양강화제","영양강화제","합성감미료","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3484","품목보고번호19920624042625","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명삼미 알로에베라 340ml","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10",NA,"알로에베라잎(껍질제외)","백설탕","구연산","알로에향","젖산칼슘","구연산삼나트륨","비타민C","젤란검","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3483","품목보고번호19920624042624","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명삼미 코코포 340ml","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","코코넛젤리시럽","7.143BDD","백포도농축과즙","구연산","젖산칼슘","구연산삼나트륨","포도향","포도향","포도향","젤란검","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13",NA,NA,NA,"수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3482","품목보고번호2018049100878","업소명농업회사법인 주식회사 삼성농원","품목유형혼합음료","유통/소비기한제조년월일로 부터 12개월","제품명삼성농원 발효식혜","분류식품","업체명","농업회사법인 주식회사 삼성농원","소재지","전라북도 익산시 반월길 23(1층 월성동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,"쌀","정제수","Aspergillus oryzae","Aspergillus luchensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3481","품목보고번호19970464172139","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼성상황산삼배양근액","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","홍삼농축액","산삼배양근추출액","상황버섯추출액","대추농축액","숙지황농축액","당귀농축액","식물혼합농축액","계피농축액","액상과당","말토덱스트린","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","액상카라멜","황금복합추출물","효소처리스테비아","산삼향","정제수",NA,NA,NA,NA,NA,"17","18","19","20","21","22","식물혼합농축액","대추","감초","구기자나무열매","생강","계피",NA,NA,NA,NA,NA,NA,NA,NA,NA
