"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","성분 및 원료9","성분 및 원료10","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","성분 및 원료12","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호1713","품목보고번호19970378043573","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명일품 석류","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","5","6","7","8","액상차","기타과당","구연산(무수)","합성향료","혼합제제","수크랄로스","혼합제제","혼합제제","석류추출농축액No.1(고형분3.3%이상)","","무수구연산","석류향","사과향","","비타프로CEC","아미노믹스2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1712","품목보고번호20180504025163","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명일품 전호","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","5","6","7","8","전호잎","귤나무열매껍질","모창출뿌리줄기","감초건조","대추","건생강","광귤나무열매","중국당귀뿌리","전호잎(국내산)","진피(귤나무 열매껍질)중국산","창출(뿌리줄기,건조)중국산","감초(뿌리,건조)우즈백","대추(건조)국내산","생강(뿌리줄기,건조)페루산","광귤나무/지각(열매,건조)중국산","당귀(뿌리,건조)","9","10","감귤류추출액","정제수","감귤류추출물(브라질)","정제수 추가하여 최종brix 4.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1711","품목보고번호19970378043572","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명일품 흑마늘","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","5","6","7","8","액상차","기타과당","합성향료","카라멜색소","구연산(무수)","정제소금","수크랄로스","혼합제제","흑마늘추출농축액No.1(고형분0.7%이상)","","흑마늘향","","무수구연산","","","비타프로CEC","9",NA,"혼합제제",NA,"아미노믹스2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1710","품목보고번호19990555185116","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명일품석류","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3",NA,NA,NA,NA,NA,"석류농축액","올리고당","과당",NA,NA,NA,NA,NA,"석류등혼합액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1709","품목보고번호20100358426156","업소명(주)그린바이오","품목유형혼합음료","유통/소비기한24개월","제품명일품페르시아석류","분류식품","업체명","(주)그린바이오","소재지","경기도 이천시 부발중앙로 201-19(외 1필지)","1","2","3","4","5","6","7","8","정제수","기타과당","사과농축액","석류농축액","올리고당","구연산","기타가공품","콜라겐","","","","","이소말토올리고당","","복합허브추출물C","피쉬콜라겐","9","10","합성향료","비타민C","석류향","","11","수크랄로스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1708","품목보고번호19800415004356","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한Can 2년","제품명일화 레몬녹차","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","백설탕","액상과당","레몬농축액","녹차농축액","구연산","구연산삼나트륨","비타민C","수크랄로스","","","","","함수","","","","9","10","합성향료","합성향료","레몬향","녹차향","11","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1707","품목보고번호19800415004397","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일부터  Can 2년","제품명일화 민속대추","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","액상과당","설탕","기타가공품","기타가공품","구연산","카라멜색소","구연산삼나트륨","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","합성향료","합성향료",NA,NA,"11","수크랄로스",NA,"12","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1706","품목보고번호2016049203864","업소명주식회사 고려인삼제조","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명일화 배도라지","분류식품","업체명","주식회사 고려인삼제조","소재지","전라북도 남원시 광치산업2길 15(용정동)","1","2","3","4","5","6","7","8","설탕","사양벌꿀","배농축액","구연산","기타가공품","도라지농축액","수크랄로스","카라멜색소","","","배합함량100%, 국산","","복합허브추출물C","고형분45%, 국산","","","9","10","벌꿀향","배향","","","11","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1705","품목보고번호19730380010510","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명일화 배도라지","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","8","정제수","설탕","사양벌꿀","과.채가공품","구연산","기타가공품","과.채가공품","수크랄로스","","국산/수입","","배농축액, 73 Brix","함수","복합허브추출물C","도라지농축액, 50 Brix","감미료","9","10","카라멜색소","합성향료","","벌꿀향","11","합성향료","배향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1704","품목보고번호19800415004444","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 (Can) 2년","제품명일화 뱅쇼향","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","설탕","과.채가공품","과.채가공품","과.채가공품","덱스트린","구연산","L-주석산","수크랄로스","","사과농축액","레몬농축액","적포도농축액","말토덱스트린","","","","9","10","아세설팜칼륨","식용색소적색제40호","","","11","식용색소청색제1호","","12","향료","뱅쇼향1","13","14","15","혼합제제","향료","정제수","뱅쇼향2","계피향",""
