"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2514","품목보고번호200403641991","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터","제품명액티칼","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","정제수","산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2513","품목보고번호2004036419912","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명액티칼 F","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","산화칼슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2512","품목보고번호2004036419914","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터3년","제품명액티칼 마라","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","산화칼슘","황산아연",NA,NA,"3","4","5","아셀렌산나트륨","황산마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2511","품목보고번호200403641992","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터","제품명액티칼 앰","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","정제수","산화칼슘",NA,NA,"3","4",NA,"비타민 D₃","비타민 B₁염산염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2510","품목보고번호200403641995","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명액티칼골드","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","정제수","산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2509","품목보고번호200403641996","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명액티칼알파","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","정제수","산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2508","품목보고번호19970617062190","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명앤티란-F(에프)","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","쇠비름","음료베이스","","모로미초","3","4","5","오미자추출액","감식초","정제수","","","","6","7","8","9","10","11","12","13","백설탕","형개꽃대","효소처리스테비아","생강추출분말","프로폴리스추출액","안식향산나트륨","폴리소르베이트80","강황추출액","","형개","감미료","생강추출물분말","","보존료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2507","품목보고번호19860443015572","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명앱솔루트 콜라겐 3.5","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","생선콜라겐","","피쉬콜라겐, GT콜라겐","3","4","5","기타가공품","자일리톨","에리스리톨","콜라겐-트리펩20G, 생선콜라겐","","","6","7","8","9","10","11","12","13","블루베리농축액","구연산","천연블루베리향","레드비트농축액","천연블루베리향","아세로라농축액","황금혼합추출물","효소처리스테비아","","무수구연산","천연블루베리향1","","천연블루베리향2","","복합황금추출물","","14","15","16","17","18","19","L-아르지닌","히알루론산","엘라스틴가수분해물","혼합제제","병풀잎추출물분말","비오틴 혼합분말","","","","필수아미노산 8종 혼합제제","병풀추출분말","비오틴"
"9","번호2506","품목보고번호19860443015371","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명앱솔루트 콜라겐 9.0","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","생선콜라겐","","피쉬콜라겐, GT콜라겐","3","4","5","에리스리톨","세븐베리농축액","타우린","","","","6","7","8","9","10","11","12","13","아세로라농축액","구연산","레드비트농축액","히알루론산","황금혼합추출물","혼합제제","구연산삼나트륨","L-아르지닌","아세로라 농축주스","무수구연산","","","복합황금추출물","필수아미노산 8종 혼합제제","","","14","15","16","17","18","19","효소처리스테비아","기타가공품","블루베리농축액","천연향료","기타가공품","천연향료","","콜라겐-트리펩20G, 피쉬콜라겐","","천연블루베리향","엘라스틴 가수분해물","블루베리향"
"10","번호2505","품목보고번호20190391582131","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명앱솔루트콜라겐 3.3","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","정제수","생선콜라겐","","GT콜라겐","3","4","5","석류농축액","에리스리톨","인산","","","","6","7","8","9","10","11","12","13","천연향료(Pomegranate)","레드비트농축액","아세로라추출분말","히알루론산","구연산삼나트륨","엘라스틴가수분해물","맥아추출액","변성전분","천연석류향","","","","","프로라스틴","","","14","15","16","17","18",NA,"혼합제제","L-아르지닌","기타가공품","기타가공품","수크랄로스",NA,"아미노산혼합제제NW","","복합황금추출물","복합허브추출물C","",NA
