"","번호...1","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호...51","성분 및 원료","비고"
"1","번호5332","품목보고번호19780368002268","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 병 pet 12월  캔24월","제품명꿀홍삼","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","12","13","홍삼농축액","벌꿀","사과청징농축액","액상과당","효소처리스테비아","시클로덱스트린","구연산","비타민C","홍차추출분말","폼크린 200","벌꿀향","인삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5331","품목보고번호19940543023144","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명꿈엔들 동충하초","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","누에동충하초추출액","고형분 1%이상, 누에동충하초 0.1%, 영지 0.4%, 천궁 0.2%, 정제수 99.3%"
"3","번호5330","품목보고번호19940543023143","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명꿈엔들 산양산삼","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"식물혼합추출액","기타과당","구연산","비타민B1염산염","비타민B2","당류가공품","타우린","기타가공품","합성향료","정제수",NA,NA,NA,"식물혼합추출액(고형분0.7%)66%","","","","","슈가시럽","","복합허브추출물c","인삼향","",NA,NA,NA,NA,NA,NA
"4","번호5329","품목보고번호19940440030131","업소명옥천농협농산물 가공공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월(실온)","제품명꿈엔들 식혜","분류식품","업체명","옥천농협농산물 가공공장","소재지","충청북도 옥천군 동이면 옥천동이로 576-40","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"엿기름당화액","멥쌀","설탕","맥아물엿","DL-사과산","안식향산나트륨","혼합제제","생강농축액","정제수",NA,NA,NA,NA,"고형분 12%","","","","","","","","",NA,NA,NA,NA,NA,NA,NA
"5","번호5328","품목보고번호19940543023160","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명꿈엔들 알로에","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9","10","11",NA,NA,"알로에","액상과당","백설탕","젤란검","젖산칼슘","구연산삼나트륨","구연산","그린색소","알로에향","청포도향","정제수",NA,NA,"알로에겔","","","","","","","","","","",NA,NA,NA,NA,NA
"6","번호5327","품목보고번호1994044003051","업소명옥천농협농산물 가공공장","품목유형혼합음료","유통/소비기한제조일로부터 730일(24개월)","제품명꿈엔들 알로에","분류식품","업체명","옥천농협농산물 가공공장","소재지","충청북도 옥천군 동이면 옥천동이로 576-40","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"알로에잎","액상과당","백설탕","구연산","구연산삼나트륨","젖산칼슘","젤란검","그린색소","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5326","품목보고번호19940543023176","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한24개월","제품명꿈엔들쌍화골드","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"쌍화추출액","기타과당","당류가공품","구연산","식염","글리신","카르복시메틸셀룰로오스","혼합제제","정제수",NA,NA,NA,NA,"고형분2%이상.쌍화추출액:황기0.56%.천궁0.49%.당귀0.455%.작약0.455%.생강0.28%.숙지황0.56%.감초0.385%.계피0.31","","슈가시럽","","","","카르복시메틸셀룰로오스나트륨","스테비텐마일드(효소처리스테비아.덱스트린)","",NA,NA,NA,NA,NA,NA,NA
"8","번호5325","품목보고번호201204990421","업소명(주)앤앤비","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명나노버블 O2","분류식품","업체명","(주)앤앤비","소재지","전라북도 순창군 인계면 인덕로 427-122","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"산소","지하수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","지하암반수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5324","품목보고번호2012049904237","업소명(주)앤앤비","품목유형혼합음료","유통/소비기한해당없음.","제품명나노버블불로수","분류식품","업체명","(주)앤앤비","소재지","전라북도 순창군 인계면 인덕로 427-122","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하수","탄산수소칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5323","품목보고번호201204990426","업소명(주)앤앤비","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명나노버블수소水","분류식품","업체명","(주)앤앤비","소재지","전라북도 순창군 인계면 인덕로 427-122","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"암반수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"지하암반수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
