"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","번호14","성분 및 원료13","성분 및 원료14","비고13","비고14"
"1","번호4247","품목보고번호2013037221924","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명미네톡스(활성미네랄)","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","퉁퉁마디추출물","미역귀","고구마줄기","산화칼슘(고시형)","정제수","함초추출물","미역귀추출물","고구마줄기추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4246","품목보고번호19890445014312","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명미녀와석류","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","석류농축액","액상과당","폴리덱스트로스","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,"6","7","8","9","스테비올배당체","카라멜색소","레드색소L","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4245","품목보고번호19950433026531","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명미니특공대 딸기","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","딸기농축액","홍삼농축액","백설탕","구연산","구연산삼나트륨","","","","구연산함수","","6","7","8","9","젖산칼슘","비타민C","덱스트린","수크랄로스","","","말토덱스트린","","10","11","12","자일리톨","딸기향","정제수","","","",NA,NA,NA,NA,NA,NA
"4","번호4244","품목보고번호19950433026532","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명미니특공대 포도","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","적포도농축액","홍삼농축액","백설탕","구연산","구연산삼나트륨","","","","구연산함수","","6","7","8","9","젖산칼슘","비타민C","L-주석산","수크랄로스","","","","","10","11","12","자일리톨","포도향","정제수","","","",NA,NA,NA,NA,NA,NA
"5","번호4243","품목보고번호19740344001139","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한12개월","제품명미닛메이드 기분좋은 제주감귤 원제 제2A부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2",NA,NA,NA,"씨트러스향","프로필렌글리콜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4242","품목보고번호19800375002183","업소명코카콜라음료(주)","품목유형혼합음료","유통/소비기한관 또는 병 포장제품 : 9개월, 합성수지제 포장제품 : 9개월","제품명미닛메이드 벌꿀유자","분류식품","업체명","코카콜라음료(주)","소재지","경기도 여주시 세종로 415","1","2","3","4","5","유자농축과실즙","벌꿀","미닛메이드","벌꿀유자","부",NA,NA,NA,NA,NA,"6","7","8","9","천연착향료","합성착향료","마리골드색소","액상과당",NA,NA,NA,NA,"10",NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4241","품목보고번호19920562023162","업소명대구경북능금농협음료가공공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미닛메이드 알로에","분류식품","업체명","대구경북능금농협음료가공공장","소재지","경상북도 군위군 의흥면 동부로 935-14","1","2","3","4","5","당시럽류","폴리덱스트로스","식품첨가물혼합제제","식품첨가물혼합제제","글루콘산아연","고형분 67%","","미닛메이드 프리미엄 알로에 플러스 원제 제1E부","미닛메이드 프리미엄 알로에 플러스 원제 제1D부","","6","7","8","9","정제수","스테비올배당체","혼합음료","과.채가공품","","","미닛메이드 프리미엄 알로에 플러스 원제 제2부","알로에베라즙(알로에베라주스, 알로에베라, 구연산)","10",NA,NA,"식품첨가물혼합제제",NA,NA,"미닛메이드 프리미엄 알로에 플러스 원제 제1A부",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4240","품목보고번호20100543066276","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명미닛메이드 알로에","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","정제수","당시럽","알로에베라겔즙","폴리덱스트로스","구연산","","","태국산/알로에베라주스,알로에베라,구연산","","","6","7","8","9","젖산칼슘","합성향료","구연산삼나트륨","젤란검","","알로에향","","","10","11","12","스테비올배당체","설탕","비타민C","","","","13","14","프로필렌글리콜","혼합제제","","초산비타민E, 변성전분, 말토덱스트린"
"9","번호4239","품목보고번호20020623009824","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한12개월","제품명미닛메이드 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","정제수","당시럽","알로에베라겔즙","식품첨가물혼합제제","식품첨가물혼합제제","","","알로에베라즙","미닛메이드 프리미엄 알로에 플러스 원제 제1E부(구연산삼나트륨,젤란검)","미닛메이드 프리미엄 알로에 플러스 원재 1D부(젖산칼슘,백설탕)","6","7","8","9","식품첨가물혼합제제","음료베이스","폴리덱스트로스","글루콘산아연","미닛메이드 프리미엄 알로에 플러스 원제1A부(구연산,비타민C)","미닛메이드 프리미엄 알로에 플러스 원제 제2부(알로에향,프로필렌글리콜)","","","10","11",NA,"스테비올배당체","스테비올배당체",NA,"","",NA,NA,NA,NA,NA,NA,NA
"10","번호4238","품목보고번호20100543066458","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET, CAN : 9개월","제품명미닛메이드 오리진에이드 레몬","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","정제수","백설탕","레몬농축과즙","정제소금","혼합제제","","","레몬과즙으로 8%","오스트리아산(알프스지역)","펙틴, 포도당","6","7","8","9","천연착향료","비타민C","혼합제제","아라비아검","","","말토덱스트린, 아라비아검, 가공유지, 백설탕, 베타카로틴(합성착색료)","","10","11",NA,"구연산","에스테르검",NA,"","",NA,NA,NA,NA,NA,NA,NA
