"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14","번호15","번호16","번호17","번호18","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고15","비고16","비고17","비고18"
"1","번호4882","품목보고번호19890445014297","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명동성영지에프","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","영지추출액","구기자엑기스","벌꿀","액상과당","구연산","카라멜색소","안식향산나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4881","품목보고번호1999061119316","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명동아녹용골드","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","액상과당","녹용추출액","대추추출액","당귀추출액","천궁추출액","감초추출액","구연산",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","안식향산나트륨","카라멜","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4880","품목보고번호202006032818","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명동아녹용골드","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","6","7","녹용추출액","대추추출액","참당귀추출액","천궁추출액","감초추출액","숙지황등혼합농축액","백설탕",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","아스파탐","아세설팜칼륨","구연산","구연산삼나트륨",NA,NA,NA,NA,"12","13","14","카라멜색소","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4879","품목보고번호1999061119319","업소명동아메딕스","품목유형혼합음료","유통/소비기한2년","제품명동아매실마을","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","액상과당","농축사과과즙","매실농축액","정제식염","구연산(함수)","DL-사과산","스테비올배당체",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","카라멜","안식향산나트륨","매실향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4878","품목보고번호1999061119321","업소명동아메딕스","품목유형혼합음료","유통/소비기한2년","제품명동아복분자골드","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","복분자농축액","농축사과과즙","액상과당","구연산(함수)","복분자향","안식향산나트륨","식용색소적40호",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4877","품목보고번호1999061119332","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명동아블루베리","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","블루베리농축액","포도농축액","액상과당","구연산","DL-사과산","구연산삼나트륨","산도조절제",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","L-글루타민산","향미증진제","니코틴산아미드","산도조절제",NA,NA,NA,NA,"12","13","14","효소처리스테미아","천연감미료","안식향산나트륨",NA,NA,NA,"15","16","17","18","합성보존료","타우린","향미증진제","정제수",NA,NA,NA,NA
"7","번호4876","품목보고번호202006032814","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명동아블루베리","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","6","7","블루베리농축액","백설탕","포도농축액","구연산","DL-사과산","타우린","L-글루탐산나트륨",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","아스파탐","구연산삼나트륨","블루베리향","안식향산나트륨",NA,NA,NA,NA,"12","13",NA,"식용색소적색제40호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4875","품목보고번호1999061119331","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명동아비타C플러스","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","백설탕","비타민C","농축사과과즙","구연산","DL-사과산","타우린","L-글루타민산나트륨","","","Brix72(국산)","함수구연산","","","","8","9","10","11","아스파탐","효소처리스테비아","니코틴산아미드","구연산삼나트륨","","","","","12","13","14","파인향","비타민B2","안식향산나트륨","","","합성보존제","15",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA
"9","번호4874","품목보고번호202006032813","업소명동아바이오헬스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명동아비타C플러스","분류식품","업체명","동아바이오헬스(주)","소재지","경상남도 밀양시 초동면 온천로 1365(가,나동)","1","2","3","4","5","6","7","비타민C","백설탕","구연산","농축사과과즙","DL-사과산","타우린","L-글루탐산나트륨",NA,NA,NA,NA,NA,NA,NA,"8","9","10","11","아스파탐","니코틴산아미드","파인애플향","구연산삼나트륨",NA,NA,NA,NA,"12","13","14","안식향산나트륨","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4873","품목보고번호1999061119315","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명동아생강쌍화골드","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4",NA,NA,NA,"정제수","백설탕","구연산삼나트륨","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
