"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호3140","품목보고번호19860443015493","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명숲공기","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","프락토올리고당","Red grape농축액","감귤농축액","배농축액","아로니아농축액","기타 농산가공품","과.채가공품","도라지뿌리농축액","노니농축액","기타가공품","합성향료","구연산","천연향료","황금혼합추출물","","올리고당","적포도농축액","","","","유근피추출분말","아사이베리혼합분말","홍도라지농축액","","티에프(TF)-343","청포도향","","천연엘더베리향","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3139","품목보고번호19860443015555","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명숲공기","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","프락토올리고당","Red grape농축액","감귤농축액","배농축액","아로니아농축액","기타 농산가공품","과.채가공품","도라지뿌리농축액","노니농축액","기타가공품","합성향료","구연산","천연향료","황금혼합추출물","","올리고당","적포도농축액","","","","유근피추출분말","아사이베리혼합분말","홍도라지농축액","","티에프(TF)-343","청포도향","","천연엘더베리향","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3138","품목보고번호20060445110632","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명쉐입 타이트","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","프락토올리고당","이소말토올리고당","시클로덱스트린시럽","파인애플농축액","파인애플향","보검선인장추출물분말","구연산","옥수수수염추출분말","L-아르지닌","파인애플추출분말","효소처리스테비아","서양호박농축분말","효소혼합분말","염화칼륨","","","","","","","선인장열매추출물분말","","옥수수수염추출물분말(암술대)","","파인애플추출물분말","","단호박농축분말","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3137","품목보고번호20070443110690","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명쉼","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","설탕","과.채가공품","과.채가공품","탈지분유","자일리톨","폴리덱스트로스","구연산","두류가공품","L-테아닌(고시형)","염화마그네슘","당류가공품","혼합제제","향료","향료","과.채가공품","","열대혼합과일농축액","파인애플농축액","","","","","S-CA 700","","","AWACUT CP","요구르트향","요구르트향","베르가못향","베르가못 농축액","16","17","18","19","20","21","22","23","기타가공품","비타민B6염산염","혼합제제","혼합제제","기타가공품","산화아연","엽산","정제수","야쿠르트 유산균 락토바실러스카제이 배양액 농축분말","","비타민 B12 0.1% 혼합제제","분말 비타민 D3 100 혼합제제","가바A","","",""
"5","번호3136","품목보고번호20070443110687","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명슈가로로 핑크레몬에이드 제로","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","에리스리톨","과.채가공품","구연산","젖산칼슘","염화마그네슘","혼합제제","수크랄로스","아세설팜칼륨","스테비올배당체","메타인산나트륨","식용색소적색제40호","혼합제제","향료","향료","정제수","","레몬농축액","","","","비타민 D3 혼합제제","","","","","","시트러스향 #1","레몬향 #1","라임향 #2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3135","품목보고번호2007046409476","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명슈거프리알로에(수출용)","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"알로에발라겔파우다","알로에베라겔크러쉬","아마밀케이","수크랄로스","폴리덱스트로스","구연산","젖산칼슘","구연산삼나트륨","비타민C","젤란검","알로에향","백포도향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3134","품목보고번호2012057308043","업소명주식회사 아리바이오","품목유형혼합음료","유통/소비기한2년(730일)","제품명슈레피워터","분류식품","업체명","주식회사 아리바이오","소재지","경상북도 울진군 죽변면 해양과학길 22(재환동해산업연구원 105호)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","황산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3133","품목보고번호19880607021291","업소명(주)케이지앤에프","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명슈퍼 바이탈 칼슘 오리지널","분류식품","업체명","(주)케이지앤에프","소재지","경상남도 김해시 진례면 하이테크로 22","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","액티칼파우더(고활성산화칼슘)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3132","품목보고번호200403641998","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명슈퍼 액티브 미네랄(Super Active Mineral)","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산화칼슘","제 2 인산칼륨","염화암모늄","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3131","품목보고번호19970464172512","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명슈퍼 콜라겐","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","생선콜라겐분말","L-아르지닌","다시마농축분말","시클로덱스트린","DL-사과산","구연산","구연산삼나트륨","비타민 C(고시형)","결정과당","히알루론산","판토텐산칼슘","니코틴산아미드","열대과일혼합농축액","석류농축액","믹스베리향","피쉬콜라겐","","","","","","","","","","","","","","","16","17","18",NA,NA,NA,NA,NA,"비타민B6염산염","정제소금","정제수",NA,NA,NA,NA,NA,"","정제염","",NA,NA,NA,NA,NA
