"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","번호21","번호22","번호23","번호24","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고21","비고22","비고23","비고24","번호25","번호26","번호27","번호28","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고25","비고26","비고27","비고28"
"1","번호321","품목보고번호20110618121219","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년까지","제품명함미소홍시주스","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","홍시발효액","과당","설탕","구연산","합성향료","혼합허브추출물","자색고구마색소","아스파탐","비타민B2","홍시추출액(고형분 5%이상)","","","","홍시향","복합허브추출물","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호320","품목보고번호201706230888","업소명주식회사 수경","품목유형혼합음료","유통/소비기한6개월","제품명함양 산양삼 수소워터","분류식품","업체명","주식회사 수경","소재지","경상남도 함양군 서상면 추하뒷길 18","1","2","3",NA,NA,NA,NA,NA,NA,"지하수","수소","산양삼추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호319","품목보고번호2007052601410","업소명주식회사 이미라클","품목유형혼합음료","유통/소비기한1년","제품명함평秀","분류식품","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2",NA,NA,NA,NA,NA,NA,NA,"먹는물","팔라티노스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호318","품목보고번호200705260149","업소명주식회사 이미라클","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명함평나비수","분류식품","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2",NA,NA,NA,NA,NA,NA,NA,"먹는물","팔라티노스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호317","품목보고번호200705260146","업소명주식회사 이미라클","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명함평천지","분류식품","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2","3",NA,NA,NA,NA,NA,NA,"먹는물","팔라티노스","자일리톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호316","품목보고번호200705260148","업소명주식회사 이미라클","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명함평천지나비秀","분류식품","업체명","주식회사 이미라클","소재지","전라남도 함평군 신광면 신광중앙길 21(외 1필지)","1","2",NA,NA,NA,NA,NA,NA,NA,"먹는물","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호315","품목보고번호20000360372311","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명핫식스무브업에너지","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9","유청단백분말","커피원두추출물분말","과라나추출물분말","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","덱스트린","니코틴산아미드","","그린커피빈","","","","","","","","10","11","12","13","14","15","16","17","18","19","20","비타민B6염산염","L-카르니틴","혼합제제","당근추출액","치자청색소","효소처리루틴","혼합제제","합성향료","합성향료","합성향료","정제수","","","혼합아미노산BCAA","","","","폼크린200","혼합과일향","딸기향","패션후르츠향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호314","품목보고번호20000360372313","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명핫식스바이탈에너지","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9","과라나추출물분말","커피원두추출물분말","에리스리톨","수크랄로스","아세설팜칼륨","구연산","구연산삼나트륨","정제소금","염화칼륨","","그린커피빈추출분말","","","","","","","","10","11","12","13","14","15","16","17","18","19","20","염화마그네슘","젖산칼슘","L-글루탐산나트륨","니코틴산아미드","판토텐산칼슘","비타민B6염산염","비타민E혼합제제","비타민 A 아세테이트 분말","타우린","마카추출분말","효소처리루틴","","","","","","","50% CWS/S","325","","페루산","","21","22","23","24","혼합제제","합성향료","합성향료","정제수","화이트크라우디[SK-31447]","혼합과일향","시트러스믹스향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호313","품목보고번호19920624042621","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명핫식스샷","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","액상과당","타우린","비타민C","과라나추출물","과라나추출물","혼합아미노산BCAA","구연산","구연산삼나트륨","혼합과일향",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","11","12","13","14","15","16","17","18","19","20","홍차추출분말","비타민프리믹스-E","가시오갈피추출농축액","홍삼농축액","혼합과일향","이노시톨","수크랄로스","정제수","혼합아미노산BCAA","성분","L-이소로이신",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","22","23","24","L-발린","L-로이신","비타민프리믹스-E","성분",NA,NA,NA,NA,"25","26","27","28","비타민B2","니코틴산아미드","판토텐산칼슘","비타민B6염산염",NA,NA,NA,NA
"10","번호312","품목보고번호2006039411240","업소명(주)삼진GNF","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명해격(解膈)골드","분류식품","업체명","(주)삼진GNF","소재지","강원도 홍천군 홍천읍 와동로 290","1","2","3",NA,NA,NA,NA,NA,NA,"정제수","고형차","갈대뿌리줄기추출분말",NA,NA,NA,NA,NA,NA,"","내(식물혼합추출물분말)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
